Vendor,Brand,Product,Article Number,Product Description,Group (DERNI),Category (DERNI),Class (DERNI),GR Qty
500076,"SMEG","KLF04BLAU",11400234,"SMEG 50'S STYLE VARIABLE TEMP KETTLE BLK","SMALL APPLIANCES","BREAKFAST","KETTLES",1
500469,"DELONGHI","KBIN2001BK",11535804,"DELONGHI DISTINTA KETTLE BLACK","SMALL APPLIANCES","BREAKFAST","KETTLES",1
500469,"KITCHENAID","5KEK1835AOB",11541332,"KITCHENAID 1.7L ARTISAN KET ONYX BLACK","SMALL APPLIANCES","BREAKFAST","KETTLES",1
500498,"DELONGHI","KBOT2001GY",11701693,"DELONGHI ICONA METALLICS KET-PEWTER GREY","SMALL APPLIANCES","BREAKFAST","KETTLES",1
500498,"KITCHENAID","5KEK1835AOB",11541332,"KITCHENAID 1.7L ARTISAN KET ONYX BLACK","SMALL APPLIANCES","BREAKFAST","KETTLES",1
500498,"SMEG","KLF04RDAU",11400232,"SMEG 50'S STYLE VARIABLE TEMP KETTLE RED","SMALL APPLIANCES","BREAKFAST","KETTLES",1
501072,"SMEG","KLF03CRAU",11377718,"SMEG 50'S STYLE BADGED CREAM KETTLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
501072,"SMEG","KLF04SSAU",11400199,"SMEG 50'S STYLE VARIABLE TEMP KETTLE SS","SMALL APPLIANCES","BREAKFAST","KETTLES",1
501098,"MORPHY RIC","102042",11638473,"MORPHY RIC ACCENTS R.GOLD PPKETTLE GREY","SMALL APPLIANCES","BREAKFAST","KETTLES",1
501158,"MORPHY RIC","MREK1B",11738905,"MORPHY RIC EQUIP 1.0L KETTLE - BLACK","SMALL APPLIANCES","BREAKFAST","KETTLES",1
501158,"SMEG","KLF03RDAU",11377721,"SMEG 50'S STYLE BADGED RED KETTLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
501158,"SMEG","KLF04BLAU",11400234,"SMEG 50'S STYLE VARIABLE TEMP KETTLE BLK","SMALL APPLIANCES","BREAKFAST","KETTLES",1
501158,"SMEG","KLF04WHAU",11400231,"SMEG 50'S STYLE VARIABLE TEMP KETTLE WH","SMALL APPLIANCES","BREAKFAST","KETTLES",1
501629,"KITCHENAID","5KEK1835ACU",11541333,"KITCHENAID 1.7L ARTISAN KET CONTOUR SLIV","SMALL APPLIANCES","BREAKFAST","KETTLES",1
501647,"BREVILLE","BKE735DBL",11527449,"BREVILLE THE SOFT TOP LUXE - DAMSON BLUE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
501647,"BREVILLE","BKE735SST",11441914,"BREVILLE LUXE KETTLE - SEA SALT","SMALL APPLIANCES","BREAKFAST","KETTLES",1
501875,"SUNBEAM","KE2700K",11538678,"SUNBEAM ALINEA KETTLE DARK CANYON","SMALL APPLIANCES","BREAKFAST","KETTLES",1
501961,"KAMBROOK","KKE280WHT",11535263,"KAMBROOK POUR WITH EASE KETTLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
502209,"MORPHY RIC","102041",11638474,"MORPHY RIC ACCENTS R.GOLD KETTLE M.BLUE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
502218,"SMEG","KLF03BLAU",11377719,"SMEG 50'S STYLE BADGED BLACK KETTLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
502218,"SUNBEAM","KEM1100SS",11713022,"SUNBEAM 1L MAESTRO KETTLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
502221,"DELONGHI","KBIN2001BK",11535804,"DELONGHI DISTINTA KETTLE BLACK","SMALL APPLIANCES","BREAKFAST","KETTLES",1
502221,"SMEG","KLF03WHAU",11377722,"SMEG 50'S STYLE BADGED WHITE KETTLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
502223,"MORPHY RIC","100023",11638476,"MORPHY RIC ASPECT BLK CHR KETTLE TITAN","SMALL APPLIANCES","BREAKFAST","KETTLES",1
502223,"MORPHY RIC","102107",11366901,"MORPHY RICHARDS ACCENTS RG PYR KETTLE BK","SMALL APPLIANCES","BREAKFAST","KETTLES",1
502250,"SMEG","KLF03WHAU",11377722,"SMEG 50'S STYLE BADGED WHITE KETTLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
502426,"DELONGHI","KBO2001BK",10017905,"DELONGHI ICONA KET BLK","SMALL APPLIANCES","BREAKFAST","KETTLES",1
503161,"SMEG","KLF03RDAU",11377721,"SMEG 50'S STYLE BADGED RED KETTLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
503239,"SMEG","KLF04PBAU",11400233,"SMEG 50'S STYLE VARIABLE TEMP KETTLE PB","SMALL APPLIANCES","BREAKFAST","KETTLES",1
503510,"BREVILLE","BKE735OYS",11559849,"BREVILLE KETTLE LUXE-OYSTER SHELL HNGX","SMALL APPLIANCES","BREAKFAST","KETTLES",1
503680,"DELONGHI","KBOC2001AZ",11616871,"DELONGHI ICONA CAPITALS AZURE KETTLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
503722,"BREVILLE","BKE735BSS",11250809,"BREVILLE SOFT TOP LUXE - STAINLESS STEEL","SMALL APPLIANCES","BREAKFAST","KETTLES",1
503722,"DELONGHI","KBOC2001R",11502658,"DELONGHI ICONA CAPITALS KETTLE - RED","SMALL APPLIANCES","BREAKFAST","KETTLES",1
503722,"DELONGHI","KBOT2001GY",11701693,"DELONGHI ICONA METALLICS KET-PEWTER GREY","SMALL APPLIANCES","BREAKFAST","KETTLES",1
503722,"SUNBEAM","KE9650",11119592,"SUNBEAM CAFE SERIES QUIET BOIL","SMALL APPLIANCES","BREAKFAST","KETTLES",1
503884,"BREVILLE","BKE735BTR",11372259,"BREVILLE SOFT TOP LUXE - BLACK TRUFFLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
503934,"BREVILLE","BKE735BST4JAN1",11723313,"BREVILLE THE SOFT TOP LUXE BLACK S/S","SMALL APPLIANCES","BREAKFAST","KETTLES",1
503934,"DELONGHI","KBO2001BK",10017905,"DELONGHI ICONA KET BLK","SMALL APPLIANCES","BREAKFAST","KETTLES",1
503979,"SMEG","KLF03CRAU",11377718,"SMEG 50'S STYLE BADGED CREAM KETTLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
504162,"DELONGHI","KBIN2001BK",11535804,"DELONGHI DISTINTA KETTLE BLACK","SMALL APPLIANCES","BREAKFAST","KETTLES",1
504162,"DELONGHI","KBOC2001AZ",11616871,"DELONGHI ICONA CAPITALS AZURE KETTLE","SMALL APPLIANCES","BREAKFAST","KETTLES",1
