TimeKey,Hour,Minute,PartOfDay,Sort_order
"0000",0,0,"Night",4
"0001",0,1,"Night",4
"0002",0,2,"Night",4
"0003",0,3,"Night",4
"0004",0,4,"Night",4
"0005",0,5,"Night",4
"0006",0,6,"Night",4
"0007",0,7,"Night",4
"0008",0,8,"Night",4
"0009",0,9,"Night",4
"0010",0,10,"Night",4
"0011",0,11,"Night",4
"0012",0,12,"Night",4
"0013",0,13,"Night",4
"0014",0,14,"Night",4
"0015",0,15,"Night",4
"0016",0,16,"Night",4
"0017",0,17,"Night",4
"0018",0,18,"Night",4
"0019",0,19,"Night",4
"0020",0,20,"Night",4
"0021",0,21,"Night",4
"0022",0,22,"Night",4
"0023",0,23,"Night",4
"0024",0,24,"Night",4
"0025",0,25,"Night",4
"0026",0,26,"Night",4
"0027",0,27,"Night",4
"0028",0,28,"Night",4
"0029",0,29,"Night",4
"0030",0,30,"Night",4
"0031",0,31,"Night",4
"0032",0,32,"Night",4
"0033",0,33,"Night",4
"0034",0,34,"Night",4
"0035",0,35,"Night",4
"0036",0,36,"Night",4
"0037",0,37,"Night",4
"0038",0,38,"Night",4
"0039",0,39,"Night",4
"0040",0,40,"Night",4
"0041",0,41,"Night",4
"0042",0,42,"Night",4
"0043",0,43,"Night",4
"0044",0,44,"Night",4
"0045",0,45,"Night",4
"0046",0,46,"Night",4
"0047",0,47,"Night",4
"0048",0,48,"Night",4
"0049",0,49,"Night",4
"0050",0,50,"Night",4
"0051",0,51,"Night",4
"0052",0,52,"Night",4
"0053",0,53,"Night",4
"0054",0,54,"Night",4
"0055",0,55,"Night",4
"0056",0,56,"Night",4
"0057",0,57,"Night",4
"0058",0,58,"Night",4
"0059",0,59,"Night",4
"0100",1,0,"Night",4
"0101",1,1,"Night",4
"0102",1,2,"Night",4
"0103",1,3,"Night",4
"0104",1,4,"Night",4
"0105",1,5,"Night",4
"0106",1,6,"Night",4
"0107",1,7,"Night",4
"0108",1,8,"Night",4
"0109",1,9,"Night",4
"0110",1,10,"Night",4
"0111",1,11,"Night",4
"0112",1,12,"Night",4
"0113",1,13,"Night",4
