DateKey,Date,Day,DayName,Week,ISOWeek,DayOfWeek,Month,MonthName,Quarter,Year,FirstOfMonth,LastOfYear,DayOfYear,Quarter name
20120101,2012-01-01 00:00:00.000,1,"Sunday",1,52,1,1,"January",1,2012,2012-01-01 00:00:00.000,2012-12-31 00:00:00.000,1,"Quarter 1"
20120102,2012-01-02 00:00:00.000,2,"Monday",1,1,2,1,"January",1,2012,2012-01-01 00:00:00.000,2012-12-31 00:00:00.000,2,"Quarter 1"
20120103,2012-01-03 00:00:00.000,3,"Tuesday",1,1,3,1,"January",1,2012,2012-01-01 00:00:00.000,2012-12-31 00:00:00.000,3,"Quarter 1"
20120104,2012-01-04 00:00:00.000,4,"Wednesday",1,1,4,1,"January",1,2012,2012-01-01 00:00:00.000,2012-12-31 00:00:00.000,4,"Quarter 1"
20120105,2012-01-05 00:00:00.000,5,"Thursday",1,1,5,1,"January",1,2012,2012-01-01 00:00:00.000,2012-12-31 00:00:00.000,5,"Quarter 1"
20120106,2012-01-06 00:00:00.000,6,"Friday",1,1,6,1,"January",1,2012,2012-01-01 00:00:00.000,2012-12-31 00:00:00.000,6,"Quarter 1"
20120107,2012-01-07 00:00:00.000,7,"Saturday",1,1,7,1,"January",1,2012,2012-01-01 00:00:00.000,2012-12-31 00:00:00.000,7,"Quarter 1"
20120108,2012-01-08 00:00:00.000,8,"Sunday",2,1,1,1,"January",1,2012,2012-01-01 00:00:00.000,2012-12-31 00:00:00.000,8,"Quarter 1"
20120109,2012-01-09 00:00:00.000,9,"Monday",2,2,2,1,"January",1,2012,2012-01-01 00:00:00.000,2012-12-31 00:00:00.000,9,"Quarter 1"
20120110,2012-01-10 00:00:00.000,10,"Tuesday",2,2,3,1,"January",1,2012,2012-01-01 00:00:00.000,2012-12-31 00:00:00.000,10,"Quarter 1"
20120111,2012-01-11 00:00:00.000,11,"Wednesday",2,2,4,1,"January",1,2012,2012-01-01 00:00:00.000,2012-12-31 00:00:00.000,11,"Quarter 1"
20120112,2012-01-12 00:00:00.000,12,"Thursday",2,2,5,1,"January",1,2012,2012-01-01 00:00:00.000,2012-12-31 00:00:00.000,12,"Quarter 1"
20120113,2012-01-13 00:00:00.000,13,"Friday",2,2,6,1,"January",1,2012,2012-01-01 00:00:00.000,2012-12-31 00:00:00.000,13,"Quarter 1"
20120114,2012-01-14 00:00:00.000,14,"Saturday",2,2,7,1,"January",1,2012,2012-01-01 00:00:00.000,2012-12-31 00:00:00.000,14,"Quarter 1"
20120115,2012-01-15 00:00:00.000,15,"Sunday",3,2,1,1,"January",1,2012,2012-01-01 00:00:00.000,2012-12-31 00:00:00.000,15,"Quarter 1"
20120116,2012-01-16 00:00:00.000,16,"Monday",3,3,2,1,"January",1,2012,2012-01-01 00:00:00.000,2012-12-31 00:00:00.000,16,"Quarter 1"
20120117,2012-01-17 00:00:00.000,17,"Tuesday",3,3,3,1,"January",1,2012,2012-01-01 00:00:00.000,2012-12-31 00:00:00.000,17,"Quarter 1"
20120118,2012-01-18 00:00:00.000,18,"Wednesday",3,3,4,1,"January",1,2012,2012-01-01 00:00:00.000,2012-12-31 00:00:00.000,18,"Quarter 1"
20120119,2012-01-19 00:00:00.000,19,"Thursday",3,3,5,1,"January",1,2012,2012-01-01 00:00:00.000,2012-12-31 00:00:00.000,19,"Quarter 1"
20120120,2012-01-20 00:00:00.000,20,"Friday",3,3,6,1,"January",1,2012,2012-01-01 00:00:00.000,2012-12-31 00:00:00.000,20,"Quarter 1"
20120121,2012-01-21 00:00:00.000,21,"Saturday",3,3,7,1,"January",1,2012,2012-01-01 00:00:00.000,2012-12-31 00:00:00.000,21,"Quarter 1"
20120122,2012-01-22 00:00:00.000,22,"Sunday",4,3,1,1,"January",1,2012,2012-01-01 00:00:00.000,2012-12-31 00:00:00.000,22,"Quarter 1"
20120123,2012-01-23 00:00:00.000,23,"Monday",4,4,2,1,"January",1,2012,2012-01-01 00:00:00.000,2012-12-31 00:00:00.000,23,"Quarter 1"
20120124,2012-01-24 00:00:00.000,24,"Tuesday",4,4,3,1,"January",1,2012,2012-01-01 00:00:00.000,2012-12-31 00:00:00.000,24,"Quarter 1"
20120125,2012-01-25 00:00:00.000,25,"Wednesday",4,4,4,1,"January",1,2012,2012-01-01 00:00:00.000,2012-12-31 00:00:00.000,25,"Quarter 1"
20120126,2012-01-26 00:00:00.000,26,"Thursday",4,4,5,1,"January",1,2012,2012-01-01 00:00:00.000,2012-12-31 00:00:00.000,26,"Quarter 1"
20120127,2012-01-27 00:00:00.000,27,"Friday",4,4,6,1,"January",1,2012,2012-01-01 00:00:00.000,2012-12-31 00:00:00.000,27,"Quarter 1"
20120128,2012-01-28 00:00:00.000,28,"Saturday",4,4,7,1,"January",1,2012,2012-01-01 00:00:00.000,2012-12-31 00:00:00.000,28,"Quarter 1"
20120129,2012-01-29 00:00:00.000,29,"Sunday",5,4,1,1,"January",1,2012,2012-01-01 00:00:00.000,2012-12-31 00:00:00.000,29,"Quarter 1"
20120130,2012-01-30 00:00:00.000,30,"Monday",5,5,2,1,"January",1,2012,2012-01-01 00:00:00.000,2012-12-31 00:00:00.000,30,"Quarter 1"
20120131,2012-01-31 00:00:00.000,31,"Tuesday",5,5,3,1,"January",1,2012,2012-01-01 00:00:00.000,2012-12-31 00:00:00.000,31,"Quarter 1"
20120201,2012-02-01 00:00:00.000,1,"Wednesday",5,5,4,2,"February",1,2012,2012-02-01 00:00:00.000,2012-12-31 00:00:00.000,32,"Quarter 1"
20120202,2012-02-02 00:00:00.000,2,"Thursday",5,5,5,2,"February",1,2012,2012-02-01 00:00:00.000,2012-12-31 00:00:00.000,33,"Quarter 1"
20120203,2012-02-03 00:00:00.000,3,"Friday",5,5,6,2,"February",1,2012,2012-02-01 00:00:00.000,2012-12-31 00:00:00.000,34,"Quarter 1"
20120204,2012-02-04 00:00:00.000,4,"Saturday",5,5,7,2,"February",1,2012,2012-02-01 00:00:00.000,2012-12-31 00:00:00.000,35,"Quarter 1"
20120205,2012-02-05 00:00:00.000,5,"Sunday",6,5,1,2,"February",1,2012,2012-02-01 00:00:00.000,2012-12-31 00:00:00.000,36,"Quarter 1"
20120206,2012-02-06 00:00:00.000,6,"Monday",6,6,2,2,"February",1,2012,2012-02-01 00:00:00.000,2012-12-31 00:00:00.000,37,"Quarter 1"
20120207,2012-02-07 00:00:00.000,7,"Tuesday",6,6,3,2,"February",1,2012,2012-02-01 00:00:00.000,2012-12-31 00:00:00.000,38,"Quarter 1"
20120208,2012-02-08 00:00:00.000,8,"Wednesday",6,6,4,2,"February",1,2012,2012-02-01 00:00:00.000,2012-12-31 00:00:00.000,39,"Quarter 1"
20120209,2012-02-09 00:00:00.000,9,"Thursday",6,6,5,2,"February",1,2012,2012-02-01 00:00:00.000,2012-12-31 00:00:00.000,40,"Quarter 1"
20120210,2012-02-10 00:00:00.000,10,"Friday",6,6,6,2,"February",1,2012,2012-02-01 00:00:00.000,2012-12-31 00:00:00.000,41,"Quarter 1"
20120211,2012-02-11 00:00:00.000,11,"Saturday",6,6,7,2,"February",1,2012,2012-02-01 00:00:00.000,2012-12-31 00:00:00.000,42,"Quarter 1"
20120212,2012-02-12 00:00:00.000,12,"Sunday",7,6,1,2,"February",1,2012,2012-02-01 00:00:00.000,2012-12-31 00:00:00.000,43,"Quarter 1"
20120213,2012-02-13 00:00:00.000,13,"Monday",7,7,2,2,"February",1,2012,2012-02-01 00:00:00.000,2012-12-31 00:00:00.000,44,"Quarter 1"
20120214,2012-02-14 00:00:00.000,14,"Tuesday",7,7,3,2,"February",1,2012,2012-02-01 00:00:00.000,2012-12-31 00:00:00.000,45,"Quarter 1"
20120215,2012-02-15 00:00:00.000,15,"Wednesday",7,7,4,2,"February",1,2012,2012-02-01 00:00:00.000,2012-12-31 00:00:00.000,46,"Quarter 1"
20120216,2012-02-16 00:00:00.000,16,"Thursday",7,7,5,2,"February",1,2012,2012-02-01 00:00:00.000,2012-12-31 00:00:00.000,47,"Quarter 1"
20120217,2012-02-17 00:00:00.000,17,"Friday",7,7,6,2,"February",1,2012,2012-02-01 00:00:00.000,2012-12-31 00:00:00.000,48,"Quarter 1"
20120218,2012-02-18 00:00:00.000,18,"Saturday",7,7,7,2,"February",1,2012,2012-02-01 00:00:00.000,2012-12-31 00:00:00.000,49,"Quarter 1"
20120219,2012-02-19 00:00:00.000,19,"Sunday",8,7,1,2,"February",1,2012,2012-02-01 00:00:00.000,2012-12-31 00:00:00.000,50,"Quarter 1"
20120220,2012-02-20 00:00:00.000,20,"Monday",8,8,2,2,"February",1,2012,2012-02-01 00:00:00.000,2012-12-31 00:00:00.000,51,"Quarter 1"
20120221,2012-02-21 00:00:00.000,21,"Tuesday",8,8,3,2,"February",1,2012,2012-02-01 00:00:00.000,2012-12-31 00:00:00.000,52,"Quarter 1"
20120222,2012-02-22 00:00:00.000,22,"Wednesday",8,8,4,2,"February",1,2012,2012-02-01 00:00:00.000,2012-12-31 00:00:00.000,53,"Quarter 1"
20120223,2012-02-23 00:00:00.000,23,"Thursday",8,8,5,2,"February",1,2012,2012-02-01 00:00:00.000,2012-12-31 00:00:00.000,54,"Quarter 1"
20120224,2012-02-24 00:00:00.000,24,"Friday",8,8,6,2,"February",1,2012,2012-02-01 00:00:00.000,2012-12-31 00:00:00.000,55,"Quarter 1"
20120225,2012-02-25 00:00:00.000,25,"Saturday",8,8,7,2,"February",1,2012,2012-02-01 00:00:00.000,2012-12-31 00:00:00.000,56,"Quarter 1"
20120226,2012-02-26 00:00:00.000,26,"Sunday",9,8,1,2,"February",1,2012,2012-02-01 00:00:00.000,2012-12-31 00:00:00.000,57,"Quarter 1"
