RoadTypeKey,RoadTypeNK,AreaType,RoadType,SpeedLimit,BuiltUpRoad
1,4,"Urban","Single carriageway",10,"Built up Road"
2,3,"Rural","Dual carriageway",20,"Built up Road"
3,2,"Rural","One way street",20,"Built up Road"
4,1,"Rural","Roundabout",20,"Built up Road"
5,4,"Rural","Single carriageway",20,"Built up Road"
6,5,"Rural","Slip road",20,"Built up Road"
7,6,"Rural","Unknown",20,"Built up Road"
8,3,"Urban","Dual carriageway",20,"Built up Road"
9,2,"Urban","One way street",20,"Built up Road"
10,1,"Urban","Roundabout",20,"Built up Road"
11,4,"Urban","Single carriageway",20,"Built up Road"
12,5,"Urban","Slip road",20,"Built up Road"
13,6,"Urban","Unknown",20,"Built up Road"
14,3,"Rural","Dual carriageway",30,"Built up Road"
15,2,"Rural","One way street",30,"Built up Road"
16,1,"Rural","Roundabout",30,"Built up Road"
17,4,"Rural","Single carriageway",30,"Built up Road"
18,5,"Rural","Slip road",30,"Built up Road"
19,6,"Rural","Unknown",30,"Built up Road"
20,3,"Urban","Dual carriageway",30,"Built up Road"
21,2,"Urban","One way street",30,"Built up Road"
22,1,"Urban","Roundabout",30,"Built up Road"
23,4,"Urban","Single carriageway",30,"Built up Road"
24,5,"Urban","Slip road",30,"Built up Road"
25,6,"Urban","Unknown",30,"Built up Road"
26,3,"Rural","Dual carriageway",40,"Built up Road"
27,2,"Rural","One way street",40,"Built up Road"
28,1,"Rural","Roundabout",40,"Built up Road"
29,4,"Rural","Single carriageway",40,"Built up Road"
30,5,"Rural","Slip road",40,"Built up Road"
31,6,"Rural","Unknown",40,"Built up Road"
32,3,"Urban","Dual carriageway",40,"Built up Road"
33,2,"Urban","One way street",40,"Built up Road"
34,1,"Urban","Roundabout",40,"Built up Road"
35,4,"Urban","Single carriageway",40,"Built up Road"
36,5,"Urban","Slip road",40,"Built up Road"
37,6,"Urban","Unknown",40,"Built up Road"
38,3,"Rural","Dual carriageway",50,"Non Built up Road"
39,2,"Rural","One way street",50,"Non Built up Road"
40,1,"Rural","Roundabout",50,"Non Built up Road"
41,4,"Rural","Single carriageway",50,"Non Built up Road"
42,5,"Rural","Slip road",50,"Non Built up Road"
43,6,"Rural","Unknown",50,"Non Built up Road"
44,3,"Urban","Dual carriageway",50,"Non Built up Road"
45,2,"Urban","One way street",50,"Non Built up Road"
46,1,"Urban","Roundabout",50,"Non Built up Road"
47,4,"Urban","Single carriageway",50,"Non Built up Road"
48,5,"Urban","Slip road",50,"Non Built up Road"
49,6,"Urban","Unknown",50,"Non Built up Road"
50,3,"Rural","Dual carriageway",60,"Non Built up Road"
51,2,"Rural","One way street",60,"Non Built up Road"
52,1,"Rural","Roundabout",60,"Non Built up Road"
53,4,"Rural","Single carriageway",60,"Non Built up Road"
54,5,"Rural","Slip road",60,"Non Built up Road"
55,6,"Rural","Unknown",60,"Non Built up Road"
56,3,"Urban","Dual carriageway",60,"Non Built up Road"
57,2,"Urban","One way street",60,"Non Built up Road"
58,1,"Urban","Roundabout",60,"Non Built up Road"
59,4,"Urban","Single carriageway",60,"Non Built up Road"
60,5,"Urban","Slip road",60,"Non Built up Road"
61,6,"Urban","Unknown",60,"Non Built up Road"
62,3,"Rural","Dual carriageway",70,"Non Built up Road"
63,1,"Rural","Roundabout",70,"Non Built up Road"
64,5,"Rural","Slip road",70,"Non Built up Road"
65,6,"Rural","Unknown",70,"Non Built up Road"
66,3,"Urban","Dual carriageway",70,"Non Built up Road"
67,1,"Urban","Roundabout",70,"Non Built up Road"
68,5,"Urban","Slip road",70,"Non Built up Road"
69,6,"Urban","Unknown",70,"Non Built up Road"
