CasualtiesID,CasualtiesNK,Casualties Class,Casualties Type,Age Band,Age Band (groups),Order
5,35971,"Driver or rider","Cyclist","21 - 25","Adult","3"
6,30385,"Driver or rider","Cyclist","26 - 35","Adult","3"
7,57345,"Driver or rider","Cyclist","36 - 45","Adult","3"
8,59444,"Driver or rider","Cyclist","46 - 55","Adult","3"
9,89418,"Driver or rider","Cyclist","56 - 65","Adult","3"
16,123509,"Driver or rider","Motorcycle 50cc and under rider or passenger","21 - 25","Adult","3"
17,154636,"Driver or rider","Motorcycle 50cc and under rider or passenger","26 - 35","Adult","3"
18,152761,"Driver or rider","Motorcycle 50cc and under rider or passenger","36 - 45","Adult","3"
19,149307,"Driver or rider","Motorcycle 50cc and under rider or passenger","46 - 55","Adult","3"
20,176427,"Driver or rider","Motorcycle 50cc and under rider or passenger","56 - 65","Adult","3"
27,213969,"Driver or rider","Motorcycle 125cc and under rider or passenger","21 - 25","Adult","3"
28,241517,"Driver or rider","Motorcycle 125cc and under rider or passenger","26 - 35","Adult","3"
29,229739,"Driver or rider","Motorcycle 125cc and under rider or passenger","36 - 45","Adult","3"
30,246678,"Driver or rider","Motorcycle 125cc and under rider or passenger","46 - 55","Adult","3"
31,243037,"Driver or rider","Motorcycle 125cc and under rider or passenger","56 - 65","Adult","3"
37,301906,"Driver or rider","Motorcycle over 125cc and up to 500cc rider or  pa","21 - 25","Adult","3"
38,291165,"Driver or rider","Motorcycle over 125cc and up to 500cc rider or  pa","26 - 35","Adult","3"
39,310544,"Driver or rider","Motorcycle over 125cc and up to 500cc rider or  pa","36 - 45","Adult","3"
40,311172,"Driver or rider","Motorcycle over 125cc and up to 500cc rider or  pa","46 - 55","Adult","3"
41,309524,"Driver or rider","Motorcycle over 125cc and up to 500cc rider or  pa","56 - 65","Adult","3"
47,429525,"Driver or rider","Motorcycle over 500cc rider or passenger","21 - 25","Adult","3"
48,533628,"Driver or rider","Motorcycle over 500cc rider or passenger","26 - 35","Adult","3"
49,500907,"Driver or rider","Motorcycle over 500cc rider or passenger","36 - 45","Adult","3"
50,398646,"Driver or rider","Motorcycle over 500cc rider or passenger","46 - 55","Adult","3"
51,536047,"Driver or rider","Motorcycle over 500cc rider or passenger","56 - 65","Adult","3"
56,472736,"Driver or rider","Taxi/Private hire car occupant","21 - 25","Adult","3"
57,473526,"Driver or rider","Taxi/Private hire car occupant","26 - 35","Adult","3"
58,475698,"Driver or rider","Taxi/Private hire car occupant","36 - 45","Adult","3"
59,582200,"Driver or rider","Taxi/Private hire car occupant","46 - 55","Adult","3"
60,375633,"Driver or rider","Taxi/Private hire car occupant","56 - 65","Adult","3"
67,590018,"Driver or rider","Car occupant","21 - 25","Adult","3"
68,486638,"Driver or rider","Car occupant","26 - 35","Adult","3"
69,594577,"Driver or rider","Car occupant","36 - 45","Adult","3"
70,490127,"Driver or rider","Car occupant","46 - 55","Adult","3"
71,490943,"Driver or rider","Car occupant","56 - 65","Adult","3"
76,715218,"Driver or rider","Minibus (8 - 16 passenger seats) occupant","21 - 25","Adult","3"
77,496568,"Driver or rider","Minibus (8 - 16 passenger seats) occupant","26 - 35","Adult","3"
78,461657,"Driver or rider","Minibus (8 - 16 passenger seats) occupant","36 - 45","Adult","3"
79,675614,"Driver or rider","Minibus (8 - 16 passenger seats) occupant","46 - 55","Adult","3"
80,679964,"Driver or rider","Minibus (8 - 16 passenger seats) occupant","56 - 65","Adult","3"
85,678694,"Driver or rider","Bus or coach occupant (17 or more pass seats)","21 - 25","Adult","3"
86,756488,"Driver or rider","Bus or coach occupant (17 or more pass seats)","26 - 35","Adult","3"
87,654018,"Driver or rider","Bus or coach occupant (17 or more pass seats)","36 - 45","Adult","3"
88,661741,"Driver or rider","Bus or coach occupant (17 or more pass seats)","46 - 55","Adult","3"
89,697635,"Driver or rider","Bus or coach occupant (17 or more pass seats)","56 - 65","Adult","3"
97,631475,"Driver or rider","Horse rider","21 - 25","Adult","3"
