VehicleKey,VehicleNK,VehicleTypeName
1,1,"Pedal cycle"
2,2,"Motorcycle 50cc and under"
3,3,"Motorcycle 125cc and under"
4,4,"Motorcycle over 125cc and up to 500cc"
5,5,"Motorcycle over 500cc"
6,6,"Taxi/Private hire car"
7,7,"Car"
8,8,"Minibus (8 - 16 passenger seats)"
9,9,"Bus or coach (17 or more pass seats)"
10,10,"Ridden horse"
11,11,"Agricultural vehicle"
12,12,"Tram"
13,13,"Van / Goods 3.5 tonnes mgw or under"
14,14,"Goods over 3.5t. and under 7.5t"
15,15,"Goods 7.5 tonnes mgw and over"
16,16,"Mobility scooter"
17,17,"Electric motorcycle"
18,18,"Other vehicle"
19,19,"Motorcycle - unknown cc"
20,20,"Goods vehicle - unknown weight"
21,21,"Data missing or out of range"
