Customer,Product,Serial,StartDate,EndDate,Period (M),Free / Subscription,Given Free,Converted?,variable,value
A,WA,15685,2019-01-01 00:00:00.000,31/12/2019,12,Free,1,Y,StartDate (FreeWare),2020-01-01 00:00:00.000
A,WA,67732,2020-01-01 00:00:00.000,31/5/2020,5,Free,1,Y,StartDate (FreeWare),2020-01-01 00:00:00.000
A,WA,12114,2020-01-06 00:00:00.000,30/6/2020,1,Sub,1,Y,StartDate (FreeWare),2020-01-01 00:00:00.000
A,WA,60719,2020-01-07 00:00:00.000,30/6/2021,12,Sub,1,Y,StartDate (FreeWare),2020-01-01 00:00:00.000
A,QWS,32789,2019-01-01 00:00:00.000,31/12/2019,12,Free,1,N,StartDate (FreeWare),2019-01-01 00:00:00.000
A,KS,48065,2020-01-07 00:00:00.000,30/6/2021,12,Sub,0,N,StartDate (FreeWare),
B,WA,18944,2020-01-01 00:00:00.000,31/5/2020,5,Free,1,Y,StartDate (FreeWare),2020-01-01 00:00:00.000
B,WA,56311,2020-01-06 00:00:00.000,30/6/2020,1,Sub,1,Y,StartDate (FreeWare),2020-01-01 00:00:00.000
B,KS,77724,2020-01-07 00:00:00.000,30/6/2021,12,Sub,0,N,StartDate (FreeWare),
C,QWS,19615,2020-01-07 00:00:00.000,30/6/2021,12,Sub,0,N,StartDate (FreeWare),
C,WA,70867,2020-01-07 00:00:00.000,30/6/2021,12,Sub,0,N,StartDate (FreeWare),
D,WA,30656,2020-01-06 00:00:00.000,30/6/2020,1,Sub,0,N,StartDate (FreeWare),
A,WA,15685,2019-01-01 00:00:00.000,31/12/2019,12,Free,1,Y,EndDate (FreeWare),31/5/2020
A,WA,67732,2020-01-01 00:00:00.000,31/5/2020,5,Free,1,Y,EndDate (FreeWare),31/5/2020
A,WA,12114,2020-01-06 00:00:00.000,30/6/2020,1,Sub,1,Y,EndDate (FreeWare),31/5/2020
A,WA,60719,2020-01-07 00:00:00.000,30/6/2021,12,Sub,1,Y,EndDate (FreeWare),31/5/2020
A,QWS,32789,2019-01-01 00:00:00.000,31/12/2019,12,Free,1,N,EndDate (FreeWare),31/12/2019
A,KS,48065,2020-01-07 00:00:00.000,30/6/2021,12,Sub,0,N,EndDate (FreeWare),
B,WA,18944,2020-01-01 00:00:00.000,31/5/2020,5,Free,1,Y,EndDate (FreeWare),31/5/2020
B,WA,56311,2020-01-06 00:00:00.000,30/6/2020,1,Sub,1,Y,EndDate (FreeWare),31/5/2020
B,KS,77724,2020-01-07 00:00:00.000,30/6/2021,12,Sub,0,N,EndDate (FreeWare),
C,QWS,19615,2020-01-07 00:00:00.000,30/6/2021,12,Sub,0,N,EndDate (FreeWare),
C,WA,70867,2020-01-07 00:00:00.000,30/6/2021,12,Sub,0,N,EndDate (FreeWare),
D,WA,30656,2020-01-06 00:00:00.000,30/6/2020,1,Sub,0,N,EndDate (FreeWare),
A,WA,15685,2019-01-01 00:00:00.000,31/12/2019,12,Free,1,Y,Serial (FreeWare),67732.0
A,WA,67732,2020-01-01 00:00:00.000,31/5/2020,5,Free,1,Y,Serial (FreeWare),67732.0
A,WA,12114,2020-01-06 00:00:00.000,30/6/2020,1,Sub,1,Y,Serial (FreeWare),67732.0
A,WA,60719,2020-01-07 00:00:00.000,30/6/2021,12,Sub,1,Y,Serial (FreeWare),67732.0
A,QWS,32789,2019-01-01 00:00:00.000,31/12/2019,12,Free,1,N,Serial (FreeWare),32789.0
A,KS,48065,2020-01-07 00:00:00.000,30/6/2021,12,Sub,0,N,Serial (FreeWare),
B,WA,18944,2020-01-01 00:00:00.000,31/5/2020,5,Free,1,Y,Serial (FreeWare),18944.0
B,WA,56311,2020-01-06 00:00:00.000,30/6/2020,1,Sub,1,Y,Serial (FreeWare),18944.0
B,KS,77724,2020-01-07 00:00:00.000,30/6/2021,12,Sub,0,N,Serial (FreeWare),
C,QWS,19615,2020-01-07 00:00:00.000,30/6/2021,12,Sub,0,N,Serial (FreeWare),
C,WA,70867,2020-01-07 00:00:00.000,30/6/2021,12,Sub,0,N,Serial (FreeWare),
D,WA,30656,2020-01-06 00:00:00.000,30/6/2020,1,Sub,0,N,Serial (FreeWare),
A,WA,15685,2019-01-01 00:00:00.000,31/12/2019,12,Free,1,Y,Serial (Sub),60719.0
A,WA,67732,2020-01-01 00:00:00.000,31/5/2020,5,Free,1,Y,Serial (Sub),60719.0
A,WA,12114,2020-01-06 00:00:00.000,30/6/2020,1,Sub,1,Y,Serial (Sub),60719.0
