_ownerid_value,_createdby_value,versionnumber,_owningbusinessunit_value,nadb_creditriskstatusid,modifiedon,_owningteam_value,nadb_indicatorname_status,_nadb_riskindicator_value,nadb_statusname,_modifiedonbehalfby_value,_createdonbehalfby_value,nadb_statuscode,statuscode,overriddencreatedon,importsequencenumber,nadb_statuspoints,timezoneruleversionnumber,statecode,nadb_statuspoints2,_modifiedby_value,_nadb_statusmethodology_value,_owninguser_value,nadb_variablerange,createdon,nadb_name2,utcconversiontimezonecode
"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",12032424,"b5152e2f-ebcb-e911-a9aa-000d3a14431b","c27f9979-cc54-ea11-a813-000d3a4edd29",2020-02-21 17:06:59.000,"","There is a 100% funded Debt Service Reserve Fund in place","e39930ab-c154-ea11-a813-000d3a4ed0f6","1.10.3","","","Parent corporate guaranty supported on a rating below BBB",1,,107,,,0,0,"c7205e36-d6ee-42c5-8733-e670621cd834","","c7205e36-d6ee-42c5-8733-e670621cd834","",2020-02-21 17:06:52.000,"",
"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",12032398,"b5152e2f-ebcb-e911-a9aa-000d3a14431b","c87f9979-cc54-ea11-a813-000d3a4edd29",2020-02-21 17:06:59.000,"","Sector Outlook","e59930ab-c154-ea11-a813-000d3a4ed0f6","1.11.2","","","Level 2: Neutral",1,,107,,,0,0,"c7205e36-d6ee-42c5-8733-e670621cd834","","c7205e36-d6ee-42c5-8733-e670621cd834","",2020-02-21 17:06:52.000,"",
"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",12032435,"b5152e2f-ebcb-e911-a9aa-000d3a14431b","ce7f9979-cc54-ea11-a813-000d3a4edd29",2020-02-21 17:06:59.000,"","Project Outlook","e79930ab-c154-ea11-a813-000d3a4ed0f6","1.12.2","","","Level 2: Neutral",1,,107,,,0,0,"c7205e36-d6ee-42c5-8733-e670621cd834","","c7205e36-d6ee-42c5-8733-e670621cd834","",2020-02-21 17:06:52.000,"",
"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",12032413,"b5152e2f-ebcb-e911-a9aa-000d3a14431b","d47f9979-cc54-ea11-a813-000d3a4edd29",2020-02-21 17:06:59.000,"","Number of times that the ratio of 6-month rolling actual production to (seasonalized) 6-month rolling P99 probability of exceedance production has fallen below 1.0x in the past 12 months","e99930ab-c154-ea11-a813-000d3a4ed0f6","1.2.2","","","Has not fallen more than 2 consecutive times in the last 12 months",1,,107,,,0,0,"c7205e36-d6ee-42c5-8733-e670621cd834","","c7205e36-d6ee-42c5-8733-e670621cd834","",2020-02-21 17:06:52.000,"",
"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",12032412,"b5152e2f-ebcb-e911-a9aa-000d3a14431b","d87f9979-cc54-ea11-a813-000d3a4edd29",2020-02-21 17:06:59.000,"","Historical Debt Service Coverage Ratio","eb9930ab-c154-ea11-a813-000d3a4ed0f6","1.3.2","","","Between 1.0x and 1.2x",1,,107,,,0,0,"c7205e36-d6ee-42c5-8733-e670621cd834","","c7205e36-d6ee-42c5-8733-e670621cd834","",2020-02-21 17:06:52.000,"",
"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",12032467,"b5152e2f-ebcb-e911-a9aa-000d3a14431b","e67f9979-cc54-ea11-a813-000d3a4edd29",2020-02-21 17:06:59.000,"","Level of support at the sponsor's corporate level","ef9930ab-c154-ea11-a813-000d3a4ed0f6","1.5.3","","","Level 3: Inexistent and non likely",1,,107,,,0,0,"c7205e36-d6ee-42c5-8733-e670621cd834","","c7205e36-d6ee-42c5-8733-e670621cd834","",2020-02-21 17:06:53.000,"",
"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",12032576,"b5152e2f-ebcb-e911-a9aa-000d3a14431b","f27f9979-cc54-ea11-a813-000d3a4edd29",2020-02-21 17:07:00.000,"","Experience of O&M Contractor","f39930ab-c154-ea11-a813-000d3a4ed0f6","1.7.4","","","External ISP/OEM or Self Performing Operator with < 3+ YoE & < 500 MW wind or < 100 MW solar",1,,107,,,0,0,"c7205e36-d6ee-42c5-8733-e670621cd834","","c7205e36-d6ee-42c5-8733-e670621cd834","",2020-02-21 17:06:53.000,"",
"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",12032584,"b5152e2f-ebcb-e911-a9aa-000d3a14431b","f87f9979-cc54-ea11-a813-000d3a4edd29",2020-02-21 17:07:00.000,"","Term of O&M Agreement","f59930ab-c154-ea11-a813-000d3a4ed0f6","1.8.3","","","Without O&M Agreement or Self Operating",1,,107,,,0,0,"c7205e36-d6ee-42c5-8733-e670621cd834","","c7205e36-d6ee-42c5-8733-e670621cd834","",2020-02-21 17:06:53.000,"",
"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",12032624,"b5152e2f-ebcb-e911-a9aa-000d3a14431b","fe7f9979-cc54-ea11-a813-000d3a4edd29",2020-02-21 17:07:00.000,"","Additional enhancements in place","f79930ab-c154-ea11-a813-000d3a4ed0f6","1.9.3","","","Parent corporate guaranty supported on a rating below BBB",1,,107,,,0,0,"c7205e36-d6ee-42c5-8733-e670621cd834","","c7205e36-d6ee-42c5-8733-e670621cd834","",2020-02-21 17:06:53.000,"",
"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",12032620,"b5152e2f-ebcb-e911-a9aa-000d3a14431b","06809979-cc54-ea11-a813-000d3a4edd29",2020-02-21 17:07:00.000,"","Borrower's Rol in Group","f99930ab-c154-ea11-a813-000d3a4ed0f6","10.1.3","","","Weak",1,,107,,,0,0,"c7205e36-d6ee-42c5-8733-e670621cd834","","c7205e36-d6ee-42c5-8733-e670621cd834","",2020-02-21 17:06:53.000,"",
