Season,match_key,match_no,batsmen,player_key,wicket_status,R,B,M,fours,sixes,SR,special_role,match_date
2008,"20080428CSK","15th match (N)","JDP Oram",1015,"not out",0,0,0,0,0,0,"normal player",2008-04-28 00:00:00.000
2008,"20080429MI","16th match (N)","I Sharma",1059,"not out",0,0,0,0,0,0,"normal player",2008-04-29 00:00:00.000
2008,"20080503KXP","20th match (N)","Joginder Sharma",1017,"not out",0,0,0,0,0,0,"normal player",2008-02-05 00:00:00.000
2008,"20080502DC","20th match (N)","Joginder Sharma",1017,"not out",0,0,0,0,0,0,"normal player",2008-02-05 00:00:00.000
2008,"20080503RCB","21","Z Khan",1008,"not out",0,0,0,0,0,0,"normal player",2008-03-05 00:00:00.000
2008,"20080504RR","23rd match (D/N)","A Nehra",1123,"not out",0,0,0,0,0,0,"normal player",2008-04-05 00:00:00.000
2008,"20080511KKR","31","S Sreesanth",1127,"not out",0,0,0,0,0,0,"normal player",2008-10-05 00:00:00.000
2008,"20080514MI","35th match (N)","GD McGrath",1503,"not out",0,0,0,0,0,0,"normal player",2008-05-13 00:00:00.000
2008,"20080526RR","51","DP Vijaykumar",1510,"not out",0,0,0,0,0,0,"normal player",2008-05-25 00:00:00.000
2008,"20080530RR","55th match (D/N)","A Kumble",1068,"not out",0,0,0,0,0,0,"normal player",2008-05-28 00:00:00.000
2008,"20080601RR","1","MM Patel",1038,"not out",0,0,0,0,0,0,"normal player",2008-05-30 00:00:00.000
2009,"20090419DC","2nd match (D/N)","DW Steyn",1028,"not out",0,0,0,0,0,0,"normal player",2009-04-18 00:00:00.000
2009,"20090420CSK","3rd match","T Kohli",1047,"not out",0,0,0,0,0,0,"normal player",2009-04-19 00:00:00.000
2009,"20090501RCB","20th match (D/N)","Z Khan",1008,"not out",0,0,0,0,0,0,"normal player",2009-04-29 00:00:00.000
2009,"20090503KXP","23rd match","AB Agarkar",1057,"not out",0,0,0,0,0,0,"normal player",2009-01-05 00:00:00.000
2009,"20090503RCB","24th match (D/N)","RR Powar",1106,"not out",0,0,0,0,0,0,"normal player",2009-01-05 00:00:00.000
2009,"20090505DC","26th match (D/N)","A Nehra",1123,"not out",0,0,0,0,0,0,"normal player",2009-02-05 00:00:00.000
2009,"20090505DC","26th match (D/N)","S Tyagi",1120,"not out",0,0,0,0,0,0,"normal player",2009-02-05 00:00:00.000
2009,"20090504CSK","25th match","Y Venugopal Rao",1070,"not out",0,0,0,0,0,0,"normal player",2009-02-05 00:00:00.000
2009,"20090510MI","35th match (D/N)","SL Malinga",1132,"not out",0,0,0,0,0,0,"normal player",2009-08-05 00:00:00.000
2009,"20090514RCB","40th match (D/N)","RP Singh",1089,"not out",0,0,0,0,0,0,"normal player",2009-11-05 00:00:00.000
2009,"20090516CSK","43rd match (D/N)","PJ Sangwan",1100,"not out",0,0,0,0,0,0,"normal player",2009-05-13 00:00:00.000
2009,"20090519RCB","48th match (D/N)","AB Agarkar",1057,"not out",0,0,0,0,0,0,"normal player",2009-05-16 00:00:00.000
2009,"20090520CSK","49th match","Jaskaran Singh",1146,"not out",0,0,0,0,0,0,"normal player",2009-05-17 00:00:00.000
2010,"20100312KKR","55th match","DS Kulkarni",1129,"not out",0,0,0,0,0,0,"normal player",2009-05-21 00:00:00.000
2010,"20100315DC","2nd match (D/N)","Z Khan",1008,"not out",0,0,0,0,0,0,"normal player",2010-03-13 00:00:00.000
2010,"20100320RCB","9th match (N)","R Sathish",1200,"not out",0,0,0,0,0,0,"normal player",2010-03-17 00:00:00.000
2010,"20100323RCB","14th match (N)","SL Malinga",1132,"not out",0,0,0,0,0,0,"normal player",2010-03-20 00:00:00.000
2010,"20100327KKR","19th match (N)","AA Jhunjhunwala",1217,"not out",0,0,0,0,0,0,"normal player",2010-03-24 00:00:00.000
2010,"20100329DC","22nd match (N)","PP Ojha",1090,"not out",0,0,0,0,0,0,"normal player",2010-03-26 00:00:00.000
2010,"20100331DC","25th match (N)","PP Ojha",1090,"not out",0,0,0,0,0,0,"normal player",2010-03-28 00:00:00.000
2010,"20100403MI","28th match (D/N)","C Ganapathy",,"not out",0,0,0,0,0,0,"normal player",2010-03-31 00:00:00.000
2010,"20100404DC","30th match (N)","Y Venugopal Rao",1070,"not out",0,0,0,0,0,0,"normal player",2010-01-04 00:00:00.000
2010,"20100405RR","32nd match (D/N)","S Anirudha",1154,"not out",0,0,0,0,0,0,"normal player",2010-03-04 00:00:00.000
2010,"20100408DC","36th match (N)","PP Ojha",1090,"not out",0,0,0,0,0,0,"normal player",2010-05-04 00:00:00.000
2010,"20100411KXP","40th match (N)","P Kumar",1026,"not out",0,0,0,0,0,0,"normal player",2010-08-04 00:00:00.000
2010,"20100412DC","42nd match (D/N)","SB Jakati",1119,"not out",0,0,0,0,0,0,"normal player",2010-10-04 00:00:00.000
2010,"20100421MI","53rd match (N)","Kamran Khan",1039,"not out",0,0,0,0,0,0,"normal player",2010-04-17 00:00:00.000
2011,"20110409RCB","2nd Semi-Final (N)","SB Jakati",1119,"not out",0,0,0,0,0,0,"normal player",2010-04-22 00:00:00.000
2011,"20110409RR","3rd Place Play-off (N)","Harmeet Singh",1247,"not out",0,0,0,0,0,0,"normal player",2010-04-24 00:00:00.000
2011,"20110417KKR","13th match (N)","KA Pollard",1183,"not out",0,0,0,0,0,0,"normal player",2011-04-15 00:00:00.000
2011,"20110419DC","16th match (D/N)","S Nadeem",1187,"not out",0,0,0,0,0,0,"normal player",2011-04-17 00:00:00.000
2011,"20110424RR","24th match (D/N)","MK Tiwary",1077,"not out",0,0,0,0,0,0,"normal player",2011-04-22 00:00:00.000
2011,"20110501RR","35th match (N)","A Mithun",1206,"not out",0,0,0,0,0,0,"normal player",2011-04-29 00:00:00.000
2011,"20110503KKR","38th match (D/N)","M Kartik",1058,"not out",0,0,0,0,0,0,"normal player",2011-01-05 00:00:00.000
2011,"20110504MI","40th match (D/N)","TL Suman",1107,"not out",0,0,0,0,0,0,"normal player",2011-02-05 00:00:00.000
2011,"20110506RCB","43rd match (D/N)","JA Morkel",1065,"not out",0,0,0,0,0,0,"normal player",2011-04-05 00:00:00.000
2011,"20110512CSK","52nd match (N)","SK Trivedi",1109,"not out",0,0,0,0,0,0,"normal player",2011-09-05 00:00:00.000
2011,"20110513KXP","53rd match (D/N)","I Sharma",1059,"not out",0,0,0,0,0,0,"normal player",2011-10-05 00:00:00.000
2011,"20110514DC","54th match (N)","SL Malinga",1132,"not out",0,0,0,0,0,0,"normal player",2011-10-05 00:00:00.000
2011,"20110515KTK","56th match (N)","WP Saha",1102,"not out",0,0,0,0,0,0,"normal player",2011-12-05 00:00:00.000
2011,"20110517KXP","59th match (N)","DS Kulkarni",1129,"not out",0,0,0,0,0,0,"normal player",2011-05-14 00:00:00.000
2011,"20110516DC","58th match (D/N)","A Mithun",1206,"not out",0,0,0,0,0,0,"normal player",2011-05-14 00:00:00.000
2012,"20120406RR","Final (N)","S Badrinath",1016,"not out",0,0,0,0,0,0,"normal player",2011-05-28 00:00:00.000
2012,"20120525CSK","71","DW Steyn",1028,"not out",0,0,0,0,0,0,"normal player",2012-05-20 00:00:00.000
2012,"20120527KKR","72nd match (N)","GB Hogg",1254,"not out",0,0,0,0,0,0,"normal player",2012-05-20 00:00:00.000
2014,"20140420KXP","4th match (N)","DW Steyn",1028,"not out",0,0,0,0,0,0,"normal player",2014-04-18 00:00:00.000
2018,"20180412SH","3rd match (N)","Washington Sundar",1401,"not out",0,0,0,0,0,0,"normal player",2018-08-04 00:00:00.000
2018,"20180414SH","6th match (N)","SS Iyer",1339,"not out",0,0,0,0,0,0,"normal player",2018-11-04 00:00:00.000
2018,"20180419KXP","12th match (N)","BB Sran",1376,"not out",0,0,0,0,0,0,"normal player",2018-04-15 00:00:00.000
2018,"20180420CSK","13th match (N)","Shivam Mavi",,"not out",0,0,0,0,0,0,"normal player",2018-04-16 00:00:00.000
2018,"20180421KXP","14th match (N)","MJ McClenaghan",1349,"not out",0,0,0,0,0,0,"normal player",2018-04-17 00:00:00.000
2018,"20180421RCB","15th match (N)","JD Unadkat",1288,"not out",0,0,0,0,0,0,"normal player",2018-04-18 00:00:00.000
