Datastore Name,Hypervisor Disk Name,Hypervisor Name,LUN of FS Name,Storage Resource Type,Storage Array Name,Storage Array Type,Storage Array ID,Mountpoint ID,Capacity,Free Capacity
"freenas","FreeBSD iSCSI Disk (t10.FreeBSD_iSCSI_Disk______0025900b9cf0000________________)","esxi-004.device42.pvt","","local","","","","",,
"datastore2","Local ATA Disk (t10.ATA_____INTEL_SSDSC2BB480G6R______________________PHWA5475007X480FGN)","esxi-90-0-6","","local","","","","",,
"datastore3","Local ATA Disk (t10.ATA_____SAMSUNG_MZ7GE960HMHP2D00003______________S1M7NWAG305019______)","esxi-90-0-6","","local","","","","",,
"datastore1","Local DELL Disk (naa.6a4badb02deb0a0020f15aaf06f7519d)","esxi-prod4.device42.pvt","","local","","","","",,
"netapp-2","NETAPP Fibre Channel Disk (naa.60a98000534b58424c4b4570474c7552)","esxi-003.device42.pvt","esxi","lun","WH-NETAPP-01","Array (NETAPP)","2042","",,
"10.42.0.163-datastore2","Local DELL Disk (naa.6782bcb020e19800231ae0480c41cc69)","esxi-020.device42.pvt","","local","","","","",,
"D01","Local DELL Disk (naa.690b11c008de710021c4f25411619dc9)","d42-build002.device42.pvt","","local","","","","",,
"datastore1","DELL Serial Attached SCSI Disk (naa.614187703d6a4b001f45c06a1f1415c4)","esxi-003.device42.pvt","","local","","","","",,
"datastore1","Local DELL Disk (naa.60026b902dd39700218d806a0d275a97)","10.42.0.157","","local","","","","",,
"datastore1","Local DELL Disk (naa.6a4badb01f77ce002185e0eb0e177e05)","esxi-014.device42.pvt","","local","","","","",,
"datastore3","Local ATA Disk (t10.ATA_____SAMSUNG_MZ7LM960HCHP2D00005______________S2E3NXAGA01882______)","esxi-90-0-3","","local","","","","",,
"datastore1","Local DELL Disk (naa.60026b902deb9a002111d089085073b7)","d42build-001.device42.pvt","","local","","","","",,
"D01","Local DELL Disk (naa.690b11c008de710028b86bca06950013)","d42-build002.device42.pvt","","local","","","","",,
"datastore1","Local DELL Disk (naa.6d4ae520a40edf0020baf68b04ae0c6e)","esxi-005.device42.pvt","","local","","","","",,
"D02","Local DELL Disk (naa.690b11c008de710028b790d10a77aafd)","d42-build002.device42.pvt","","local","","","","",,
"datastore1","Local DELL Disk (naa.6782bcb00bcde100216521c10b8a62ec)","esxi-017.device42.pvt","","local","","","","",,
"datastore1","Local DELL Disk (naa.6782bcb038d264002025ba3219bb759b)","esxi-004.device42.pvt","","local","","","","",,
"netapp","NETAPP Fibre Channel Disk (naa.60a98000534b58424c4b445a5539684f)","esxi-003.device42.pvt","kvm","lun","WH-NETAPP-01","Array (NETAPP)","2042","",,
"datastore1","Local ATA Disk (t10.ATA_____INTEL_SSDSC2BB480G6R______________________BTWA618205JY480FGN)","esxi-90-0-6","","local","","","","",,
"datastore1","Local ATA Disk (t10.ATA_____INTEL_SSDSC2BB480G6R______________________BTWA618205KE480FGN)","esxi-90-0-3","","local","","","","",,
"d42build-001-data","Local DELL Disk (naa.60026b902deb9a002111d0be0b704010)","d42build-001.device42.pvt","","local","","","","",,
"10.42.0.163-datastore1","Local DELL Disk (naa.6782bcb020e19800231ae0420be8651f)","esxi-020.device42.pvt","","local","","","","",,
"datastore2","Local ATA Disk (t10.ATA_____INTEL_SSDSC2BB480G6R______________________PHWA5456007P480FGN)","esxi-90-0-3","","local","","","","",,
