os_group_w_other,month,device_count,percent_device_count
"Ubuntu-16",2020-11-01 00:00:00.000,39,0.99
"Microsoft Windows Server 2012 R2 Standard",2020-11-01 00:00:00.000,71,1.81
"Ubuntu-18",2020-11-01 00:00:00.000,669,17.03
"Ubuntu Linux (64-bit)-",2020-11-01 00:00:00.000,73,1.86
"CentOS-7",2020-11-01 00:00:00.000,42,1.07
"Debian GNU/Linux 10 (buster)-10",2020-11-01 00:00:00.000,19,0.48
"Microsoft Windows Server 2008 R2 (64-bit)",2020-11-01 00:00:00.000,221,5.62
"Other",2020-11-01 00:00:00.000,456,11.61
"Partial Discovery",2020-11-01 00:00:00.000,2136,54.36
"CentOS-",2020-11-01 00:00:00.000,203,5.17
"CentOS-7",2020-12-01 00:00:00.000,42,1.06
"Ubuntu Linux (64-bit)-",2020-12-01 00:00:00.000,73,1.84
"Ubuntu-18",2020-12-01 00:00:00.000,684,17.28
"Other",2020-12-01 00:00:00.000,461,11.65
"Microsoft Windows Server 2012 R2 Standard",2020-12-01 00:00:00.000,73,1.84
"Partial Discovery",2020-12-01 00:00:00.000,2136,53.97
"Microsoft Windows Server 2008 R2 (64-bit)",2020-12-01 00:00:00.000,221,5.58
"CentOS-",2020-12-01 00:00:00.000,208,5.26
"Debian GNU/Linux 10 (buster)-10",2020-12-01 00:00:00.000,21,0.53
"Ubuntu-16",2020-12-01 00:00:00.000,39,0.99
"Debian GNU/Linux 10 (buster)-10",2021-01-01 00:00:00.000,22,0.55
"Ubuntu Linux (64-bit)-",2021-01-01 00:00:00.000,80,2
"Other",2021-01-01 00:00:00.000,470,11.74
"Partial Discovery",2021-01-01 00:00:00.000,2137,53.4
"Ubuntu-16",2021-01-01 00:00:00.000,39,0.97
"CentOS-",2021-01-01 00:00:00.000,234,5.85
"Microsoft Windows Server 2012 R2 Standard",2021-01-01 00:00:00.000,73,1.82
"Microsoft Windows Server 2008 R2 (64-bit)",2021-01-01 00:00:00.000,221,5.52
"CentOS-7",2021-01-01 00:00:00.000,42,1.05
"Ubuntu-18",2021-01-01 00:00:00.000,684,17.09
"CentOS-7",2021-02-01 00:00:00.000,42,1
"Microsoft Windows Server 2008 R2 (64-bit)",2021-02-01 00:00:00.000,221,5.26
"Ubuntu-18",2021-02-01 00:00:00.000,714,17
"Ubuntu-16",2021-02-01 00:00:00.000,39,0.93
"Other",2021-02-01 00:00:00.000,490,11.67
"Microsoft Windows Server 2012 R2 Standard",2021-02-01 00:00:00.000,74,1.76
"Partial Discovery",2021-02-01 00:00:00.000,2275,54.18
"CentOS-",2021-02-01 00:00:00.000,240,5.72
"Ubuntu Linux (64-bit)-",2021-02-01 00:00:00.000,80,1.91
"Debian GNU/Linux 10 (buster)-10",2021-02-01 00:00:00.000,24,0.57
"Microsoft Windows Server 2012 R2 Standard",2021-03-01 00:00:00.000,74,1.75
"CentOS-7",2021-03-01 00:00:00.000,42,0.99
"Partial Discovery",2021-03-01 00:00:00.000,2278,53.85
"Debian GNU/Linux 10 (buster)-10",2021-03-01 00:00:00.000,25,0.59
"Ubuntu Linux (64-bit)-",2021-03-01 00:00:00.000,80,1.89
"Ubuntu-16",2021-03-01 00:00:00.000,39,0.92
"Microsoft Windows Server 2008 R2 (64-bit)",2021-03-01 00:00:00.000,221,5.22
"CentOS-",2021-03-01 00:00:00.000,252,5.96
"Ubuntu-18",2021-03-01 00:00:00.000,715,16.9
"Other",2021-03-01 00:00:00.000,504,11.91
"Ubuntu-16",2021-04-01 00:00:00.000,34,1.87
"CentOS-",2021-04-01 00:00:00.000,221,12.18
"Partial Discovery",2021-04-01 00:00:00.000,710,39.12
"Ubuntu Linux (64-bit)-",2021-04-01 00:00:00.000,75,4.13
"Ubuntu-18",2021-04-01 00:00:00.000,27,1.49
"Microsoft Windows Server 2012 R2 Standard",2021-04-01 00:00:00.000,71,3.91
"Debian GNU/Linux 10 (buster)-10",2021-04-01 00:00:00.000,1,0.06
"Microsoft Windows Server 2008 R2 (64-bit)",2021-04-01 00:00:00.000,220,12.12
"CentOS-7",2021-04-01 00:00:00.000,40,2.2
