last_update,device_id,device_name,host_id,virtual_host_hostname,hardware_type,virtual_subtype,os_name,os_version_no,volume_capacity_in_mb,free_space_in_mb,used_space_in_mb
2021-04-02 23:40:43.006,"5554","debian-60-001.device42.pvt","","","virtual","Citrix/Xen","Linux","",7293,6600,693
2021-04-02 23:40:51.483,"5682","eddie","","","other","","Microsoft Windows 10 Pro","",484590,181265,303325
2021-04-02 23:40:51.960,"5768","win-w2k3-std32","","","virtual","VMWare","Microsoft(R) Windows(R) Server 2003, Standard Edition","",21006,9126,11339
2021-04-02 23:40:53.633,"5777","nh-win2k8r2-vm-03.device42.pvt","","","virtual","VMWare","Microsoft Windows Server 2008 R2 Enterprise","",27330,11980,12493
2021-04-29 16:01:53.566,"6234","winsupjump-2-238","","","virtual","VMWare","Microsoft Windows Server 2012 R2 Standard","",10349788,729212,9620576
2021-04-02 23:40:59.130,"6328","ws2016cl-node-1.device42.pvt","","","virtual","Hyper-V","Microsoft Windows Server 2016 Standard","",56691,33197,17884
2021-04-02 23:41:01.996,"6426","ws2016cl-node-2.device42.pvt","","","virtual","Hyper-V","Microsoft Windows Server 2016 Standard","",56691,33046,18035
2021-04-02 23:41:02.490,"6428","w2012-vra-3-23","","","virtual","VMWare","Microsoft Windows Server 2012 R2 Standard","",40684,6363,34244
2021-04-02 23:41:02.730,"6430","WIN-D2PETI724EC","","","virtual","Hyper-V","Microsoft Hyper-V Server","",131486,117425,12520
2021-04-02 23:41:02.970,"6431","WIN-RM49QBKPKDM","","","virtual","VMWare","Microsoft Windows Server 2012 R2 Standard","",101897,85890,16007
2021-02-19 05:06:47.090,"6444","win-phy-001","","","physical","","windows","",1187628,558830,628798
2021-05-24 15:27:05.983,"9965","LAPTOP-3I66LDG9","","","physical","","Microsoft Windows 10 Home","",488363,368152,120211
2021-04-02 23:41:41.046,"10056","w16-R1-252-251.d42-root.local","","","virtual","VMWare","Microsoft Windows Server 2016 Standard","",46566,8531,32425
2021-04-02 23:41:42.523,"10083","ws2016dc-hyperv-001","","","physical","","Microsoft Windows Server 2016 Datacenter","",2162216,426405,1735811
2021-10-04 20:58:21.010,"10098","Ian Laptop","","","other","","Microsoft Windows 10 Home","",488708,290497,198211
2021-04-02 23:42:00.336,"10329","win2k3-test-dl","","","virtual","VMWare","Microsoft(R) Windows(R) Server 2003, Standard Edition","",21089,17685,2780
2021-04-02 23:42:07.746,"10412","WINDOWS-32RBQTA","","","virtual","VMWare","Microsoft Windows Server 2012 R2 Standard","",40956,30095,10861
2021-04-02 23:42:07.990,"10413","WINDOWS-IQOLR68","","","virtual","VMWare","Microsoft Windows Server 2012 R2 Standard","",40956,25628,15328
2021-04-02 23:42:08.490,"10415","WINDOWS-S09MSCU","","","virtual","VMWare","Microsoft Windows Server 2012 R2 Standard","",40956,29972,10984
2021-04-02 23:42:08.730,"10416","WINDOWS-INQD5IJ","","","virtual","VMWare","Microsoft Windows Server 2012 R2 Standard","",40956,30057,10899
2021-04-02 23:42:09.446,"10419","WINDOWS-5ELAB85.d42-laps.local","","","virtual","VMWare","Microsoft Windows Server 2012 R2 Standard","",115667,100242,12390
2021-04-02 23:42:09.693,"10420","WINDOWS-HVBKOST","","","virtual","VMWare","Microsoft Windows Server 2012 R2 Standard","",40956,29057,11899
