Category,Axis,Line1,Line2,Line3,Index,Combo,Combo2
Alibaba,May,35,86,25,5,35|86,35|25
Google,Apr,-41,80,86,4,-41|80,-41|86
Apple,Jun,88,-75,-7,6,88|-75,88|-7
Apple,May,74,-66,-95,5,74|-66,74|-95
Amazon,Mar,87,-51,37,3,87|-51,87|37
Apple,Mar,-73,68,-16,3,-73|68,-73|-16
Google,Jun,-93,-65,-61,6,-93|-65,-93|-61
Alibaba,Feb,77,1,82,2,77|1,77|82
YouTube,May,-44,64,-23,5,-44|64,-44|-23
Amazon,Apr,32,73,-76,4,32|73,32|-76
Microsoft,Jan,29,19,-66,1,29|19,29|-66
Microsoft,May,-46,-5,35,5,-46|-5,-46|35
Google,Jan,3,67,-87,1,3|67,3|-87
Google,Feb,-31,22,83,2,-31|22,-31|83
Microsoft,Jun,20,5,-20,6,20|5,20|-20
Alibaba,Mar,-3,52,-86,3,-3|52,-3|-86
Alibaba,Jan,17,-25,35,1,17|-25,17|35
Microsoft,Feb,90,32,14,2,90|32,90|14
Microsoft,Mar,-60,64,-10,3,-60|64,-60|-10
YouTube,Mar,6,-47,-97,3,6|-47,6|-97
Microsoft,Apr,-7,-62,-87,4,-7|-62,-7|-87
YouTube,Feb,16,78,-94,2,16|78,16|-94
Apple,Feb,-60,98,16,2,-60|98,-60|16
YouTube,Apr,11,52,87,4,11|52,11|87
Apple,Jan,55,-14,-43,1,55|-14,55|-43
Google,Mar,-66,-49,47,3,-66|-49,-66|47
Apple,Apr,-71,-18,52,4,-71|-18,-71|52
Amazon,Jan,-38,80,-41,1,-38|80,-38|-41
Google,May,-13,59,15,5,-13|59,-13|15
YouTube,Jun,-70,-82,-24,6,-70|-82,-70|-24
Amazon,Feb,-65,-25,-54,2,-65|-25,-65|-54
Amazon,May,35,-64,-91,5,35|-64,35|-91
Alibaba,Apr,26,-21,19,4,26|-21,26|19
YouTube,Jan,-61,53,-36,1,-61|53,-61|-36
