ID,Submitted Date,Date Resolved
1,2020-02-17 00:00:00.000,2020-08-26 00:00:00.000
2,2020-02-27 00:00:00.000,2020-08-27 00:00:00.000
3,2020-04-29 00:00:00.000,2020-08-24 00:00:00.000
4,2020-04-30 00:00:00.000,2020-08-24 00:00:00.000
5,2020-05-04 00:00:00.000,2020-08-24 00:00:00.000
6,2020-05-07 00:00:00.000,2020-08-26 00:00:00.000
7,2020-05-22 00:00:00.000,2020-08-24 00:00:00.000
8,2020-06-04 00:00:00.000,2020-08-28 00:00:00.000
9,2020-06-10 00:00:00.000,2020-08-24 00:00:00.000
10,2020-06-11 00:00:00.000,2020-08-28 00:00:00.000
11,2020-07-09 00:00:00.000,2020-08-24 00:00:00.000
12,2020-07-14 00:00:00.000,2020-08-27 00:00:00.000
13,2020-07-21 00:00:00.000,2020-08-24 00:00:00.000
14,2020-08-04 00:00:00.000,2020-08-27 00:00:00.000
15,2020-08-05 00:00:00.000,2020-08-28 00:00:00.000
16,2020-08-10 00:00:00.000,2020-08-24 00:00:00.000
17,2020-08-11 00:00:00.000,2020-08-24 00:00:00.000
18,2020-08-14 00:00:00.000,2020-08-24 00:00:00.000
19,2020-08-19 00:00:00.000,2020-08-25 00:00:00.000
20,2020-08-21 00:00:00.000,2020-08-28 00:00:00.000
21,2020-08-24 00:00:00.000,2020-08-27 00:00:00.000
22,2020-08-26 00:00:00.000,2020-08-27 00:00:00.000
23,2020-08-27 00:00:00.000,2020-08-27 00:00:00.000
24,2020-08-27 00:00:00.000,2020-08-28 00:00:00.000
25,2020-02-09 00:00:00.000,2020-07-04 00:00:00.000
26,2020-05-20 00:00:00.000,2020-07-26 00:00:00.000
27,2020-07-04 00:00:00.000,2020-08-01 00:00:00.000
28,2020-08-10 00:00:00.000,2020-08-11 00:00:00.000
