mktoId,leadId,Activity date,Activitytypeid,Programid,Program name,Acquired By,New Status ID,Old Status ID,Reason,Success,LeadIdProgramId
12375853,318752,2015-12-18 00:00:00.000,104,2167,"Latisys Demo",False,46,31,"Filled out form",False,3187522167
12375885,318752,2015-12-18 00:00:00.000,104,1086,"Program Import Sweepstakes",False,46,31,"Filled out form",False,3187521086
12375925,318752,2015-12-20 00:00:00.000,104,2196,"SOC – Facebook Tabs - 1",False,35,34,"Filled out form",False,3187522196
12375942,1321305,2015-12-20 00:00:00.000,104,2196,"SOC – Facebook Tabs - 1",True,35,34,"Filled out form",False,13213052196
12376021,318752,2015-12-23 00:00:00.000,104,2202,"Vital Images Demo",False,46,31,"Filled out form",False,3187522202
12376085,1323994,2015-12-23 00:00:00.000,104,2203,"Vital Images Webinar",True,2,1,"List import",False,13239942203
12376087,1323965,2015-12-23 00:00:00.000,104,2203,"Vital Images Webinar",False,2,1,"List import",False,13239652203
12376088,1323964,2015-12-23 00:00:00.000,104,2203,"Vital Images Webinar",False,2,1,"List import",False,13239642203
12376089,1323963,2015-12-23 00:00:00.000,104,2203,"Vital Images Webinar",False,2,1,"List import",False,13239632203
12376090,1323962,2015-12-23 00:00:00.000,104,2203,"Vital Images Webinar",False,2,1,"List import",False,13239622203
12376091,1323969,2015-12-23 00:00:00.000,104,2203,"Vital Images Webinar",False,2,1,"List import",False,13239692203
12376092,1323968,2015-12-23 00:00:00.000,104,2203,"Vital Images Webinar",False,2,1,"List import",False,13239682203
12376093,1323967,2015-12-23 00:00:00.000,104,2203,"Vital Images Webinar",False,2,1,"List import",False,13239672203
12376094,1323966,2015-12-23 00:00:00.000,104,2203,"Vital Images Webinar",False,2,1,"List import",False,13239662203
12376265,318752,2015-12-30 00:00:00.000,104,2216,"Ghostery Enterprise Demo",False,46,31,"Filled out form",False,3187522216
12376278,1321305,2015-12-30 00:00:00.000,104,2216,"Ghostery Enterprise Demo",False,46,31,"Filled out form",False,13213052216
12376341,1321305,2015-12-30 00:00:00.000,104,2196,"SOC – Facebook Tabs - 1",False,35,35,"Lead merge transferring program membership (transfer)",False,13213052196
12376356,1321305,2015-12-30 00:00:00.000,104,1070,"MSC - Contact Me",True,44,44,"Lead merge transferring program membership (transfer)",False,13213051070
12376358,1321305,2015-12-30 00:00:00.000,104,1136,"Patient Information / AOB",False,50,50,"Lead merge transferring program membership (transfer)",True,13213051136
12376360,1321305,2015-12-30 00:00:00.000,104,1063,"Social Dashboard",False,55,55,"Lead merge transferring program membership (transfer)",False,13213051063
12376362,1321305,2015-12-30 00:00:00.000,104,1163,"Evisors Email Program",False,35,35,"Lead merge transferring program membership (transfer)",False,13213051163
12376364,1321305,2015-12-30 00:00:00.000,104,1446,"CSC Demo Program",False,35,35,"Lead merge transferring program membership (transfer)",False,13213051446
12376366,1321305,2015-12-30 00:00:00.000,104,2216,"Ghostery Enterprise Demo",False,46,46,"Lead merge transferring program membership (transfer)",False,13213052216
12376386,1321305,2015-12-30 00:00:00.000,104,1787,"Eng Score Test",False,52,52,"Lead merge transferring program membership (transfer)",False,13213051787
12376388,1321305,2015-12-30 00:00:00.000,104,1792,"Eng Score Test.Engagement Score",False,120,120,"Lead merge transferring program membership (transfer)",True,13213051792
12376390,1321305,2015-12-30 00:00:00.000,104,2196,"SOC – Facebook Tabs - 1",False,35,35,"Lead merge transferring program membership (transfer)",False,13213052196
12402848,1324022,2015-12-31 00:00:00.000,104,2222,"Rave Mobile Safety - 1",True,35,34,"Filled out form",False,13240222222
