mktoId,leadId,Activity date,activityTypeId,WebpageId,Webpage,Client IP Address,Query Parameters,Referrer URL,User Agent,Personalized URL,Search Engine,Search Query,Activity hour of day
12375838,318752,2015-12-17 00:00:00.000,1,13321,"FormCompletion","12.234.36.130","","","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36",,"","",16
12375872,318752,2015-12-18 00:00:00.000,1,6632,"ProgramImportContest","70.211.69.0","","","Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_1 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D201 Safari/9537.53",,"","",5
12375912,318752,2015-12-20 00:00:00.000,1,15473,"SOC--Facebook-Tabs---1_Landing-Page","12.234.36.130","","","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36",,"","",16
12375931,318752,2015-12-20 00:00:00.000,1,15473,"SOC--Facebook-Tabs---1_Landing-Page","12.234.36.130","","","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36",,"","",16
12375932,318752,2015-12-20 00:00:00.000,1,15473,"SOC--Facebook-Tabs---1_Landing-Page","12.234.36.130","","","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36",,"","",16
12375933,1321305,2015-12-20 00:00:00.000,1,15473,"SOC--Facebook-Tabs---1_Landing-Page","12.234.36.130","","","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36",,"","",16
12376008,318752,2015-12-23 00:00:00.000,1,13269,"HIMSSSubscription_LP_Grassland_v1","12.234.36.130","","","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0",False,"","",12
12376014,318752,2015-12-23 00:00:00.000,1,15483,"VitalImagesDemo_DemoTemplate","12.234.36.130","","","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0",False,"","",13
12376258,318752,2015-12-30 00:00:00.000,1,15503,"GhosteryEnterpriseDemo_DemoTemplate","50.143.145.228","","","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:30.0) Gecko/20100101 Firefox/30.0",False,"","",1
12376269,318752,2015-12-30 00:00:00.000,1,15503,"GhosteryEnterpriseDemo_buy","50.143.145.228","","","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:30.0) Gecko/20100101 Firefox/30.0",False,"","",1
12376271,318752,2015-12-30 00:00:00.000,1,15503,"GhosteryEnterpriseDemo_buy","50.143.145.228","","","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:30.0) Gecko/20100101 Firefox/30.0",False,"","",1
12376281,1321305,2015-12-30 00:00:00.000,1,15503,"GhosteryEnterpriseDemo_buy","50.143.145.228","","","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:30.0) Gecko/20100101 Firefox/30.0",False,"","",1
12402828,1324022,2015-12-31 00:00:00.000,1,15513,"Triggered-Campaign-Example_Rave-Mobile-Landing-Page-Example_1","12.234.36.130","","","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36",False,"","",9
12402837,1324022,2015-12-31 00:00:00.000,1,15514,"Rave-Mobile-Safety---1_Smart911-Intro","12.234.36.130","","","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36",,"","",11
12402869,1324023,2016-01-01 00:00:00.000,1,15518,"SFDC-SYNC_Landing-Page","12.234.36.130","","","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36",,"","",17
