Date,DayOfMonth,MonthNumberOfYear,Year,QuarterOfYear,DayOfWeekNumber,MonthName,DayName,IsThisWeek,IsToday,IsThisYear,IsThisMonth,IsThisQuarter,IsLast30Days,Week Ending
2015-07-01 00:00:00.000,1,7,2015,"3",4,"July","Wednesday","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",2015-07-04 00:00:00.000
2015-07-02 00:00:00.000,2,7,2015,"3",5,"July","Thursday","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",2015-07-04 00:00:00.000
2015-07-03 00:00:00.000,3,7,2015,"3",6,"July","Friday","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",2015-07-04 00:00:00.000
2015-07-04 00:00:00.000,4,7,2015,"3",7,"July","Saturday","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",2015-07-04 00:00:00.000
2015-07-05 00:00:00.000,5,7,2015,"3",1,"July","Sunday","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",2015-07-11 00:00:00.000
2015-07-06 00:00:00.000,6,7,2015,"3",2,"July","Monday","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",2015-07-11 00:00:00.000
2015-07-07 00:00:00.000,7,7,2015,"3",3,"July","Tuesday","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",2015-07-11 00:00:00.000
2015-07-08 00:00:00.000,8,7,2015,"3",4,"July","Wednesday","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",2015-07-11 00:00:00.000
2015-07-09 00:00:00.000,9,7,2015,"3",5,"July","Thursday","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",2015-07-11 00:00:00.000
2015-07-10 00:00:00.000,10,7,2015,"3",6,"July","Friday","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",2015-07-11 00:00:00.000
2015-07-11 00:00:00.000,11,7,2015,"3",7,"July","Saturday","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",2015-07-11 00:00:00.000
2015-07-12 00:00:00.000,12,7,2015,"3",1,"July","Sunday","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",2015-07-18 00:00:00.000
2015-07-13 00:00:00.000,13,7,2015,"3",2,"July","Monday","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",2015-07-18 00:00:00.000
2015-07-14 00:00:00.000,14,7,2015,"3",3,"July","Tuesday","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",2015-07-18 00:00:00.000
2015-07-15 00:00:00.000,15,7,2015,"3",4,"July","Wednesday","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",2015-07-18 00:00:00.000
2015-07-16 00:00:00.000,16,7,2015,"3",5,"July","Thursday","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",2015-07-18 00:00:00.000
2015-07-17 00:00:00.000,17,7,2015,"3",6,"July","Friday","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",2015-07-18 00:00:00.000
2015-07-18 00:00:00.000,18,7,2015,"3",7,"July","Saturday","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",2015-07-18 00:00:00.000
