ProductKey,ProductName,SubCategory,Category,StandardCost,Color,ListPrice,DaysToManufacture,ProductLine,ModelName,Photo,ProductDescription,StartDate
1,"Adjustable Race","","","","NA","",0,"","","http://www.avising.com/me/LearnPBI/DataSources/ProductImages/1.jpg","",1998-06-01 00:00:00.000
2,"Bearing Ball","","","","NA","",0,"","","http://www.avising.com/me/LearnPBI/DataSources/ProductImages/2.jpg","",1998-06-01 00:00:00.000
4,"Headset Ball Bearings","","","","NA","",0,"","","http://www.avising.com/me/LearnPBI/DataSources/ProductImages/4.jpg","",1998-06-01 00:00:00.000
12,"Crown Race","","","","NA","",0,"","","http://www.avising.com/me/LearnPBI/DataSources/ProductImages/12.jpg","",1998-06-01 00:00:00.000
14,"Decal 1","","","","NA","",0,"","","http://www.avising.com/me/LearnPBI/DataSources/ProductImages/14.jpg","",1998-06-01 00:00:00.000
15,"Decal 2","","","","NA","",0,"","","http://www.avising.com/me/LearnPBI/DataSources/ProductImages/15.jpg","",1998-06-01 00:00:00.000
22,"Flat Washer 1","","","","NA","",0,"","","http://www.avising.com/me/LearnPBI/DataSources/ProductImages/22.jpg","",1998-06-01 00:00:00.000
23,"Flat Washer 6","","","","NA","",0,"","","http://www.avising.com/me/LearnPBI/DataSources/ProductImages/23.jpg","",1998-06-01 00:00:00.000
24,"Flat Washer 2","","","","NA","",0,"","","http://www.avising.com/me/LearnPBI/DataSources/ProductImages/24.jpg","",1998-06-01 00:00:00.000
25,"Flat Washer 9","","","","NA","",0,"","","http://www.avising.com/me/LearnPBI/DataSources/ProductImages/25.jpg","",1998-06-01 00:00:00.000
26,"Flat Washer 4","","","","NA","",0,"","","http://www.avising.com/me/LearnPBI/DataSources/ProductImages/26.jpg","",1998-06-01 00:00:00.000
27,"Flat Washer 3","","","","NA","",0,"","","http://www.avising.com/me/LearnPBI/DataSources/ProductImages/27.jpg","",1998-06-01 00:00:00.000
28,"Flat Washer 8","","","","NA","",0,"","","http://www.avising.com/me/LearnPBI/DataSources/ProductImages/28.jpg","",1998-06-01 00:00:00.000
29,"Flat Washer 5","","","","NA","",0,"","","http://www.avising.com/me/LearnPBI/DataSources/ProductImages/29.jpg","",1998-06-01 00:00:00.000
30,"Flat Washer 7","","","","NA","",0,"","","http://www.avising.com/me/LearnPBI/DataSources/ProductImages/30.jpg","",1998-06-01 00:00:00.000
