ProductKey,OrderDate,ShipDate,CustomerKey,PromotionKey,SalesTerritoryKey,SalesOrderNumber,SalesOrderLineNumber,OrderQuantity,UnitPrice,TotalProductCost,SalesAmount,TaxAmt,Total Sales Amount
539,2016-10-14 00:00:00.000,2016-10-21 00:00:00.000,29023,1,1,SO68207,1,1,24.99,9.3463,24.99,1.9992,26.9892
487,2016-11-05 00:00:00.000,2016-11-12 00:00:00.000,11941,1,1,SO69867,3,1,54.99,20.5663,54.99,4.3992,59.3892
360,2015-05-02 00:00:00.000,2015-05-09 00:00:00.000,12128,1,8,SO48099,1,1,2049.0982,1105.81,2049.0982,163.9279,2213.0261
540,2016-05-01 00:00:00.000,2016-05-08 00:00:00.000,20382,1,4,SO57225,2,1,32.6,12.1924,32.6,2.608,35.208
528,2016-11-14 00:00:00.000,2016-11-21 00:00:00.000,23247,1,4,SO70537,2,1,4.99,1.8663,4.99,0.3992,5.389200000000001
536,2016-07-28 00:00:00.000,2016-08-04 00:00:00.000,22360,1,1,SO62898,1,1,29.99,11.2163,29.99,2.3992,32.389199999999995
528,2016-12-07 00:00:00.000,2016-12-14 00:00:00.000,21306,1,6,SO72379,1,4,1.2475,1.8663,4.99,0.3992,5.389200000000001
536,2016-06-30 00:00:00.000,2016-07-07 00:00:00.000,17298,1,9,SO61104,2,1,29.99,11.2163,29.99,2.3992,32.389199999999995
477,2016-09-04 00:00:00.000,2016-09-11 00:00:00.000,20655,1,1,SO65517,2,1,4.99,1.8663,4.99,0.3992,5.389200000000001
528,2016-05-11 00:00:00.000,2016-05-18 00:00:00.000,17653,1,7,SO57769,1,1,4.99,1.8663,4.99,0.3992,5.389200000000001
484,2016-06-15 00:00:00.000,2016-06-22 00:00:00.000,12334,1,10,SO60086,4,4,1.9875,2.9733,7.95,0.636,8.586
465,2016-10-09 00:00:00.000,2016-10-16 00:00:00.000,18414,1,1,SO67953,3,1,24.49,9.1593,24.49,1.9592,26.4492
358,2015-10-20 00:00:00.000,2015-10-27 00:00:00.000,21613,1,6,SO50087,1,2,1024.5491,1105.81,2049.0982,163.9279,2213.0261
562,2016-12-19 00:00:00.000,2016-12-26 00:00:00.000,13964,1,9,SO73335,1,1,2384.07,1481.9379,2384.07,190.7256,2574.7956000000004
312,2014-04-27 00:00:00.000,2014-05-03 00:00:00.000,28293,1,4,SO44449,1,1,3578.27,2171.2942,3578.27,286.2616,3864.5316
222,2016-08-24 00:00:00.000,2016-09-02 00:00:00.000,25249,1,9,SO64843,4,1,34.99,13.0863,34.99,2.7992,37.7892
590,2016-05-15 00:00:00.000,2016-05-22 00:00:00.000,16512,1,10,SO57965,1,1,769.49,419.7784,769.49,61.5592,831.0492
484,2016-11-26 00:00:00.000,2016-12-02 00:00:00.000,27588,1,9,SO71355,3,1,7.95,2.9733,7.95,0.636,8.586
359,2016-11-15 00:00:00.000,2016-11-22 00:00:00.000,17433,1,1,SO70640,1,1,2294.99,1251.9813,2294.99,183.5992,2478.5892
472,2016-09-08 00:00:00.000,2016-09-15 00:00:00.000,15851,1,1,SO65773,4,4,15.875,23.749,63.5,5.08,68.58
489,2016-12-25 00:00:00.000,2017-01-02 00:00:00.000,16133,1,6,SO73737,3,1,53.99,41.5723,53.99,4.3192,58.3092
606,2016-10-29 00:00:00.000,2016-11-06 00:00:00.000,25564,2,9,SO69297,1,1,539.99,343.6496,539.99,43.1992,583.1892
530,2016-08-07 00:00:00.000,2016-08-14 00:00:00.000,25316,1,7,SO63723,1,1,4.99,1.8663,4.99,0.3992,5.389200000000001
535,2016-06-07 00:00:00.000,2016-06-14 00:00:00.000,26171,1,4,SO59514,1,2,12.495,9.3463,24.99,1.9992,26.9892
480,2016-10-10 00:00:00.000,2016-10-17 00:00:00.000,27722,1,9,SO68014,4,1,2.29,0.8565,2.29,0.1832,2.4732
480,2016-02-17 00:00:00.000,2016-02-24 00:00:00.000,16418,1,7,SO52704,2,2,1.145,0.8565,2.29,0.1832,2.4732
541,2016-12-05 00:00:00.000,2016-12-12 00:00:00.000,26926,1,7,SO72233,1,1,28.99,10.8423,28.99,2.3192,31.3092
530,2016-07-12 00:00:00.000,2016-07-19 00:00:00.000,28009,1,4,SO61930,1,4,1.2475,1.8663,4.99,0.3992,5.389200000000001
479,2016-10-07 00:00:00.000,2016-10-14 00:00:00.000,17723,1,10,SO67811,2,1,8.99,3.3623,8.99,0.7192,9.709200000000001
