Column1,American,Continental,Delta,Northwest,United,US Airways,America West, --sub Network,Southwest,jetBlue,AirTran,Frontier,Virgin America, -- sub LCC,Alaska,Hawaiian,Spirit,Allegiant, -- sub Other,Total All Sectors,Total Industry
1995,13326,"$4,354",11386,"$7,762",13027,"$6,268","$1,443",57566,2761,$-,$-,54,$-,2814,958,298,49,$-,1305,61685,69470
1996,13632,"$4,885",11981,"$8,598",14247,"$6,799","$1,625",61768,3269,$-,$-,105,$-,3374,1106,326,54,$-,1486,66628,75286
1997,14284,"$5,686",12773,"$8,722",15069,"$7,112","$1,753",65399,3639,$-,$102,131,$-,3871,1256,332,64,$-,1652,70922,79471
1998,14688,"$6,388",13179,"$7,513",15202,"$7,021","$1,853",65844,3964,$-,$344,182,$-,4490,1371,354,116,$-,1841,72176,80985
1999,14456,"$6,975",13203,"$8,587",15441,"$6,848","$2,024",67533,4499,$-,$486,293,$-,5279,1480,400,212,$-,2093,74905,84317
2000,16371,"$8,062",14138,"$9,523",16603,"$7,556","$2,176",74429,5397,$102,$605,433,$-,6538,1577,475,274,$-,2326,83292,93639
2001,14084,"$7,156",11876,"$8,219",13466,"$6,580","$1,933",63313,5290,$310,$648,429,$-,6678,1565,488,326,$-,2379,72370,80943
2002,14418,"$6,585",10734,"$7,753",11519,"$5,224","$1,920",58153,5237,$615,$714,444,$-,7010,1624,542,379,$-,2546,67709,73352
2003,14236,"$6,556",10272,"$7,617",10619,"$4,925","$2,108",56333,5612,$965,$888,558,$-,8023,1794,627,438,$-,2858,67214,77342
2004,14983,"$7,129",10823,"$8,432",11954,"$5,051","$2,192",60564,6116,"$1,221","$1,003",672,$-,9012,1961,700,468,$46,3176,72752,85697
2005,16572,"$7,943",11346,"$8,838",12460,"$5,046","$2,510",64715,7092,"$1,623","$1,391",806,$-,10912,2118,750,468,$91,3427,79054,93500
2006,17843,"$9,303",11660,"$9,051",13890,"$7,818",$-,69565,8546,"$2,223","$1,810",952,$-,13531,2375,797,516,$178,3867,86962,101294
2007,18088,"$10,357",12768,"$9,293",14846,"$7,935",$-,73287,9167,"$2,632","$2,193",1112,$12,15117,2481,889,686,$259,4314,92718,107015
2008,18220,"$10,958",13767,"$9,386",14728,"$7,973",$-,75031,10225,"$3,056","$2,396",1203,$342,17220,2549,1106,661,$331,4646,96898,111533
2009,15019,"$8,869",11206,"$6,837",11262,"$6,556",$-,59748,9561,"$2,928","$2,079",924,$492,15982,2310,1040,550,$375,4275,80006,91331
2010,16744,"$10,093",21215,$-,13447,"$7,476",$-,68974,11122,"$3,410","$2,345",1085,$658,18621,2599,1155,568,$458,4781,92376,103978
2011,17930,"$11,803",23397,$-,14159,"$8,362",$-,75651,12582,"$4,080","$2,606",1462,$953,21683,3013,1481,732,$532,5757,103092,114299
2012,18723,$-,24427,$-,25666,"$8,841",$-,77658,15453,"$4,549",$-,1169,"$1,223",22394,3290,1767,832,$631,6520,106572,115975
2013,19571,$-,25801,$-,25853,"$9,511",$-,80736,16722,"$4,971",$-,1138,"$1,287",24119,3498,1943,1045,$708,7194,112050,120642
2014,20319,$-,27953,$-,26615,"$9,957",$-,84845,17658,"$5,343",$-,1265,"$1,312",25577,3784,2038,1221,$801,7844,118266,126706
2015,29023,$-,28218,$-,26160,$-,$-,83401,18299,"$5,893",$-,1194,"$1,341",26727,3952,2011,1267,$824,8054,118182,126352
2016,27872,$-,27376,$-,25239,$-,$-,80487,18594,"$6,013",$-,1084,"$1,452",27143,4025,2131,1312,$860,8327,115957,124633
2017,29215,$-,28235,$-,26398,$-,$-,83848,19141,"$6,289",$-,1145,"$1,487",28061,4377,2349,1499,$937,9162,121071,129914
2018,30644,$-,30887,$-,28757,$-,$-,90288,19729,"$6,857",$-,1203,$-,27789,6039,2433,1890,"$1,043",11405,129481,138420
2019,31445,$-,32848,$-,30269,$-,$-,94562,19911,"$7,183",$-,1366,$-,28460,6303,2430,2124,"$1,200",12056,135078,144497
