item,description,product_code,u_m,unit_cost,p_m_t_code,p_m_t
"AOC-AA-DC-061007","90087177","FF-AA-RF","PC",0,"M","Manufactured"
"AOC-AA-DC-061010","90101411","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-005022","F114001362","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-005025","F114001700","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-005026","F114001701","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-005030","F114001993","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-005031","FR26227002","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-005092","03643090","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-005093","03641104","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-005094","03641105","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-005095","03642105","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-005116","03495200","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-005175","12004475","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-005176","12004476","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-006029","12.2.901.0000","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-006039","MK20750505","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-006044","21.64.90.15","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-006070","MA25000012","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-006072","CN23000046","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-006082","CN23000103","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-006083","CN23000104","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-033001","03711260","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-033003","03711270","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-033013","03845350","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-033014","03858320","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-033015","03858330","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-033017","03845330","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-033018","03847330","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-033019","03847350","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-034009","10163850-03-1","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-042005","DF201814108","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-063005","13.0103.0233","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-063007","13.0103.0272","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-063010","13.0103.0296","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-063013","13.0103.0354","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-063014","FT0045266-001","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-072006","10020000171","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-072009","98000045671","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-074006","30020003601","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-074007","30020003611","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-074008","30020003621","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-074009","30020003631","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-074010","98000051491","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-074029","98000023231","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-075002","40160000091","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-075003","40160000101","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-075004","40160000111","FF-AA-RF","PC",0,"M","Manufactured"
"AOS-AA-DC-075005","40160000121","FF-AA-RF","PC",0,"M","Manufactured"
