Pedido,Cod.Produto,Qtde,Vl.Unitario,Vl.Total
102983,21,270,2.25,607.5
189659,22,120,2.5,300.0
18241,22,12,2.05,24.6
169993,22,120,2.3,276.0
92502,24,210,2.02,424.2
39905,17,135,1.07,144.45
103616,9,12,3.1,37.2
135192,23,12,2.5,30.0
114754,21,24,2.42,58.08
186164,5,68,0.67,45.56
87992,21,135,1.88,253.8
47953,21,60,2.15,129.0
76484,23,12,3.2,38.4
149907,24,30,2.0,60.0
196214,22,120,2.47,296.4
136090,24,405,1.75,708.75
45021,16,135,0.55,74.25
117982,24,135,2.25,303.75
69379,40,19,30.0,570.0
157233,21,135,1.95,263.25
41542,21,12,1.95,23.4
158793,16,54,0.6,32.4
156712,22,60,1.97,118.2
80290,24,120,2.1,252.0
115578,21,60,2.35,141.0
66115,21,150,3.4,510.0
155747,22,36,2.1,75.6
53049,24,371,2.32,860.72
50712,24,810,2.13,1725.3
82360,21,60,2.2,132.0
161450,22,60,2.25,135.0
105157,19,294,9.24,2716.56
168936,22,12,2.45,29.4
180640,22,390,3.25,1267.5
39888,1,24,2.57,61.68
97282,24,96,2.35,225.6
79761,42,10,26.0,260.0
82271,23,60,2.7,162.0
24104,13,12,2.5,30.0
42577,24,405,1.8,729.0
29698,24,405,1.83,741.15
141136,21,60,2.1,126.0
157091,17,338,1.35,456.3
31638,16,27,0.57,15.39
146216,46,45,30.0,1350.0
91231,6,24,3.0,72.0
189575,22,270,2.42,653.4
125293,24,375,1.95,731.25
76055,40,92,30.0,2760.0
31140,21,24,1.98,47.52
31149,22,240,1.91,458.4
193869,17,405,1.69,684.45
103183,21,60,2.35,141.0
149307,24,675,1.72,1161.0
73497,24,675,2.7,1822.5
179411,23,24,3.7,88.8
39464,9,12,2.68,32.16
185854,24,203,2.74,556.22
103991,21,270,2.35,634.5
66414,21,36,3.42,123.12
171567,17,338,1.45,490.1
35951,7,12,2.24,26.88
147984,24,525,1.7,892.5
128804,21,270,1.8,486.0
68892,6,12,2.99,35.88
82228,23,60,2.85,171.0
153548,17,135,1.41,190.35
97358,9,12,2.9,34.8
82448,46,24,30.0,720.0
172714,20,60,7.5,450.0
75074,1,12,2.7,32.4
87639,21,60,1.9,114.0
41160,38,48,21.0,1008.0
82479,22,135,1.75,236.25
179289,21,60,3.1,186.0
19851,16,135,0.7,94.5
88083,21,60,1.99,119.4
40575,16,81,0.6,48.6
104724,9,60,3.12,187.2
50769,22,60,2.4,144.0
31042,23,12,2.82,33.84
57765,13,12,2.4,28.8
144218,17,270,1.38,372.6
133392,17,405,1.5,607.5
65154,13,24,2.35,56.4
157970,43,8,26.0,208.0
16914,22,60,2.37,142.2
29061,22,84,1.87,157.08
41358,9,12,2.68,32.16
82009,1,36,2.9,104.4
151200,24,600,1.72,1032.0
58411,17,81,1.45,117.45
114772,23,36,2.8,100.8
130039,24,169,1.9,321.1
78555,38,80,23.0,1840.0
50418,13,36,2.4,86.4
192193,17,135,1.5,202.5
103659,24,108,2.4,259.2
158837,22,90,2.0,180.0
63506,21,36,3.15,113.4
