school Name,ALP Domain,ALP Title,LLP Domain,LLP Title,ID
BROADRICK SECONDARY SCHOOL,STEM,Broadrick Entrepreneurship in STEM,Community & Youth Leadership,"Confidence And REsilience (CARE) though Aesthetics, Community and Youth Leadership",35
SEMBAWANG SECONDARY SCHOOL,Languages & Humanities,Critical & Inventive Thinking (CIT) thru Media Literacy,Community & Youth Leadership,Developing Community Leaders through VIA and Outdoor Education,251
HENRY PARK PRIMARY SCHOOL,Science,Science for Life @ HPPS,Sports & Outdoor Education,Sports4Life @ HHPS,126
WESTWOOD PRIMARY SCHOOL,Innovation & Enterprise,Positive Design Applied Learning Programme,Community Service & Student Leadership,Inspiring Student Leadership and Community Service through Positive Education,312
MERIDIAN PRIMARY SCHOOL,Interdisciplinary,"Nurturing Future Learners, Citizens and Leaders through a whole school interdisciplinary approach in Eco-Environmental Curriculum",Community Service & Student Leadership,Meridian Values-Based Student Leadership In Action For 21CC,170
XINGNAN PRIMARY SCHOOL,Science,Xingnan Explorers,Music & Performing Arts,FLAIR@XINGNAN ? An experience with Performing Arts,323
ROSYTH SCHOOL,Science,Augmenting Science Learning through Innovation,Music & Performing Arts,Programme for Aesthetics Integration@Rosyth (PAIR),246
BUKIT VIEW PRIMARY SCHOOL,Interdisciplinary,"Developing Thinkers, Collaborators and Communicators",Music & Performing Arts,Nurturing Values and Character through Aesthetics,41
RED SWASTIKA SCHOOL,Science,Tinkers to Thinkers (T2T) Programme,Community Service & Student Leadership,Every RSS Student A Leader,239
QUEENSTOWN SECONDARY SCHOOL,Humanities,Minds for the Future ? First Cultivating the Disciplined and Synthesising Mind,Community & Youth Leadership,Community & Youth Leadership,233
YUSOF ISHAK SECONDARY SCHOOL,STEM,"Programme for Authentic Science, Technology and Environmental Learning",Music & Performing Arts / Visual Arts & Design,H2eArts in Tune Programme: History & Heritage through Arts & Music Programme,340
CHRIST CHURCH SECONDARY SCHOOL,STEM,Developing 21st Century Competencies through an Inquiry approach  in Health Science and Technology,Sports & Outdoor Education,Developing Social Emotional Learning Competencies through Outdoor Adventure Learning,67
TELOK KURAU PRIMARY SCHOOL,Coding,Innovative Thinking through Coding and Robotics,Sports & Outdoor Education,Character Development through Team Sports,296
FUHUA SECONDARY SCHOOL,STEM,Forensic Science@Fuhua,Community & Youth Leadership,"Values in Action, Leadership through Service",111
HAI SING CATHOLIC SCHOOL,STEM,Applied Learning in Robotics and Engineering,Community & Youth Leadership,Developing Leadership Competencies in Every HaiSian,124
PEICAI SECONDARY SCHOOL,STEM,?We are what we eat; and what we do? ? Knowing Better; Living Healthier; Transforming Lives,Community & Youth Leadership,Becoming Persons for Others ? Leadership through and for the Community,217
TECK WHYE SECONDARY SCHOOL,STEM,Re-designing the Future with Materials Science,Sports & Outdoor Education,"Sports and Sportsmanship Programme @ TWSS (Experience, Expose, Excel)",295
RADIN MAS PRIMARY SCHOOL,Coding,Nurturing 21st Century Competencies through Computational Thinking With Design Thinking,Sports & Outdoor Education,G.R.I.T@RMPS ? Growth Mindset.Resilience.Independence.Teamwork,235
