OrderID,ProductID,Product,ProductNumber,CustomerID,EmployeeID,OrderDate,Margin,Sales,Cost,Quantity,Year,Quarter,Month,NameOfMonth,WeekOfYear
10718,12,Tank Swimsuit,GL-F110-S,39,3,2007-04-23 00:00:00.000,69.15,363.96,294.81,36,2007,2,4,Nisan,17
10293,18,Deuce Shirt,DC-9824,80,1,2008-06-26 00:00:00.000,44.68,328.56,283.88,12,2008,2,6,Haziran,26
10580,14,Kool Sunglasses,MP-2503,56,7,2007-06-22 00:00:00.000,83.05,363.35,280.3,15,2007,2,6,Haziran,25
10917,30,Baby Dark Lounge Suit,FW-M423,69,5,2008-02-26 00:00:00.000,1.49,26.2,24.71,1,2008,1,2,Şubat,9
10896,45,Danske Treshoe,FR-R72Y-40,50,4,2008-03-16 00:00:00.000,16.62,140.85,124.23,15,2008,1,3,Mart,11
10913,33,Casual Boots,FW-1200,62,3,2008-02-22 00:00:00.000,342.53,1163.5,820.97,40,2008,1,2,Şubat,8
10426,64,WFS Shoes,SO-B909-L,29,5,2008-02-23 00:00:00.000,40.12,233.24,193.12,7,2008,1,2,Şubat,8
10364,71,Atles Lussekofta,LI-1200,19,2,2005-11-23 00:00:00.000,20.22,148.65,128.43,5,2005,4,11,Kasım,48
10296,69,Tube Socks,FC-3982,46,2,2005-07-04 00:00:00.000,3.86,28.35,24.49,15,2005,3,7,Temmuz,28
10847,60,Game Over T-Shirt,BK-R64Y-40,80,1,2008-06-19 00:00:00.000,73.98,279.18,205.2,45,2008,2,6,Haziran,25
10473,33,Casual Boots,BK-T44U-46,38,3,2006-03-10 00:00:00.000,54.88,319.08,264.2,12,2006,1,3,Mart,11
10571,14,Kool Sunglasses,LN-6320,20,4,2007-06-13 00:00:00.000,82.24,278.17,195.93,11,2007,2,6,Haziran,24
10740,56,Slip-on Shoes,HN-7162,89,3,2007-06-09 00:00:00.000,216.43,665.95,449.52,14,2007,2,6,Haziran,23
10404,49,Finnish Sport Blades,RA-7490,49,6,2006-04-21 00:00:00.000,132.0,624.33,492.33,30,2006,2,4,Nisan,17
