ID,ModelID,Name,DataCategory,Description,IsHidden,TableStorageID,ModifiedTime,StructureModifiedTime,SystemFlags,ShowAsVariationsOnly,IsPrivate,DefaultDetailRowsDefinitionID,AlternateSourcePrecedence,RefreshPolicyID,CalculationGroupID,ExcludeFromModelRefresh,LineageTag,SourceLineageTag
12,1,"CustomerHeader","","",True,57,2021-03-25 18:57:07.086,2021-03-24 06:51:39.446,0,False,False,,0,,,False,"0d589b40-b728-43c8-a7e9-476da750f00d",""
15,1,"DateTableTemplate_a8fbd6dd-e60d-4114-a240-ff70f3865ab6","","",True,59,2021-03-23 21:27:23.950,2021-03-15 06:34:20.986,2,False,True,,0,,,False,"882f86c0-56f1-43eb-83f2-55d8b6677158",""
359,1,"ProductHeader","","",True,371,2021-03-25 18:55:50.863,2021-03-15 06:56:45.516,0,False,False,,0,,,False,"7fcdce74-a58a-4eb0-8bc7-b4e97119d34c",""
442,1,"FansHeader","","",True,454,2021-03-25 18:54:22.270,2021-03-15 06:58:06.296,0,False,False,,0,,,False,"cc3c55d8-da9e-477a-986d-03041cedae30",""
7323,1,"Fans","","",False,7439,2021-03-23 21:27:23.950,2021-03-19 10:00:23.476,0,False,False,,0,,,False,"56e34d08-d3e6-4744-8bfc-5529103c14d8",""
8326,1,"Transform-ITData","","",False,8429,2021-03-23 21:27:23.950,2021-03-18 06:17:13.356,0,False,False,,0,,,False,"02f5fd69-05af-4f57-bc31-6a17dbad2428",""
8329,1,"LocalDateTable_5c81c516-76b7-49c5-91d6-6142876dcc54","","",True,8431,2021-03-23 21:27:23.950,2021-03-15 20:00:43.496,2,True,False,,0,,,False,"ecdb3a15-aa5a-423b-a0d0-1f71110a39e9",""
34272,1,"Product","","",False,34284,2021-03-23 21:27:23.950,2021-03-18 15:37:31.960,0,False,False,,0,,,False,"65af8e07-5514-4c44-8ceb-9f7b49eff1d5",""
44610,1,"Key Measures","","",False,44618,2021-03-23 21:27:23.950,2021-03-24 09:40:05.020,0,False,False,,0,,,False,"cc02bf4f-8fc2-474a-b493-1de022481afb",""
61683,1,"LocalDateTable_9122aada-ccf7-4b14-bef5-2add29210e71","","",True,61738,2021-03-23 21:27:23.950,2021-03-23 08:43:58.096,2,True,False,,0,,,False,"97f87ea8-88ee-4f01-a470-05934404a17b",""
61786,1,"LocalDateTable_b7438004-a038-4788-ab72-71cd8db76286","","",True,61841,2021-03-23 21:27:23.950,2021-03-23 08:43:58.366,2,True,False,,0,,,False,"64c59158-b3f3-4b75-8114-3006e9222ed3",""
78537,1,"Customers","","",False,78600,2021-03-25 06:18:38.830,2021-03-25 06:18:38.830,0,False,False,,0,,,False,"73d89b06-23e3-42f9-bd04-1ff412350066",""
