PurchaseOrderID,RevisionNumber,Status,EmployeeID,VendorID,ShipMethodID,OrderDate,ShipDate,SubTotal,TaxAmt,Freight,TotalDue,ModifiedDate,Anio
28,4,4,256,1658,5,2011-12-15 00:00:00.000,2011-12-24 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2011-12-24 00:00:00.000,2011
107,4,4,255,1658,5,2012-03-08 00:00:00.000,2012-03-17 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2012-03-17 00:00:00.000,2012
117,4,4,255,1506,5,2012-03-09 00:00:00.000,2012-03-18 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2012-03-18 00:00:00.000,2012
133,4,4,257,1586,5,2012-03-28 00:00:00.000,2012-04-06 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2012-04-06 00:00:00.000,2012
186,4,4,253,1658,5,2012-06-22 00:00:00.000,2012-07-01 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2012-07-01 00:00:00.000,2012
196,4,4,253,1506,5,2012-06-25 00:00:00.000,2012-07-04 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2012-07-04 00:00:00.000,2012
212,4,4,254,1586,5,2012-07-31 00:00:00.000,2012-08-09 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2012-08-09 00:00:00.000,2012
265,4,4,251,1658,5,2012-10-17 00:00:00.000,2012-10-26 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2012-10-26 00:00:00.000,2012
275,4,4,251,1506,5,2012-10-17 00:00:00.000,2012-10-26 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2012-10-26 00:00:00.000,2012
291,4,4,258,1586,5,2013-02-13 00:00:00.000,2013-02-22 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2013-02-22 00:00:00.000,2013
370,4,4,260,1586,5,2013-05-23 00:00:00.000,2013-06-01 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2013-06-01 00:00:00.000,2013
453,4,4,251,1658,5,2013-08-06 00:00:00.000,2013-08-15 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2013-08-15 00:00:00.000,2013
463,4,4,251,1506,5,2013-08-06 00:00:00.000,2013-08-15 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2013-08-15 00:00:00.000,2013
472,4,4,261,1680,5,2013-08-07 00:00:00.000,2013-08-16 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2013-08-16 00:00:00.000,2013
479,4,4,258,1586,5,2013-08-07 00:00:00.000,2013-08-16 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2013-08-16 00:00:00.000,2013
532,4,4,261,1658,5,2013-08-12 00:00:00.000,2013-08-21 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2013-08-21 00:00:00.000,2013
546,4,4,261,1506,5,2013-08-13 00:00:00.000,2013-08-22 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2013-08-22 00:00:00.000,2013
562,4,4,260,1586,5,2013-08-14 00:00:00.000,2013-08-23 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2013-08-23 00:00:00.000,2013
611,4,4,257,1658,5,2013-08-19 00:00:00.000,2013-08-28 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2013-08-28 00:00:00.000,2013
619,4,4,257,1658,5,2013-08-19 00:00:00.000,2013-08-28 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2013-08-28 00:00:00.000,2013
629,4,4,257,1506,5,2013-08-20 00:00:00.000,2013-08-29 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2013-08-29 00:00:00.000,2013
642,4,4,254,1680,5,2013-08-21 00:00:00.000,2013-08-30 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2013-08-30 00:00:00.000,2013
649,4,4,259,1586,5,2013-08-21 00:00:00.000,2013-08-30 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2013-08-30 00:00:00.000,2013
702,4,4,254,1658,5,2013-08-26 00:00:00.000,2013-09-04 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2013-09-04 00:00:00.000,2013
712,4,4,254,1506,5,2013-08-27 00:00:00.000,2013-09-05 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2013-09-05 00:00:00.000,2013
728,4,4,252,1586,5,2013-08-28 00:00:00.000,2013-09-06 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2013-09-06 00:00:00.000,2013
785,4,4,258,1658,5,2013-09-02 00:00:00.000,2013-09-11 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2013-09-11 00:00:00.000,2013
795,4,4,258,1506,5,2013-09-03 00:00:00.000,2013-09-12 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2013-09-12 00:00:00.000,2013
804,4,4,260,1680,5,2013-09-03 00:00:00.000,2013-09-12 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2013-09-12 00:00:00.000,2013
811,4,4,255,1586,5,2013-09-04 00:00:00.000,2013-09-13 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2013-09-13 00:00:00.000,2013
837,4,4,257,1506,5,2013-09-06 00:00:00.000,2013-09-15 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2013-09-15 00:00:00.000,2013
868,4,4,260,1658,5,2013-09-09 00:00:00.000,2013-09-18 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2013-09-18 00:00:00.000,2013
878,4,4,260,1506,5,2013-09-10 00:00:00.000,2013-09-19 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2013-09-19 00:00:00.000,2013
894,4,4,253,1586,5,2013-09-11 00:00:00.000,2013-09-20 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2013-09-20 00:00:00.000,2013
951,4,4,259,1658,5,2013-09-22 00:00:00.000,2013-10-01 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2013-10-01 00:00:00.000,2013
961,4,4,259,1506,5,2013-09-22 00:00:00.000,2013-10-01 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2013-10-01 00:00:00.000,2013
985,4,4,251,1586,5,2013-09-29 00:00:00.000,2013-10-08 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2013-10-08 00:00:00.000,2013
1050,4,4,256,1658,5,2013-10-14 00:00:00.000,2013-10-23 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2013-10-23 00:00:00.000,2013
1068,4,4,252,1506,5,2013-10-20 00:00:00.000,2013-10-29 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2013-10-29 00:00:00.000,2013
1114,4,4,254,1658,5,2013-11-07 00:00:00.000,2013-11-16 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2013-11-16 00:00:00.000,2013
1124,4,4,254,1506,5,2013-11-08 00:00:00.000,2013-11-17 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2013-11-17 00:00:00.000,2013
1193,4,4,258,1658,5,2013-11-18 00:00:00.000,2013-11-27 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2013-11-27 00:00:00.000,2013
1203,4,4,258,1506,5,2013-11-19 00:00:00.000,2013-11-28 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2013-11-28 00:00:00.000,2013
1212,4,4,260,1680,5,2013-11-20 00:00:00.000,2013-11-29 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2013-11-29 00:00:00.000,2013
1219,4,4,255,1586,5,2013-11-20 00:00:00.000,2013-11-29 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2013-11-29 00:00:00.000,2013
1272,4,4,260,1658,5,2013-11-27 00:00:00.000,2013-12-06 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2013-12-06 00:00:00.000,2013
1282,4,4,260,1506,5,2013-11-28 00:00:00.000,2013-12-07 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2013-12-07 00:00:00.000,2013
1298,4,4,253,1586,5,2013-11-29 00:00:00.000,2013-12-08 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2013-12-08 00:00:00.000,2013
1351,4,4,252,1658,5,2013-12-05 00:00:00.000,2013-12-14 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2013-12-14 00:00:00.000,2013
1361,4,4,259,1506,5,2013-12-06 00:00:00.000,2013-12-15 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2013-12-15 00:00:00.000,2013
1377,4,4,251,1586,5,2013-12-09 00:00:00.000,2013-12-18 00:00:00.000,43878.45,3510.276,1096.9613,48485.6873,2013-12-18 00:00:00.000,2013
