responseID_primary key_cleaned,variable,value
1,Fast career DV,3
10,Fast career DV,3
100,Fast career DV,3
101,Fast career DV,4
102,Fast career DV,4
103,Fast career DV,4
104,Fast career DV,4
105,Fast career DV,4
106,Fast career DV,5
107,Fast career DV,3
108,Fast career DV,3
109,Fast career DV,3
11,Fast career DV,3
110,Fast career DV,3
111,Fast career DV,4
112,Fast career DV,4
113,Fast career DV,4
114,Fast career DV,2
115,Fast career DV,3
116,Fast career DV,2
117,Fast career DV,3
118,Fast career DV,4
119,Fast career DV,4
12,Fast career DV,4
120,Fast career DV,3
121,Fast career DV,4
122,Fast career DV,3
123,Fast career DV,2
124,Fast career DV,4
125,Fast career DV,3
126,Fast career DV,5
127,Fast career DV,4
128,Fast career DV,5
129,Fast career DV,3
13,Fast career DV,1
130,Fast career DV,4
131,Fast career DV,2
132,Fast career DV,3
133,Fast career DV,4
134,Fast career DV,3
135,Fast career DV,4
136,Fast career DV,5
137,Fast career DV,4
138,Fast career DV,2
139,Fast career DV,3
14,Fast career DV,4
140,Fast career DV,3
141,Fast career DV,3
142,Fast career DV,4
143,Fast career DV,5
144,Fast career DV,3
145,Fast career DV,3
146,Fast career DV,3
147,Fast career DV,3
148,Fast career DV,3
149,Fast career DV,4
15,Fast career DV,2
150,Fast career DV,3
151,Fast career DV,3
152,Fast career DV,4
153,Fast career DV,4
154,Fast career DV,4
155,Fast career DV,2
156,Fast career DV,3
157,Fast career DV,2
158,Fast career DV,3
159,Fast career DV,2
16,Fast career DV,3
160,Fast career DV,3
161,Fast career DV,5
162,Fast career DV,5
163,Fast career DV,5
164,Fast career DV,5
165,Fast career DV,4
166,Fast career DV,3
167,Fast career DV,4
168,Fast career DV,4
169,Fast career DV,3
17,Fast career DV,4
170,Fast career DV,4
171,Fast career DV,3
172,Fast career DV,3
173,Fast career DV,3
174,Fast career DV,3
175,Fast career DV,4
176,Fast career DV,1
177,Fast career DV,5
178,Fast career DV,3
179,Fast career DV,3
18,Fast career DV,2
180,Fast career DV,4
181,Fast career DV,4
182,Fast career DV,3
183,Fast career DV,3
184,Fast career DV,2
185,Fast career DV,1
186,Fast career DV,2
187,Fast career DV,2
188,Fast career DV,3
189,Fast career DV,4
19,Fast career DV,2
190,Fast career DV,3
191,Fast career DV,3
192,Fast career DV,3
193,Fast career DV,4
194,Fast career DV,5
195,Fast career DV,2
196,Fast career DV,4
197,Fast career DV,3
198,Fast career DV,4
199,Fast career DV,4
2,Fast career DV,4
20,Fast career DV,4
200,Fast career DV,4
201,Fast career DV,3
202,Fast career DV,4
203,Fast career DV,3
204,Fast career DV,4
205,Fast career DV,2
206,Fast career DV,3
207,Fast career DV,4
208,Fast career DV,2
209,Fast career DV,4
21,Fast career DV,2
210,Fast career DV,4
211,Fast career DV,4
212,Fast career DV,3
213,Fast career DV,3
214,Fast career DV,3
215,Fast career DV,2
216,Fast career DV,4
217,Fast career DV,4
218,Fast career DV,3
219,Fast career DV,5
22,Fast career DV,3
220,Fast career DV,3
221,Fast career DV,2
222,Fast career DV,4
223,Fast career DV,3
224,Fast career DV,3
225,Fast career DV,3
226,Fast career DV,3
227,Fast career DV,3
228,Fast career DV,4
229,Fast career DV,4
23,Fast career DV,3
230,Fast career DV,4
231,Fast career DV,4
232,Fast career DV,5
233,Fast career DV,3
234,Fast career DV,5
235,Fast career DV,2
236,Fast career DV,4
237,Fast career DV,2
238,Fast career DV,3
239,Fast career DV,3
24,Fast career DV,4
240,Fast career DV,2
241,Fast career DV,4
242,Fast career DV,4
243,Fast career DV,4
244,Fast career DV,3
245,Fast career DV,4
246,Fast career DV,4
247,Fast career DV,2
248,Fast career DV,4
249,Fast career DV,6
25,Fast career DV,4
250,Fast career DV,4
251,Fast career DV,3
252,Fast career DV,4
253,Fast career DV,2
254,Fast career DV,5
255,Fast career DV,5
256,Fast career DV,4
257,Fast career DV,3
258,Fast career DV,3
259,Fast career DV,4
26,Fast career DV,5
260,Fast career DV,5
261,Fast career DV,3
262,Fast career DV,3
263,Fast career DV,3
264,Fast career DV,3
265,Fast career DV,4
266,Fast career DV,3
267,Fast career DV,2
268,Fast career DV,3
269,Fast career DV,3
27,Fast career DV,4
270,Fast career DV,4
271,Fast career DV,4
272,Fast career DV,2
273,Fast career DV,4
274,Fast career DV,4
275,Fast career DV,4
276,Fast career DV,4
277,Fast career DV,3
278,Fast career DV,3
279,Fast career DV,4
28,Fast career DV,4
280,Fast career DV,2
281,Fast career DV,2
282,Fast career DV,3
283,Fast career DV,3
284,Fast career DV,4
