responseID,responseID_primary key_cleaned,variable,value
9,8,Interesting,5
19,17,Interesting,5
25,20,Interesting,5
30,24,Interesting,5
44,37,Interesting,5
52,43,Interesting,5
68,57,Interesting,5
94,78,Interesting,5
116,94,Interesting,5
121,98,Interesting,5
123,100,Interesting,5
128,105,Interesting,5
136,111,Interesting,5
147,119,Interesting,5
155,126,Interesting,5
167,133,Interesting,5
170,136,Interesting,5
201,152,Interesting,5
206,154,Interesting,5
221,165,Interesting,5
223,167,Interesting,5
244,178,Interesting,5
247,179,Interesting,5
256,187,Interesting,5
258,188,Interesting,5
261,191,Interesting,5
276,202,Interesting,5
279,205,Interesting,5
281,207,Interesting,5
288,212,Interesting,5
305,222,Interesting,5
313,227,Interesting,5
321,231,Interesting,5
323,232,Interesting,5
353,255,Interesting,5
359,260,Interesting,5
360,261,Interesting,5
371,271,Interesting,5
390,284,Interesting,5
391,285,Interesting,5
407,297,Interesting,5
413,303,Interesting,5
435,319,Interesting,5
461,338,Interesting,5
462,339,Interesting,5
464,340,Interesting,5
482,353,Interesting,5
493,361,Interesting,5
498,364,Interesting,5
501,366,Interesting,5
504,369,Interesting,5
509,373,Interesting,5
511,374,Interesting,5
514,376,Interesting,5
520,382,Interesting,5
526,386,Interesting,5
527,387,Interesting,5
547,401,Interesting,5
550,404,Interesting,5
584,426,Interesting,5
596,434,Interesting,5
632,458,Interesting,5
636,461,Interesting,5
646,470,Interesting,5
648,472,Interesting,5
653,474,Interesting,5
670,485,Interesting,5
672,486,Interesting,5
676,489,Interesting,5
694,499,Interesting,5
713,512,Interesting,5
718,516,Interesting,5
719,517,Interesting,5
743,535,Interesting,5
744,536,Interesting,5
792,563,Interesting,5
829,585,Interesting,5
840,593,Interesting,5
875,611,Interesting,5
878,613,Interesting,5
881,616,Interesting,5
890,622,Interesting,5
901,629,Interesting,5
907,634,Interesting,5
916,639,Interesting,5
935,650,Interesting,5
938,652,Interesting,5
942,653,Interesting,5
991,685,Interesting,5
1001,690,Interesting,5
1012,697,Interesting,5
1057,723,Interesting,5
1067,727,Interesting,5
1078,734,Interesting,5
