CARRIER_ID,CARRIER_NAME
"WG","Sunwing Airlines Inc."
"W8","Cargojet Airways Ltd."
"G7","GoJet Airlines LLC d/b/a United Express"
"8E","Bering Air Inc."
"LA","Lan-Chile Airlines"
"G3","VRG Linhas Aereas S A"
"4W","Warbelow"
"D7","Air Asia X Berhad dba Airasia X"
"GEQ","Gestair, S.A."
"2OQ","Talofa Airways Limited"
"NQ","Air Japan Co"
"07Q","Flair Airlines Ltd."
"3M","Silver Airways"
"KX","Cayman Airways Limited"
"EV","ExpressJet Airlines LLC"
"YX","Republic Airline"
"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC"
"7S","Ryan Air f/k/a Arctic Transportation"
"VB","Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus"
"25Q","Mjet GmbH"
"UO","Hong Kong Express Airways Limited"
"24Q","Blue Jet SP Z o o"
"AC","Air Canada"
"JD","Beijing Capital Airlines"
"17Q","Albinati Aeronautics SA"
"PR","Philippine Airlines Inc."
"RV","Air Canada rouge LP"
"DI","Norwegian Air UK Limited"
"EAU","Elitavia Malta Limited"
"OO","SkyWest Airlines Inc."
"QF","Qantas Airways Ltd."
"4C","Aerovias de Intergracian Regional"
"LP","Lan Peru Airlines"
"IFQ","FAI rent-a-jet AG"
"G4","Allegiant Air"
"14Q","London Air Services Limited"
"SN","Brussels Airlines N.V."
"M6","Amerijet International"
"P3","Cargologicair Limited"
"NLQ","Nolinor Aviation"
"0UQ","Comlux Malta, Ltd."
"PS","Ukraine International Airlines"
"DY","Norwegian Air Shuttle ASA"
"HA","Hawaiian Airlines Inc."
"DL","Delta Air Lines Inc."
"BF","French bee"
"JL","Japan Air Lines Co. Ltd."
"1LQ","Bertelsmann Aviation GmbH"
"HY","Uzbekistan Airways"
"OS","Austrian Airlines"
"M3","ABSA-Aerolinhas Brasileiras"
"Q6","Vuela Aviacion, S.A."
"LF","CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle"
"C8","Cargolux Italia SpA"
"AS","Alaska Airlines Inc."
"GL","Miami Air International"
"BR","Eva Airways Corporation"
"XP","XTRA Airways"
"TS","Air Transat"
"10Q","Swiss Air Ambulance"
"2TQ","Trans Northern Airways d/b/a Air Unlimited Charter Services"
"CA","Air China"
"EW","Eurowings GmbH"
"WL","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines"
"AM","Aeromexico"
"3SD","Compagnie Aerienne Inter Regionale Express dba Air Antilles Express & Air Guyane"
"X4","Air Excursions LLC"
"VJT","VistaJet Limited"
"QK","Jazz Aviation LP"
"AZ","Compagnia Aerea Italiana"
"3EQ","Scott Aviation, LLC  d/b/a  Silver Air"
"CV","Cargolux Airlines International S.A"
"SU","Aeroflot Russian Airlines"
"LDQ","Laudamotion Executive"
"NZ","Air New Zealand"
"04Q","Tradewind Aviation"
"1EQ","KaiserAir, Inc."
"RU","AirBridgeCargo Airlines Limited"
"CZ","China Southern Airlines"
"12Q","Unijet"
"ABX","ABX Air Inc"
"LO","Polskie Linie Lotnicze"
"5Y","Atlas Air Inc."
"WW","WOW Air ehf"
"WN","Southwest Airlines Co."
"DHQ","DHL Aero Expresso"
"EY","Etihad Airways"
"KO","Alaska Central Express"
"0WQ","Avjet Corporation"
"36Q","Air Hamburg Luftverkehrsgesellschaft mbH"
"AX","Trans States Airlines"
"ZX","Air Georgian"
"QR","Qatar Airways (Q.C.S.C)"
"AV","Aerovias Nacl De Colombia"
"KAQ","Kalitta Air LLC"
"SE","XL Airways France"
"9V","Avior Airlines, C.A."
"26Q","Albinati aviation Limited"
"FC","Fast Colombia SAS d/b/a Viva Colombia"
"BW","Caribbean Airlines Limited"
"KLQ","Kalitta Charters II"
"UX","Air Europa"
"VR","Transportes Aereos De Cabo"
"SQ","Singapore Airlines Ltd."
"D8","Norwegian Air International Ltd."
"X9","Omni Air International LLC"
"RJ","Alia-(The) Royal Jordanian"
"KD","Western Global"
"EK","Emirates"
"QX","Horizon Air"
"CK","China Cargo Airline"
"SV","Saudi Arabian Airlines Corp"
"VS","Virgin Atlantic Airways"
"CX","Cathay Pacific Airways Ltd."
"AAT","Air Sunshine Inc."
"R3","Air Company Yakutia"
"E7","Estafeta Carga Aereas"
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern"
"AF","Compagnie Natl Air France"
