Date,variable,value
2021-07-20 00:00:00.000,Short Date,7/20
2021-07-21 00:00:00.000,Short Date,7/21
2021-07-22 00:00:00.000,Short Date,7/22
2021-07-23 00:00:00.000,Short Date,7/23
2021-07-24 00:00:00.000,Short Date,7/24
2021-07-25 00:00:00.000,Short Date,7/25
2021-07-26 00:00:00.000,Short Date,7/26
2021-07-27 00:00:00.000,Short Date,7/27
2021-07-28 00:00:00.000,Short Date,7/28
2021-07-29 00:00:00.000,Short Date,7/29
2021-07-30 00:00:00.000,Short Date,7/30
2021-07-31 00:00:00.000,Short Date,7/31
2021-08-01 00:00:00.000,Short Date,8/1
2021-08-02 00:00:00.000,Short Date,8/2
2021-08-03 00:00:00.000,Short Date,8/3
2021-08-04 00:00:00.000,Short Date,8/4
2021-08-05 00:00:00.000,Short Date,8/5
2021-08-06 00:00:00.000,Short Date,8/6
2021-08-07 00:00:00.000,Short Date,8/7
2021-08-08 00:00:00.000,Short Date,8/8
2021-07-20 00:00:00.000,Month Name,July
2021-07-21 00:00:00.000,Month Name,July
2021-07-22 00:00:00.000,Month Name,July
2021-07-23 00:00:00.000,Month Name,July
2021-07-24 00:00:00.000,Month Name,July
2021-07-25 00:00:00.000,Month Name,July
2021-07-26 00:00:00.000,Month Name,July
2021-07-27 00:00:00.000,Month Name,July
2021-07-28 00:00:00.000,Month Name,July
2021-07-29 00:00:00.000,Month Name,July
2021-07-30 00:00:00.000,Month Name,July
2021-07-31 00:00:00.000,Month Name,July
2021-08-01 00:00:00.000,Month Name,August
2021-08-02 00:00:00.000,Month Name,August
2021-08-03 00:00:00.000,Month Name,August
2021-08-04 00:00:00.000,Month Name,August
2021-08-05 00:00:00.000,Month Name,August
2021-08-06 00:00:00.000,Month Name,August
2021-08-07 00:00:00.000,Month Name,August
2021-08-08 00:00:00.000,Month Name,August
2021-07-20 00:00:00.000,Day Name,Tue
2021-07-21 00:00:00.000,Day Name,Wed
2021-07-22 00:00:00.000,Day Name,Thu
2021-07-23 00:00:00.000,Day Name,Fri
2021-07-24 00:00:00.000,Day Name,Sat
2021-07-25 00:00:00.000,Day Name,Sun
2021-07-26 00:00:00.000,Day Name,Mon
2021-07-27 00:00:00.000,Day Name,Tue
2021-07-28 00:00:00.000,Day Name,Wed
2021-07-29 00:00:00.000,Day Name,Thu
2021-07-30 00:00:00.000,Day Name,Fri
2021-07-31 00:00:00.000,Day Name,Sat
2021-08-01 00:00:00.000,Day Name,Sun
2021-08-02 00:00:00.000,Day Name,Mon
2021-08-03 00:00:00.000,Day Name,Tue
2021-08-04 00:00:00.000,Day Name,Wed
2021-08-05 00:00:00.000,Day Name,Thu
2021-08-06 00:00:00.000,Day Name,Fri
2021-08-07 00:00:00.000,Day Name,Sat
2021-08-08 00:00:00.000,Day Name,Sun
2021-07-20 00:00:00.000,Week,Week 0
2021-07-21 00:00:00.000,Week,Week 0
2021-07-22 00:00:00.000,Week,Week 0
2021-07-23 00:00:00.000,Week,Week 0
2021-07-24 00:00:00.000,Week,Week 0
2021-07-25 00:00:00.000,Week,Week 1
2021-07-26 00:00:00.000,Week,Week 1
2021-07-27 00:00:00.000,Week,Week 1
2021-07-28 00:00:00.000,Week,Week 1
2021-07-29 00:00:00.000,Week,Week 1
2021-07-30 00:00:00.000,Week,Week 1
2021-07-31 00:00:00.000,Week,Week 1
2021-08-01 00:00:00.000,Week,Week 2
2021-08-02 00:00:00.000,Week,Week 2
2021-08-03 00:00:00.000,Week,Week 2
2021-08-04 00:00:00.000,Week,Week 2
2021-08-05 00:00:00.000,Week,Week 2
2021-08-06 00:00:00.000,Week,Week 2
2021-08-07 00:00:00.000,Week,Week 2
2021-08-08 00:00:00.000,Week,Week 3
