Project ID,Department,Managers,Agency
"Project ID29","Department19","Managers1","Agency11"
"Project ID46","Department10","Managers19","Agency35"
"Project ID43","Department38","Managers14","Agency16"
"Project ID22","Department50","Managers16","Agency2"
"Project ID11","Department7","Managers42","Agency30"
"Project ID30","Department48","Managers34","Agency43"
"Project ID18","Department29","Managers28","Agency2"
"Project ID4","Department13","Managers43","Agency32"
"Project ID39","Department36","Managers42","Agency17"
"Project ID27","Department19","Managers31","Agency30"
"Project ID34","Department3","Managers28","Agency26"
"Project ID14","Department46","Managers50","Agency5"
"Project ID49","Department21","Managers50","Agency43"
"Project ID25","Department2","Managers6","Agency7"
"Project ID44","Department25","Managers11","Agency49"
"Project ID42","Department10","Managers25","Agency30"
"Project ID45","Department4","Managers47","Agency27"
"Project ID50","Department12","Managers33","Agency47"
"Project ID41","Department21","Managers49","Agency45"
"Project ID24","Department44","Managers5","Agency35"
"Project ID40","Department21","Managers30","Agency25"
"Project ID35","Department2","Managers21","Agency35"
"Project ID2","Department29","Managers29","Agency24"
"Project ID48","Department9","Managers36","Agency35"
"Project ID17","Department50","Managers44","Agency16"
"Project ID37","Department42","Managers13","Agency47"
"Project ID7","Department44","Managers43","Agency9"
"Project ID19","Department40","Managers5","Agency47"
"Project ID15","Department7","Managers4","Agency25"
