Project,Project Name19,Project Name45,Project Name49,Project Name2,Project Name39_EXCLUDE,Project Name27_Exclude,Project Name35_Exclude,Project Name29,Project Name7_EXCLUDE,Project Name25,Project Name42_EXCLUDE,Project Name14,Project Name50,Project Name46,Project Name11,Project Name30,Project Name43_Exclude,Project Name17,Project Name22,Project Name48,Project Name37,Project Name41,Project Name15,Project Name40,Project Name4,Project Name34,Project Name44,Project Name24,Project Name18
Project ID,Project ID19,Project ID45,Project ID49,Project ID2,Project ID39,Project ID27,Project ID35,Project ID29,Project ID7,Project ID25,Project ID42,Project ID14,Project ID50,Project ID46,Project ID11,Project ID30,Project ID43,Project ID17,Project ID22,Project ID48,Project ID37,Project ID41,Project ID15,Project ID40,Project ID4,Project ID34,Project ID44,Project ID24,Project ID18
Project Close Date,2021-11-19 03:07:39.000,2020-04-08 11:59:14.000,2020-04-17 18:05:49.000,2021-04-19 11:58:06.000,2021-07-27 18:01:22.000,2020-07-22 10:32:27.000,2022-01-06 06:27:52.000,2020-02-19 01:59:05.000,2021-06-08 23:45:46.000,2021-02-19 10:03:53.000,2020-04-05 20:08:39.000,2020-09-29 19:51:21.000,2021-04-30 08:19:31.000,2021-06-06 14:46:28.000,2020-02-17 14:24:32.000,2020-09-19 08:42:06.000,2020-08-06 21:13:22.000,2021-08-26 12:46:10.000,2021-12-11 01:16:04.000,2020-07-02 11:06:17.000,2020-06-04 08:26:21.000,2021-10-04 18:11:27.000,2021-09-16 10:44:44.000,2021-06-08 12:14:41.000,2020-12-06 15:37:50.000,2021-03-30 16:32:03.000,2020-07-15 23:51:08.000,2021-07-16 13:56:11.000,2021-12-16 21:56:18.000
Department,Department40,Department4,Department21,Department29,Department36,Department19,Department2,Department19,Department44,Department2,Department10,Department46,Department12,Department10,Department7,Department48,Department38,Department50,Department50,Department9,Department42,Department21,Department7,Department21,Department13,Department3,Department25,Department44,Department29
Managers,Managers5,Managers47,Managers50,Managers29,Managers42,Managers31,Managers21,Managers1,Managers43,Managers6,Managers25,Managers50,Managers33,Managers19,Managers42,Managers34,Managers14,Managers44,Managers16,Managers36,Managers13,Managers49,Managers4,Managers30,Managers43,Managers28,Managers11,Managers5,Managers28
Workplace,WorkPlace1,WorkPlace2,WorkPlace1,WorkPlace2,WorkPlace3,WorkPlace1,WorkPlace1,WorkPlace1,WorkPlace3,WorkPlace2,WorkPlace1,WorkPlace2,WorkPlace2,WorkPlace2,WorkPlace2,WorkPlace2,WorkPlace3,WorkPlace1,WorkPlace1,WorkPlace2,WorkPlace2,WorkPlace1,WorkPlace2,WorkPlace3,WorkPlace2,WorkPlace2,WorkPlace3,WorkPlace2,WorkPlace1
Project Start Date,2021-09-30 03:07:39.000,2020-02-01 11:59:14.000,2020-03-12 18:05:49.000,2021-01-15 11:58:06.000,2021-03-29 18:01:22.000,2020-04-11 10:32:27.000,2021-10-23 06:27:52.000,2019-12-17 01:59:05.000,2021-04-24 23:45:46.000,2021-01-14 10:03:53.000,2019-12-28 20:08:39.000,2020-08-04 19:51:21.000,2021-03-20 08:19:31.000,2021-05-04 14:46:28.000,2019-12-28 14:24:32.000,2020-07-22 08:42:06.000,2020-05-11 21:13:22.000,2021-05-31 12:46:10.000,2021-11-15 01:16:04.000,2020-04-15 11:06:17.000,2020-04-02 08:26:21.000,2021-07-19 18:11:27.000,2021-06-09 10:44:44.000,2021-05-09 12:14:41.000,2020-11-14 15:37:50.000,2021-02-21 16:32:03.000,2020-06-15 23:51:08.000,2021-05-13 13:56:11.000,2021-09-06 21:56:18.000
Project Opportunities,1,5,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,5,1,1,1,1,2,2,1,1,3,3
Administrator,Administrator47,Administrator38,Administrator8,Administrator47,Administrator9,Administrator44,Administrator41,Administrator2,Administrator42,Administrator4,Administrator2,Administrator20,Administrator40,Administrator7,Administrator40,Administrator1,Administrator39,Administrator9,Administrator42,Administrator32,Administrator9,Administrator11,Administrator2,Administrator23,Administrator12,Administrator44,Administrator47,Administrator13,Administrator3
Agency,Agency47,Agency27,Agency43,Agency24,Agency17,Agency30,Agency35,Agency11,Agency9,Agency7,Agency30,Agency5,Agency47,Agency35,Agency30,Agency43,Agency16,Agency16,Agency2,Agency35,Agency47,Agency45,Agency25,Agency25,Agency32,Agency26,Agency49,Agency35,Agency2
Project Request ID,Project Request ID11,Project Request ID2,Project Request ID36,Project Request ID20,Project Request ID32,Project Request ID47,Project Request ID10,Project Request ID37,Project Request ID20,Project Request ID17,Project Request ID7,Project Request ID2,Project Request ID45,Project Request ID36,Project Request ID2,Project Request ID39,Project Request ID9,Project Request ID3,Project Request ID35,Project Request ID5,Project Request ID26,Project Request ID4,Project Request ID2,Project Request ID44,Project Request ID44,Project Request ID21,Project Request ID28,Project Request ID27,Project Request ID31
Project Status,Active,Inactive,Inactive,Inactive,Active,Active,Inactive,Active,Active,Inactive,Inactive,Inactive,Active,FALSE,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Active,Inactive,Inactive,Inactive,Inactive,Inactive,FALSE,FALSE
Project Type,Project Type1,Project Type1,Project Type1,Project Type1,Project Type1,Project Type1,Project Type1,Project Type1,Project Type1,Project Type1,Project Type2,Project Type1,Project Type2,Project Type2,Project Type2,Project Type2,Project Type1,Project Type1,Project Type2,Project Type2,Project Type2,Project Type2,Project Type2,Project Type1,Project Type2,Project Type2,Project Type1,Project Type2,Project Type2
Value,7,59,5,58,1,32,27,59,45,3,8,51,19,46,24,42,13,46,16,6,26,11,44,14,37,32,51,56,56
