location,iso_code,continent,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
North America,OWID_NAM,,2021-07-25 00:00:00.000,41011583.0,31888.0,79615.571,917767.0,279.0,733.143,68744.334,53.451,133.453,1538.377,0.468,1.229,,,,,,,,
Syria,SYR,Asia,2021-05-27 00:00:00.000,24365.0,50.0,60.857,1754.0,4.0,4.857,1333.191,2.736,3.33,95.974,0.219,0.266,0.84,,376.264,,70.598,1.5,72.7,0.567
Ghana,GHA,Africa,2020-04-05 00:00:00.000,214.0,9.0,8.857,5.0,0.0,0.0,6.744,0.284,0.279,0.158,0.0,0.0,1.5,4227.63,298.245,4.97,41.047,0.9,64.07,0.611
Mauritania,MRT,Africa,2020-11-08 00:00:00.000,7820.0,6.0,16.571,165.0,0.0,0.286,1637.659,1.257,3.47,34.554,0.0,0.06,1.48,3597.633,232.347,2.42,15.95,,64.92,0.546
South America,OWID_SAM,,2020-04-29 00:00:00.000,167745.0,10612.0,10069.714,11656.0,815.0,743.0,386.278,24.437,23.188,26.841,1.877,1.711,,,,,,,,
Congo,COG,Africa,2020-07-22 00:00:00.000,2851.0,0.0,89.857,50.0,0.0,0.429,503.976,0.0,15.884,8.839,0.0,0.076,0.74,4881.406,344.094,7.2,47.964,,64.57,0.574
Paraguay,PRY,South America,2021-02-07 00:00:00.000,138118.0,515.0,698.714,2826.0,19.0,15.429,19130.868,71.333,96.78,391.432,2.632,2.137,1.04,8827.01,199.128,8.27,79.602,1.3,74.25,0.728
Africa,OWID_AFR,,2020-03-16 00:00:00.000,399.0,86.0,44.0,8.0,0.0,1.0,0.291,0.063,0.032,0.006,0.0,0.001,,,,,,,,
Timor,TLS,Asia,2021-02-26 00:00:00.000,110.0,0.0,1.0,,,0.0,81.853,0.0,0.744,,,0.0,0.56,6570.102,335.346,6.86,28.178,5.9,69.5,0.606
Burkina Faso,BFA,Africa,2020-07-22 00:00:00.000,1066.0,1.0,4.0,53.0,0.0,0.0,49.588,0.047,0.186,2.465,0.0,0.0,1.03,1703.102,269.048,2.42,11.877,0.4,61.58,0.452
Barbados,BRB,North America,2020-07-20 00:00:00.000,106.0,1.0,0.429,7.0,0.0,0.0,368.429,3.476,1.49,24.33,0.0,0.0,0.49,16978.068,170.05,13.57,88.469,5.8,79.19,0.814
Slovenia,SVN,Europe,2021-06-04 00:00:00.000,254973.0,281.0,261.857,4385.0,2.0,2.143,122658.478,135.179,125.97,2109.468,0.962,1.031,0.77,31400.84,153.493,7.25,,4.5,81.32,0.917
Afghanistan,AFG,Asia,2021-03-14 00:00:00.000,55985.0,26.0,19.714,2457.0,3.0,1.143,1405.407,0.653,0.495,61.679,0.075,0.029,1.09,1803.987,597.029,9.59,37.746,0.5,64.83,0.511
Mexico,MEX,North America,2021-02-07 00:00:00.000,1932145.0,6065.0,9697.857,166200.0,414.0,1094.857,14832.735,46.56,74.449,1275.888,3.178,8.405,0.89,17336.469,152.783,13.06,87.847,1.38,75.05,0.779
Antigua and Barbuda,ATG,North America,2021-04-15 00:00:00.000,1209.0,8.0,4.143,31.0,0.0,0.286,12245.766,81.031,41.962,313.994,0.0,2.894,0.63,21490.943,191.511,13.17,,3.8,77.02,0.778
Serbia,SRB,Europe,2020-11-11 00:00:00.000,70424.0,3536.0,2418.429,936.0,21.0,12.286,10349.476,519.649,355.411,137.554,3.086,1.806,1.52,14048.881,439.415,10.08,97.719,5.609,76.0,0.806
Iraq,IRQ,Asia,2021-08-06 00:00:00.000,1696390.0,11435.0,11429.429,19087.0,87.0,70.286,41195.161,277.688,277.552,463.509,2.113,1.707,0.98,15663.986,218.612,8.83,94.576,1.4,70.6,0.674
Chad,TCD,Africa,2021-02-03 00:00:00.000,3419.0,15.0,21.429,121.0,0.0,0.571,202.128,0.887,1.267,7.153,0.0,0.034,0.95,1768.153,280.995,6.1,5.818,,54.24,0.398
Macao,MAC,Asia,2021-02-10 00:00:00.000,,,,,,,,,,,,,,104861.851,,,,,84.24,
