Column1,location,reproduction_rate,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,"Aruba",,35973.781,,11.62,,,76.29,
3,"Anguilla",,,,,,,81.88,
4,"Albania",1.21,11803.431,304.195,10.08,,2.89,78.57,0.795
5,"Andorra",1.31,,109.135,7.97,,,83.73,0.868
6,"United Arab Emirates",1.61,67293.483,317.84,17.26,,1.2,77.97,0.89
7,"Argentina",2.19,18933.907,191.032,5.5,,5,76.67,0.845
9,"Antigua and Barbuda",0.41,21490.943,191.511,13.17,,3.8,77.02,0.778
10,"Australia",2.16,44648.71,107.791,5.07,,3.84,83.44,0.94400000000000006
11,"Austria",2.86,45436.685999999994,145.183,6.35,,7.37,81.54,0.922
14,"Belgium",2.64,42658.575999999994,114.898,4.29,,5.64,81.63,0.93099999999999994
16,"Bonaire Sint Eustatius and Saba",,,,,,,77.79,
19,"Bulgaria",1.31,18563.307,424.68800000000005,5.81,,7.454,75.05,0.816
20,"Bahrain",1.3,43290.705,151.689,16.52,,2,77.29,0.852
21,"Bahamas",0.42,27717.847,235.954,13.17,,2.9,73.92,0.81400000000000006
23,"Belarus",2.47,17167.967,443.129,5.18,,11,74.79,0.823
25,"Bermuda",,50669.315,139.547,13,,,82.59,
27,"Brazil",2.44,14103.452,177.96099999999998,8.11,,2.2,75.88,0.765
29,"Brunei",0.32,71809.250999999989,201.285,12.79,,2.7,75.86,0.838
31,"Botswana",1.07,15807.374,237.372,4.81,,1.8,69.59,0.735
33,"Canada",2.55,44017.590999999993,105.59899999999999,7.37,,2.5,82.43,0.929
34,"Switzerland",2.62,57410.166,99.73899999999999,5.59,,4.53,83.78,0.955
35,"Chile",2.87,22767.037,127.993,8.46,,2.11,80.18,0.851
36,"China",3.08,15308.712,261.899,9.74,,4.34,76.91,0.7609999999999999
41,"Cook Islands",,,,,,,76.25,
44,"Cape Verde",0.93,6222.554,182.21900000000002,2.42,,2.1,72.98,0.665
47,"Curacao",,,,11.62,,,78.88,
48,"Cayman Islands",,49903.029,,13.22,,,83.92,
49,"Cyprus",1.13,32415.132,141.171,9.24,,3.4,80.98,0.887
50,"Czechia",2.48,32605.906000000003,227.485,6.82,,6.63,79.38,0.9
51,"Germany",2.99,45229.245,156.139,8.31,,8,81.33,0.94700000000000006
52,"Djibouti",1.61,2705.406,258.03700000000003,6.05,,1.4,67.11,0.524
53,"Dominica",0.19,9673.367,227.37599999999998,11.62,,3.8,75,0.742
54,"Denmark",2.13,46682.515,114.76700000000001,6.41,,2.5,80.9,0.94
59,"Eritrea",0.59,1510.4589999999998,311.11,6.05,,0.7,66.32,0.45899999999999996
60,"Spain",3.01,34272.36,99.402999999999992,7.17,,2.97,83.56,0.904
61,"Estonia",1.7,29481.252,255.56900000000002,4.02,,4.69,78.74,0.892
63,"Finland",1.56,40585.721,153.507,5.76,,3.28,81.91,0.938
64,"Fiji",0.57,8702.975,412.82,14.49,,2.3,67.44,0.743
65,"Falkland Islands",,,,,,,81.44,
66,"France",3.01,38605.671,86.06,4.77,,5.98,82.66,0.90099999999999991
67,"Faeroe Islands",,,,,,,80.67,
68,"Micronesia (country)",,3299.4640000000004,454.343,12.02,,,67.88,0.62
69,"Gabon",1.33,16562.413,259.967,7.2,,6.3,66.47,0.703
70,"United Kingdom",2.11,39753.244,122.137,4.28,,2.54,81.32,0.932
71,"Georgia",0.94,9745.079,496.218,7.11,,2.6,73.77,0.812
72,"Guernsey",,,,,,,,
74,"Gibraltar",,,,,,,79.93,
79,"Greece",1.57,24574.382,175.695,4.55,,4.21,82.24,0.888
80,"Grenada",0.14,13593.877,243.96400000000003,10.71,,3.7,72.4,0.779
81,"Greenland",,,199.94099999999997,2.16,,,71.7,
84,"Hong Kong",,56054.92,,8.33,,,84.86,0.94900000000000007
86,"Croatia",2.41,22669.797000000002,253.782,5.59,,5.54,78.49,0.851
88,"Hungary",1.79,26777.561,278.296,7.55,,7.02,76.88,0.85400000000000009
90,"Isle of Man",,,,,,,81.4,
92,"Ireland",2.51,67335.293,126.459,3.28,,2.96,82.3,0.955
93,"Iran",4.87,19082.62,270.308,9.59,,1.5,76.68,0.78299999999999992
95,"Iceland",1.72,46482.958,117.992,5.31,,2.91,82.99,0.94900000000000007
96,"Israel",2.61,33132.32,93.32,6.74,,2.99,82.97,0.919
97,"Italy",3.57,35220.084,113.15100000000001,4.78,,3.18,83.51,0.892
99,"Jersey",,,,,,,,
100,"Jordan",1.16,8337.49,208.257,11.75,,1.4,74.53,0.72900000000000009
101,"Japan",1.21,39002.223,79.37,5.72,,13.05,84.63,0.919
106,"Kiribati",,1981.132,434.657,22.66,,1.9,68.37,0.63
107,"Saint Kitts and Nevis",1.22,24654.385,,12.84,,2.3,76.23,0.779
108,"South Korea",5.91,35938.373999999996,85.99799999999999,6.8,,12.27,83.03,0.91599999999999993
109,"Kuwait",0.81,65530.537000000004,132.235,15.84,,2,75.49,0.80599999999999994
111,"Lebanon",1.22,13367.565,266.591,12.71,,2.9,78.93,0.74400000000000011
