ProductID,variable,value
1845,Product,Pomum YY-40
1383,Product,Quibus RP-75
1252,Product,Quibus MP-20
2259,Product,Aliqui RP-56
1293,Product,Quibus MA-29
2113,Product,Victoria UM-04
765,Product,Natura RP-53
1664,Product,Quibus RS-02
2404,Product,Aliqui YY-13
400,Product,Maximus UM-05
1724,Product,Salvus YY-35
139,Product,Abbas UR-10
701,Product,Natura MA-08
2215,Product,Aliqui RP-12
1035,Product,Palma UC-07
1062,Product,Pirum RP-08
1302,Product,Quibus MA-38
2322,Product,Aliqui UR-25
1170,Product,Pirum UE-06
1128,Product,Pirum UM-05
2324,Product,Aliqui UR-27
85,Product,Abbas UM-12
898,Product,Natura UE-07
2401,Product,Aliqui YY-10
289,Product,Fama UE-10
1283,Product,Quibus MA-19
1007,Product,Natura YY-08
2277,Product,Aliqui RS-10
1752,Product,Pomum UM-04
482,Product,Maximus UM-87
205,Product,Barba UM-07
255,Product,Fama UR-27
2354,Product,Aliqui UC-02
2280,Product,Aliqui RS-13
1878,Product,Leo UM-16
217,Product,Fama RP-05
1674,Product,Quibus UE-04
1463,Product,Quibus RP-55
122,Product,Abbas UM-49
354,Product,Fama UE-75
940,Product,Natura UC-03
1563,Product,Quibus RS-01
592,Product,Maximus UC-57
307,Product,Fama UE-28
2112,Product,Victoria UM-03
2165,Product,Victoria UE-18
1641,Product,Quibus RS-79
1042,Product,Palma UC-14
444,Product,Maximus UM-49
1098,Product,Pirum RP-44
1960,Product,Currus RP-35
1006,Product,Natura YY-07
1373,Product,Quibus RP-65
2154,Product,Victoria UE-07
1407,Product,Quibus RP-99
854,Product,Natura UM-38
1979,Product,Currus RP-54
2374,Product,Aliqui UC-22
1779,Product,Pomum UE-14
1850,Product,Pomum YY-45
1604,Product,Quibus RS-42
905,Product,Natura UE-14
395,Product,Maximus RS-02
1617,Product,Quibus RS-55
1162,Product,Pirum UR-19
880,Product,Natura UR-26
1183,Product,Pirum UE-19
1938,Product,Currus RP-13
1924,Product,Currus MA-17
955,Product,Natura UC-18
2162,Product,Victoria UE-15
1608,Product,Quibus RS-46
1278,Product,Quibus MA-14
362,Product,Fama UE-83
175,Product,Abbas UE-03
1011,Product,Natura YY-12
1203,Product,Pirum UC-05
430,Product,Maximus UM-35
1737,Product,Pomum RP-06
647,Product,Maximus UC-12
245,Product,Fama UR-17
1182,Product,Pirum UE-18
1093,Product,Pirum RP-39
535,Product,Maximus UE-23
2174,Product,Victoria UC-04
930,Product,Natura UE-39
2279,Product,Aliqui RS-12
1092,Product,Pirum RP-38
364,Product,Fama UE-85
98,Product,Abbas UM-25
1511,Product,Quibus RP-03
909,Product,Natura UE-18
809,Product,Natura RS-13
2393,Product,Aliqui YY-02
1432,Product,Quibus RP-24
1644,Product,Quibus RS-82
767,Product,Natura RP-55
112,Product,Abbas UM-39
1981,Product,Currus RP-56
670,Product,Maximus UC-35
1845,Category,Youth
1383,Category,Rural
1252,Category,Mix
2259,Category,Rural
1293,Category,Mix
2113,Category,Urban
765,Category,Rural
1664,Category,Rural
2404,Category,Youth
400,Category,Urban
1724,Category,Youth
139,Category,Urban
701,Category,Mix
2215,Category,Rural
1035,Category,Urban
1062,Category,Rural
1302,Category,Mix
2322,Category,Urban
1170,Category,Urban
1128,Category,Urban
2324,Category,Urban
85,Category,Urban
898,Category,Urban
2401,Category,Youth
289,Category,Urban
1283,Category,Mix
1007,Category,Youth
2277,Category,Rural
1752,Category,Urban
482,Category,Urban
205,Category,Urban
255,Category,Urban
2354,Category,Urban
2280,Category,Rural
1878,Category,Urban
217,Category,Rural
1674,Category,Urban
1463,Category,Rural
122,Category,Urban
354,Category,Urban
