EventName,SQLSaturday #783 - Costa Rica – BI 2018,SQLSaturday #817 - Joinville 2019,SQLSaturday #819 - Brasilia 2019,SQLSaturday #820 - Jacksonville 2019,SQLSaturday #823 - Israel 2019,SQLSaturday #827 - Cincinnati 2019,SQLSaturday #830 - Colorado Springs 2019,SQLSaturday #831 - South Island NZ 2019,SQLSaturday #832 - Croatia 2019,SQLSaturday #833 - Mexico 2019,SQLSaturday #834 - Caxias do Sul 2019,SQLSaturday #835 - Philadelphia 2019,SQLSaturday #836 - Santiago 2019,SQLSaturday #838 - Brisbane 2019,SQLSaturday #839 - Virginia Beach 2019,SQLSaturday #840 - Edmonton 2019,SQLSaturday #841 - Dallas 2019,SQLSaturday #842 - Madison 2019,SQLSaturday #843 - Québec 2019,SQLSaturday #844 - Belo Horizonte 2019,SQLSaturday #845 - Atlanta 2019,SQLSaturday #846 - Richmond 2019,SQLSaturday #847 - Orange County 2019,SQLSaturday #848 - Yaounde 2019,SQLSaturday #850 - Budapest 2019,SQLSaturday #851 - Stockholm 2019,SQLSaturday #852 - Finland 2019,SQLSaturday #853 - Plovdiv 2019,SQLSaturday #854 - Oslo 2019,SQLSaturday #855 - Albany 2019,SQLSaturday #856 - Rheinland 2019,SQLSaturday #857 - Kyiv 2019,SQLSaturday #858 - Athens 2019,SQLSaturday #860 - Lviv 2019,SQLSaturday #861 - Columbus 2019,SQLSaturday #862 - Cork 2019,SQLSaturday #863 - Raleigh 2019,SQLSaturday #864 - South Florida 2019,SQLSaturday #865 - Melbourne 2019,SQLSaturday #866 - Auckland 2019,SQLSaturday #867 - Baton Rouge 2019,SQLSaturday #868 - Kharkiv 2019,SQLSaturday #869 - Phoenix 2019,SQLSaturday #870 - Memphis 2019,SQLSaturday #871 - Sardegna 2019,SQLSaturday #872 - Paris 2019,SQLSaturday #873 - Bratislava 2019,SQLSaturday #874 - Timisoara 2019,SQLSaturday #875 - Sydney 2019,SQLSaturday #876 - Santo Domingo 2019,SQLSaturday #877 - Boston 2019,SQLSaturday #878 - Sofia 2019,SQLSaturday #879 - Cuiabá 2019,SQLSaturday #880 - Munich 2019,SQLSaturday #881 - Chattanooga 2019,SQLSaturday #882 - Iowa City 2019,SQLSaturday #883 - Louisville 2019,SQLSaturday #884 - Pensacola 2019,SQLSaturday #885 - Sacramento 2019,SQLSaturday #886 - Indianapolis 2019,SQLSaturday #887 - Salt Lake City 2019,SQLSaturday #888 - Sioux Falls 2019,SQLSaturday #890 - Austin 2019,SQLSaturday #891 - Los Angeles 2019,SQLSaturday #892 - Providence 2019,SQLSaturday #893 - Singapore 2019
EventDate,2019-06-15 00:00:00.000,2019-04-06 00:00:00.000,2019-03-30 00:00:00.000,2019-05-04 00:00:00.000,2019-04-11 00:00:00.000,2019-03-30 00:00:00.000,2019-04-06 00:00:00.000,2019-06-08 00:00:00.000,2019-04-06 00:00:00.000,2019-06-08 00:00:00.000,2019-06-22 00:00:00.000,2019-05-04 00:00:00.000,2019-04-13 00:00:00.000,2019-06-01 00:00:00.000,2019-06-08 00:00:00.000,2019-04-27 00:00:00.000,2019-06-01 00:00:00.000,2019-04-06 00:00:00.000,2019-04-12 00:00:00.000,2019-05-18 00:00:00.000,2019-05-18 00:00:00.000,2019-03-30 00:00:00.000,2019-04-13 00:00:00.000,2019-04-27 00:00:00.000,2019-04-20 00:00:00.000,2019-05-04 00:00:00.000,2019-05-11 00:00:00.000,2019-06-22 00:00:00.000,2019-08-31 00:00:00.000,2019-07-20 00:00:00.000,2019-05-25 00:00:00.000,2019-05-18 00:00:00.000,2019-06-15 00:00:00.000,2019-09-21 00:00:00.000,2019-06-08 00:00:00.000,2019-06-29 00:00:00.000,2019-04-27 00:00:00.000,2019-06-08 00:00:00.000,2019-06-15 00:00:00.000,2019-08-10 00:00:00.000,2019-08-17 00:00:00.000,2019-09-28 00:00:00.000,2019-05-04 00:00:00.000,2019-10-05 00:00:00.000,2019-05-18 00:00:00.000,2019-06-15 00:00:00.000,2019-06-08 00:00:00.000,2019-06-08 00:00:00.000,2019-08-03 00:00:00.000,2019-05-25 00:00:00.000,2019-09-14 00:00:00.000,2019-10-12 00:00:00.000,2019-07-13 00:00:00.000,2019-10-19 00:00:00.000,2019-06-22 00:00:00.000,2019-06-22 00:00:00.000,2019-08-03 00:00:00.000,2019-06-29 00:00:00.000,2019-08-17 00:00:00.000,2019-08-17 00:00:00.000,2019-08-03 00:00:00.000,2019-08-10 00:00:00.000,2019-07-13 00:00:00.000,2019-06-15 00:00:00.000,2019-08-24 00:00:00.000,2019-08-31 00:00:00.000
AttendeeEstimate,400,500,350,800,600,250,175,200,75,200,200,300,300,175,175,150,650,400,60,400,600,250,400,70,250,150,200,300,300,300,400,700,150,200,200,200,250,700,300,250,500,200,400,150,150,100,60,150,180,150,300,450,400,300,200,125,200,250,300,325,200,200,250,400,150,200
Timezone,(GMT-06:00) Central America,(GMT-03:00) Greenland,(GMT-03:00) Greenland,(GMT-05:00) Indiana (East),"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",(GMT-05:00) Indiana (East),(GMT-07:00) Mountain Time (US and Canada),"(GMT+12:00) Fiji, Kamchatka, Marshall Is","(GMT+01:00) Belgrade, Bratislava, Budapest, Ljubljana, Prague",(GMT-06:00) Central Time (US and Canada),(GMT-03:00) Greenland,(GMT-05:00) Indiana (East),(GMT-04:00) Atlantic Time (Canada),"(GMT+10:00) Canberra, Melbourne, Sydney",(GMT-05:00) Indiana (East),(GMT-07:00) Mountain Time (US and Canada),(GMT-06:00) Saskatchewan,(GMT-06:00) Saskatchewan,(GMT-05:00) Indiana (East),(GMT-03:00) Greenland,(GMT-05:00) Indiana (East),(GMT-05:00) Indiana (East),(GMT-08:00) Pacific Time (US and Canada); Tijuana,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris","(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","(GMT+01:00) Sarajevo, Skopje, Warsaw, Zagreb",(GMT+02:00) Cairo,(GMT+02:00) Cairo,"(GMT+01:00) Sarajevo, Skopje, Warsaw, Zagreb",(GMT-05:00) Indiana (East),"(GMT+01:00) Sarajevo, Skopje, Warsaw, Zagreb",(GMT+02:00) Cairo,"(GMT+02:00) Harare, Pretoria",(GMT+02:00) Cairo,(GMT-05:00) Indiana (East),,(GMT-05:00) Indiana (East),(GMT-05:00) Indiana (East),(GMT+10:00) Brisbane,"(GMT+12:00) Fiji, Kamchatka, Marshall Is",(GMT-06:00) Saskatchewan,(GMT+02:00) Cairo,(GMT-07:00) Arizona,(GMT-06:00) Saskatchewan,"(GMT+01:00) Sarajevo, Skopje, Warsaw, Zagreb","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris","(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","(GMT+02:00) Harare, Pretoria",(GMT+10:00) Brisbane,,(GMT-05:00) Eastern Time (US and Canada),(GMT+02:00) Cairo,,"(GMT+01:00) Sarajevo, Skopje, Warsaw, Zagreb",(GMT-05:00) Indiana (East),(GMT-06:00) Saskatchewan,(GMT-05:00) Indiana (East),(GMT-06:00) Saskatchewan,(GMT-08:00) Pacific Time (US and Canada); Tijuana,(GMT-05:00) Eastern Time (US and Canada),(GMT-07:00) Mountain Time (US and Canada),(GMT-06:00) Saskatchewan,(GMT-06:00) Saskatchewan,(GMT-08:00) Pacific Time (US and Canada); Tijuana,(GMT-05:00) Indiana (East),"(GMT+08:00) Irkutsk, Ulaan Bataar"
EventDescription,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.,SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.
Venue,Tecnólogico de San Carlos,Univille,UniProjeção - Campus II (Taguatinga Norte) - Antiga FAJESU,The University of North Florida Campus,Megamot College,"College of Education, Criminal Justice, and Human Services University of Cincinnati",CTU Colorado Springs,Ara Institute of Canterbury,"University of Zagreb, Faculty of Electrical Engineering and Computing",UVM Campus  Roma,Gustavo Ramos Sehbe,Montgomery County Community College,Duoc Sede Antonio Varas,River City Labs,ECPI University,NAIT Productivity and Innovation Centre (PIC),"UTDallas, The Erik Jonsson School of Engineering and Computer Science",Edgewood College,Microsoft Quebec,PUC Minas - Coração Eucarístico,Gwinnett Technical College - Alpharetta,Stratford University,Golden West College,Catholic University of Central Africa,Gábor Dénes Főiskola,"GIH, The Swedish School of Sport and Health Sciences",Microsoft Finland HQ,"Culture Centre ""Boris Hristov""",Høyskolen Kristiania,SUNY Albany,Bonn-Rhein-Sieg University of Applied Sciences,Hotel President,Microsoft Hellas,Hotel Taurus,"Roush Hall, Otterbein University",University College Cork,Wake Technical Community College - RTP Campus,Nova Southeastern University,Northcote Town Hall,Unitec Institute of Technology,LSU College of Business - Business Education Complex,Fabrika,Chandler-Gilbert Community College Pecos Campus,FedEx Institute of Technology,Palazzo delle Scienze - Università degli Studi di Cagliari,Le 253,"Microsoft Slovakia, Apollo Business Center II, Prievozská 4D",Biblioteca Centrală a Universității Politehnica Timișoara,Sydney Reactor,Universidad Federico Henriquez y Carvajal,"Microsoft (Burlington, MA)",Sofia Tech Park,UNIVAG Centro Universitário de Várzea Grande,Microsoft Deutschland GmbH,Chattanooga State Community College,University of Iowa - University Capitol Centre,"University of Louisville, Founders Union, ShelbyHurst Campus","Pensacola State College, Main Campus",Patrick Hays Learning Center,Ivy Tech Noblesville,Karen G Miller Conference Center,"Augustana University, Froiland Science Complex (33rd  Summit Ave)",St Edwards University,"Loyola Marymount University (""LMU"")",NEIT,Microsoft Singapore Operations Pte Ltd
Street,"San Carlos, Alajuela","Rua Paulo Malschitzki, 10","QNG 46, Area Especial 08",1 UNF Drive,Derekh Em Hamoshavot 94,250H Teachers-Dyer Complex,4435 North Chestnut Street,130 Madras Street,Unska 3,Mérida No. 33 Roma Norte,"Gustavo Ramos Sehbe, 107 Caxias do Sul - RS",340 Dekalb Pike,"Antonio Varas 666, Providencia","Lvl 2 TCB Building, 315 Brunswick street Fortitude Valley",5555 Greenwich Road,10210 Princess Elizabeth Ave NW,"800 W. Campbell Road, Richardson, TX",1000 Edgewood College Dr,"1500 Place de la Cité-Tour Cominar, 2640, Boul. Laurier, Quebec City QC","Av. Dom José Gaspar, 500",2875 Old Milton Pkwy,11104 W. Broad Street,15744 Goldenwest St,16326 Coron Yaounde,Mérnök utca 39,Lidingövägen 1,Keilalahdentie 2-4,"15 Gladston Str., 4000 Plovdiv, Bulgaria",Christian Krohgs gate 32,1400 Washington Ave,Grantham-Allee 20,12 Hospitalna street,221 Kifisias Ave,"5, Kn. Sviatoslava Sq., Lviv, Ukraine",27 S Grove Street,"Western Gateway, Western Road, Cork","10908 Chapel Hill Road, Morrisville",3301 College Ave,"189 High Street, Northcote","139 Carrington Rd, Mount Albert",Nicholson Drive Ext,Blagovischenska str. 1,2626 East Pecos Road,365 Innovation Drive,"Via Ospedale, 72","253, rue du Faubourg Saint-Martin",Prievozská 4D,"Bulevardul Vasile Pârvan 2b, Timișoara, Romania","Level 10, Sydney Startup Hub  11-31 York St","Av. Maximo Gómez Esq. Cesar Nicolas Penson, La Esperilla",5 Wayside Road,"Boulevard ""Tsarigradsko shose"" 111B","Avenida Dom Orlando Chaves, 2655 - Cristo Rei, Várzea Grande - MT",Walter-Gropius-Str. 5,4501 Amnicola Highway,201 S Clinton St,450 N Whittington Pkwy,1000 College Blvd,"2700 Gateway Oaks Drive, Suite 2600",300 N 17th St,"9750 S 300 W Sandy, UT",2001 S Summit Ave,"3001 S Congress Ave, Austin, TX","1 LMU Drive, Los Angeles, California",1408 Division Rd, #22-01 One Marina Boulevard
City,Quesada,Joinville,Brasilia,Jacksonville,Petah Tikva,Cincinnati,Colorado Springs,Christchurch,Zagreb,Cuauhtemoc,Caxias do Sul,Blue Bell,Santiago,Brisbane City,Virginia Beach,Edmonton,Dallas,Madison,Quebec City,Belo Horizonte,Atlanta,Glen Allen,Orange County,Yaounde,Budapest,Stockholm,Helsinki,Plovdiv,Oslo,Albany,Sankt Augustin,Kyiv,Marousi,Lviv,Columbus,Cork,Raleigh,Davie,Northcote,Auckland,Baton Rouge,Kharkiv,Chandler,Memphis,Cagliari,Paris,Bratislava,Timișoara,Sydney,Santo Domingo,Burlington,Sofia,Cuiabá,Munich,Chattanooga,Iowa City,Louisville,Pensacola,Sacramento,Noblesville,Salt Lake City,Sioux Falls,Austin,Los Angeles,East Greenwich,Singapore
State,"Alajuela Province, Costa Rica","Santa Catarina, Brazil","Distrito Federal, Brazil",Florida,"HaMerkaz, Israel",Ohio,Colorado,"Canterbury, New Zealand",", Croatia","The Federal District, Mexico","Rio Grande do Sul, Brazil",PA,"Región Metropolitana, Chile","Queensland, Australia",Virginia,"Alberta, Canada",Texas,Wisconsin,"Quebec, Canada","Minas Gerais, Brazil",Georgia,Virginia,California,", Cameroon",", Hungary","Stockholm County, Sweden",", Finland","Plovdiv, Bulgaria","Oslo, Norway",New York,"North Rhine-Westphalia, Germany",", Ukraine","Attica, Greece","L'vivs'ka Oblast', Ukraine",Ohio,"County Cork, Ireland",North Carolina,Florida,"Victoria, Australia","Auckland, New Zealand",Louisiana,"Kharkiv Oblast, Ukraine",Arizona,Tennessee,"Sardinia, Italy","Île-de-France, France",", Slovakia","Timiș County, Romania","New South Wales, Australia","Distrito Nacional, Dominican Republic",Massachusetts,"Sofiya, Bulgaria","State of Mato Grosso, Brazil","Bavaria, Germany",Tennessee,Iowa,Kentucky,Florida,California,Indiana,Utah,South Dakota,Texas,California,Rhode Island,"Singapore, Singapore"
Zipcode,21001,89219-710,72130-400,32224,49527,45221,80907,8011,10000 Zagreb,06700,95012-669,19422,7500961,4000,23462,T5G 0Y2,75080-3021,53711,G1V 5C2,30140-100,30009,23060,92647,16326,1119,11433 Stockholm,02150 Espoo,4000,0186,12222,53757,01601,151 24,79016,43081,T12 XF62,27560,33314,3070,1025,70803,61052,85225,"Memphis, TN  38111",09124,75010,821 09,300223,2159,00000,01803,1784,78118000,80807,37406,52240,40222,32504,95833,46060,84070,57197,78704,90045,02818,018989
