EventID,EventName,EventDate,AttendeeEstimate,Timezone,EventDescription,TwitterHashtag,Location,Street,City,State,Zipcode,RefreshDate
783,"SQLSaturday #783 - Costa Rica – BI 2018",2019-06-15 00:00:00.000,400,"(GMT-06:00) Central America","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#SQLSatBICR","Tecnólogico de San Carlos","San Carlos, Alajuela","Quesada","Alajuela Province, Costa Rica","21001",2019-03-26 00:00:00.000
817,"SQLSaturday #817 - Joinville 2019",2019-04-06 00:00:00.000,500,"(GMT-03:00) Greenland","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#sqlsatJoinville","Univille","Rua Paulo Malschitzki, 10","Joinville","Santa Catarina, Brazil","89219-710",2019-03-26 00:00:00.000
819,"SQLSaturday #819 - Brasilia 2019",2019-03-30 00:00:00.000,350,"(GMT-03:00) Greenland","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#sqlsatBrasilia","UniProjeção - Campus II (Taguatinga Norte) - Antiga FAJESU","QNG 46, Area Especial 08","Brasilia","Distrito Federal, Brazil","72130-400",2019-03-26 00:00:00.000
820,"SQLSaturday #820 - Jacksonville 2019",2019-05-04 00:00:00.000,800,"(GMT-05:00) Indiana (East)","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#sqlsat820","The University of North Florida Campus","1 UNF Drive","Jacksonville","Florida","32224",2019-03-26 00:00:00.000
823,"SQLSaturday #823 - Israel 2019",2019-04-11 00:00:00.000,600,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#sqlsatIsrael","Megamot College","Derekh Em Hamoshavot 94","Petah Tikva","HaMerkaz, Israel","49527",2019-03-26 00:00:00.000
827,"SQLSaturday #827 - Cincinnati 2019",2019-03-30 00:00:00.000,250,"(GMT-05:00) Indiana (East)","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#sqlsatCincinnati","College of Education, Criminal Justice, and Human Services University of Cincinnati","250H Teachers-Dyer Complex","Cincinnati","Ohio","45221",2019-03-26 00:00:00.000
830,"SQLSaturday #830 - Colorado Springs 2019",2019-04-06 00:00:00.000,175,"(GMT-07:00) Mountain Time (US and Canada)","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#sqlsat830","CTU Colorado Springs","4435 North Chestnut Street","Colorado Springs","Colorado","80907",2019-03-26 00:00:00.000
831,"SQLSaturday #831 - South Island NZ 2019",2019-06-08 00:00:00.000,200,"(GMT+12:00) Fiji, Kamchatka, Marshall Is","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#sqlsat831","Ara Institute of Canterbury","130 Madras Street","Christchurch","Canterbury, New Zealand","8011",2019-03-26 00:00:00.000
832,"SQLSaturday #832 - Croatia 2019",2019-04-06 00:00:00.000,75,"(GMT+01:00) Belgrade, Bratislava, Budapest, Ljubljana, Prague","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#SQLSatCroatia","University of Zagreb, Faculty of Electrical Engineering and Computing","Unska 3","Zagreb",", Croatia","10000 Zagreb",2019-03-26 00:00:00.000
833,"SQLSaturday #833 - Mexico 2019",2019-06-08 00:00:00.000,200,"(GMT-06:00) Central Time (US and Canada)","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#sqlsatmexico","UVM Campus  Roma","Mérida No. 33 Roma Norte","Cuauhtemoc","The Federal District, Mexico","06700",2019-03-26 00:00:00.000
834,"SQLSaturday #834 - Caxias do Sul 2019",2019-06-22 00:00:00.000,200,"(GMT-03:00) Greenland","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#sqlsatCaxias do Sul","Gustavo Ramos Sehbe","Gustavo Ramos Sehbe, 107 Caxias do Sul - RS","Caxias do Sul","Rio Grande do Sul, Brazil","95012-669",2019-03-26 00:00:00.000
835,"SQLSaturday #835 - Philadelphia 2019",2019-05-04 00:00:00.000,300,"(GMT-05:00) Indiana (East)","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#sqlsatPhiladelphia","Montgomery County Community College","340 Dekalb Pike","Blue Bell","PA","19422",2019-03-26 00:00:00.000
836,"SQLSaturday #836 - Santiago 2019",2019-04-13 00:00:00.000,300,"(GMT-04:00) Atlantic Time (Canada)","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#sqlsatSantiago","Duoc Sede Antonio Varas","Antonio Varas 666, Providencia","Santiago","Región Metropolitana, Chile","7500961",2019-03-26 00:00:00.000
838,"SQLSaturday #838 - Brisbane 2019",2019-06-01 00:00:00.000,175,"(GMT+10:00) Canberra, Melbourne, Sydney","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#sqlsatBrisbane","River City Labs","Lvl 2 TCB Building, 315 Brunswick street Fortitude Valley","Brisbane City","Queensland, Australia","4000",2019-03-26 00:00:00.000
839,"SQLSaturday #839 - Virginia Beach 2019",2019-06-08 00:00:00.000,175,"(GMT-05:00) Indiana (East)","SQLSaturday is a training event for SQL Server professionals and those wanting to learn about SQL Server.","#SQLSATVABeach","ECPI University","5555 Greenwich Road","Virginia Beach","Virginia","23462",2019-03-26 00:00:00.000
