SpeakerID,Name,Description,Twitter,Linkedin,ContactURL,ScreenName,TwitterImageURL,ImageURL,EventID,ImageHeight,ImageWidth
90249,"Anderson Souza","Atua como Coordernador de banco de dados na Sequoia Logistica. 
Possui experiência administrando bancos de dados de diversas companhias dos mais variados setores, como instituições financeiras, consultorias e portais de e-commerce. 
Mestrando na area de engenharia de software e banco de dados na UDESC. 
Adora tecnologia e compartilha conhecimento de tecnologias de Bancos de Dados em apresentações dentro da empresa e eventos.","","","","","","",817,48,48
88714,"Diemerson Campos","Consultor e Administrador de bancos de dados especialista em SQL Server, graduado em Bancos de dados e pós-graduado em Segurança da informação a mais de 7 anos trabalhando com bancos de dados SQL Server.","","https://www.linkedin.com/in/diemersoncampos/","","","","",817,48,48
87532,"Wiluey Sousa","Profissional com 14 anos de experiência em administração e liderança de times de Infraestrutura e Banco de Dados (On Premises e Azure) SQL Server, DB2 Luw, MySQL, PostgreSQL e Sybase.
Pós-Graduando em Gestão de TI  Cloud Computing pela UFSCar.

Sou entusiasta de todo tipo de tecnologia aplicada a banco de dados, procuro sempre estar por dentro das features e do que elas podem facilitar a minha vida (rs!). 

Acredito na troca de experiências com outros profissionais como um ótimo disseminador do conhecimento e impulsionador de carreira.","","https://www.linkedin.com/in/wiluey-queiroz-de-sousa-0829bb51/","","","","",819,48,48
87592,"Suellen Moraes","Experiencia em Administração de Banco de Dados SQL Server desde a versão 2000, tendo como foco principal Administração das Bases, Tunning, troubleshooting, utilizaçãodo do SSIS, diagnosticar problemas no sistema, garantir alta disponibilidade do ambiente, estudo de viabilidade de ambientes, análise de consultas visando otimizar o desempenho dos processos, planejar a arquitetura para novos projetos e melhoria para os ja existentes no ambiente.","","https://br.linkedin.com/in/suellen-moraes-46562138","","","","",819,48,48
86908,"Carl Roepe","Carl Roepe is a senior DBA with Perimeterdba.com.  He has 12 certifications from SQL 2008 thru 2014.  He has 25+ years as staff, director, president and CEO of multiple companies managing data on an enterprise level.  His extensive experience with massive data sets, high volume banking and CPA firms, he has a unique approach in configuring and building data ecosystems for speed, reliability, security and precision. In addition to his administrative and database skills, his skill sets included TSQL, C#, PowerShell, SharePoint, SSAS, SSRS and PowerBI.  Carl can be reached at carl@perimeterdba.com.","","https://www.linkedin.com/in/carl-roepe-6b65493b/","","","","",820,48,48
90235,"Adriano da Silva","Adriano da Silva is a Principal Consultant at Bright International Corporation a consulting company focused in addressing complex business problems with innovative, effective and robust Solutions in the BI, AI, Big Data, Machine Learning  Visualization arena. He is passionate about partnering with businesses leaders to advise and implement technical and process oriented solutions. 
He is engaged in knowledge sharing initiatives by presenting on conferences, user groups and authoring articles. As a community contributor, he leads two user groups (South Florida Power BI User Group and Microsoft Business Intelligence User Group of South Florida) and is also one of the organizers of the SQL Saturday South Florida.","","","","","","",820,48,48
90940,"Brandi Kiehl","Co-Organizer of the Women in Information Technology of Jacksonville, PyJax, IT Pro/Florida IT Server Group, IT Pro Camp, Tech Coast Conference, Women and Minorities in IT Conference, Bsides of Jacksonville, and Career Network Outreach.  Co-Owner of Stardust Techologies and Career Network Outreach.  A certified Project Manager and experienced IT professional with over 10 years of data science, analysis, and management experience.  Enjoys teaching and helping people to find new or transition careers, with mock interviews, elevator speeches, clean up or create more professional social media profiles, change their way of thinking about job searching, reinvent their resumes, and how to network.","","https://www.linkedin.com/in/brandikiehl","","","","",820,48,48
88517,"Karlyn LeBlanc","Karlyn LeBlanc is a native of Chicago, Illinois. She currently resides in the Atlanta, Georgia area. Karlyn obtained her Bachelors degree from Louisiana State University in Baton Rouge and her Masters from Tulane University in New Orleans. Her career began as licensed master social worker where she spent twelve years counseling patients, supervising master level social workers, and facilitating support groups.  In addition, she’s a bestselling author of two books and motivational speaker.","","","","","","",820,48,48
90937,"John Blackburn","Hello! 

My Name is John Blackburn and I am a Software Engineer with One Call Care Management, Inc. in Jacksonville, FL. 

I attended the University of North Florida in Jacksonville and hold a bachelors degree in physics and a Masters in Mathematics. I have solved a range of problems ranging from automation of business Processes, to data warehousing, and analysis. I currently work as a full stack developer with expertise in SQL Server and Data Analytics. I love solving problems and optimizing processes.","","","","","","",820,48,48
90684,"Travis Page","Most recently a Senior Database Administrator with Jackson Hewitt, Travis is on the leadership team of the Pinellas SQL User group and an active member of PASS.  Passionate about all things related to technology, he maintains a CISSP certification.","","https://www.linkedin.com/in/travispage/","","","","",820,48,48
