SessionID,SpeakerName,EventID,SpeakerID
87994,"Luiz Henrique Garetti Rosário",817,87994
86525,"Fernando Andreazi",817,86525
88520,"Leandro Domingues",817,88520
86562,"Rodrigo Crespi",817,86562
89217,"Renato Groffe",817,89217
86557,"Orlando Mariano",817,86557
90249,"Anderson Souza",817,90249
90364,"Diego Nogare",817,90364
89414,"Milton Camara",817,89414
88714,"Diemerson Campos",817,88714
88371,"Rafael Mendonça",817,88371
86485,"Bruno Feldman",817,86485
87465,"Walter Coan",817,87465
89274,"Fabrício Lima",817,89274
90192,"Caio Amante",817,90192
88198,"Arthur Luz",817,88198
90417,"Paulo Ricardo Santos",817,90417
87689,"Felipe de Assis",817,87689
87990,"Luiz Henrique Garetti Rosário",819,87990
90035,"Aislan Honorato",819,90035
88690,"Sulamita Dantas",819,88690
87532,"Wiluey Sousa",819,87532
90034,"Vitor Fava",819,90034
90047,"Rayssa Dias",819,90047
87969,"Kevin Boles",819,87969
88715,"Tiago Neves",819,88715
87946,"Fernando Garcia",819,87946
89504,"RUY LACERDA",819,89504
86839,"Rafael Mendonça",819,86839
90050,"Caio Amante",819,90050
88197,"Arthur Luz",819,88197
89512,"Renan Queiroz",819,89512
87493,"Leandro Domingues",819,87493
90033,"Marcelo Adade",819,90033
89003,"Fabiano Neves Amorim",819,89003
87592,"Suellen Moraes",819,87592
91536,"Luan Moreno Medeiros Maciel",819,91536
86908,"Carl Roepe",820,86908
86640,"Matt Gordon",820,86640
87231,"Louis Davidson",820,87231
87475,"Trey Johnson",820,87475
87715,"Mike Byrd",820,87715
87229,"Louis Davidson",820,87229
87265,"Michael Antonovich",820,87265
87472,"Trey Johnson",820,87472
87266,"Michael Antonovich",820,87266
89057,"Patrick LeBlanc",820,89057
89058,"Patrick LeBlanc",820,89058
87156,"Ronald Dameron",820,87156
89296,"Jose Chinchilla",820,89296
90235,"Adriano da Silva",820,90235
89244,"Deji Akomolafe",820,89244
89346,"Ahmad Drshen",820,89346
89943,"Samir Behara",820,89943
90618,"Susan Schneider",820,90618
86810,"Dave Bland",820,86810
90940,"Brandi Kiehl",820,90940
90867,"Kellyn Pot'Vin-Gorman",820,90867
86767,"Kevin Feasel",820,86767
90719,"Valentin Iamandi",820,90719
89294,"Jose Chinchilla",820,89294
90581,"Dmitri Korotkevitch",820,90581
86642,"Matt Gordon",820,86642
90701,"Steven Wheeler",820,90701
86764,"Kevin Feasel",820,86764
90712,"John Welch",820,90712
90779,"Shabnam Watson",820,90779
91051,"Manuel Quintana",820,91051
90833,"Steve Schneider",820,90833
90598,"Mitchell Pearson",820,90598
90881,"Kellyn Pot'Vin-Gorman",820,90881
90684,"Travis Page",820,90684
89068,"Eddy Djaja",820,89068
87292,"Eric Blinn",820,87292
88517,"Karlyn LeBlanc",820,88517
87293,"Eric Blinn",820,87293
87979,"Dave Bland",820,87979
89899,"Shawn Meyers",820,89899
89613,"Vishal Pawar [Microsoft MVP, MCT]",820,89613
89895,"Devin Knight",820,89895
90937,"John Blackburn",820,90937
87714,"Mike Byrd",820,87714
89721,"Dustin Ryan",820,89721
90883,"Shabnam Watson",820,90883
87572,"Troy Gallant",820,87572
89894,"Devin Knight",820,89894
89375,"Victor Ivantsov",820,89375
89940,"Elizabeth Noble",820,89940
90299,"Dale Sullenberger",820,90299
90298,"Dale Sullenberger",820,90298
90250,"Nicholas Lee",820,90250
86598,"Guy Glantser",823,86598
86939,"Itshak David",823,86939
87655,"Johan Ludvig Brattås",823,87655
86591,"Brent Ozar",823,86591
87030,"Taras Kloba",823,87030
86945,"Jose Manuel Jurado Diaz",823,86945
87767,"Dubi Lebel",823,87767
88436,"Ronen Chenn",823,88436
89022,"Ronen Ariely",823,89022
90183,"Anat Dror",823,90183
88145,"Yuval Klein",823,88145
89218,"Adi Cohn",823,89218
88182,"Anat Dror",823,88182
89254,"Yoav Dobrin",823,89254
90148,"Arthur Gimpel",823,90148
89255,"Yossi Elkayam",823,89255
90880,"Ray Maor",823,90880
88012,"Jonathan Stewart",823,88012
90165,"Daniela Liberman",823,90165
89866,"Danny Ravid",823,89866
88484,"Joanna Wolthuis",823,88484
88615,"Ronat Omer",823,88615
88331,"Dennes Torres",823,88331
88997,"Michael Zilberstein",823,88997
89153,"Pini Krisher",823,89153
87630,"Mihail Mateev",823,87630
90243,"Lior King",823,90243
87309,"Jim Miller",827,87309
86743,"Drew Furgiuele",827,86743
87155,"Andrew Loree",827,87155
87153,"Andrew Loree",827,87153
87120,"Kevin Feasel",827,87120
86907,"Carl Roepe",827,86907
87300,"Vanessa Kesten",827,87300
88279,"Mindy Curnutt",827,88279
88841,"Jeff Moden",827,88841
88840,"Jeff Moden",827,88840
86842,"Matt Gordon",827,86842
89246,"Deji Akomolafe",827,89246
87136,"Lucas Feiock",827,87136
89379,"Ed Wagner",827,89379
89824,"Chris Hyde",827,89824
89642,"Karen Lopez",827,89642
89537,"Andy Mallon",827,89537
87178,"Eric Blinn",827,87178
89461,"Michael Hewitt",827,89461
89581,"Julie McLain-Harper",827,89581
89986,"Kevin Hill",827,89986
87780,"Dave Mattingly",827,87780
91525,"Ryan Morris",827,91525
89502,"Josh Burgin",827,89502
91562,"Alicia Moniz",827,91562
88926,"Anthony Mattas",827,88926
88566,"Sam Nasr",827,88566
89368,"Jonathan Stewart",827,89368
89712,"Slava Trofimov",827,89712
89429,"Jess Pomfret",827,89429
89671,"Todd Walker",827,89671
86820,"Dave Bland",827,86820
88003,"Sourav Mukherjee",827,88003
88855,"Joshua Higginbotham",827,88855
88495,"David Mellinger",827,88495
89448,"Lisa Bohm",827,89448
89079,"Allen White",827,89079
90594,"Amy Herold",827,90594
87226,"Peter Shore",827,87226
89634,"Clark Hahn",827,89634
86718,"John Deardurff",827,86718
89577,"Elizabeth Noble",827,89577
87798,"Sean Forgatch",827,87798
89709,"Dustin Dorsey",827,89709
86690,"Steve Wake",830,86690
87000,"César Oviedo",830,87000
87036,"Michelle Haarhues",830,87036
87091,"Leslie Andrews",830,87091
87775,"Mitchell Bottel",830,87775
88239,"Jeff Moden",830,88239
88369,"Manguirish Sardessai",830,88369
88561,"Jeff Renz",830,88561
87800,"Mike Byrd",830,87800
89352,"Kalen Delaney",830,89352
89735,"Eric Peterson",830,89735
87133,"Meagan Longoria",830,87133
88238,"Jeff Moden",830,88238
89763,"Scot Reagin",830,89763
89902,"Paul Nielsen",830,89902
88037,"Mark Moore",830,88037
89842,"Carlos Bossy",830,89842
89326,"Jason Horner",830,89326
86687,"Suresh Datla",830,86687
86691,"Pini Krisher",830,86691
86811,"Alex Grinberg",830,86811
87289,"Daniel Maenle",830,87289
89809,"Isak Sky",830,89809
89807,"Yuliya Quintela",830,89807
89839,"Todd Kleinhans",830,89839
89801,"TJay Belt",830,89801
89846,"Leslie Weed",830,89846
88299,"Greg Moore",830,88299
89591,"Elizabeth Noble",830,89591
89837,"Marc Beacom",830,89837
87662,"Miloš Radivojević",832,87662
88420,"Gianluca Sartori",832,88420
87837,"Tomaž Kaštrun",832,87837
87666,"Aleksandar Talev",832,87666
87683,"Dejan Sarka",832,87683
88274,"Hugo Kornelis",832,88274
87682,"Uwe Ricken",832,87682
89703,"Matija Lah",832,89703
88454,"Kevin Boles",832,88454
89778,"Marcelo Fernandes",832,89778
88337,"Mladen Prajdić",832,88337
89836,"Slaven Šola",832,89836
87275,"Patricio Cofre",836,87275
89501,"Adrian Fernandez",836,89501
90983,"PABLO JAVIER FERNANDEZ",836,90983
91403,"Matias Hofmann",836,91403
88492,"Javier Villegas",836,88492
87375,"Javier Villegas",836,87375
89821,"Nicolás Calderón Díaz",836,89821
87285,"Kamal Valero",836,87285
89344,"Hector Meza",836,89344
87404,"Javier Villegas",836,87404
90314,"Milenko Brzovic",836,90314
87736,"Senthamil V",836,87736
90117,"Nestor Campos",836,90117
90543,"Mauricio Gamboa",836,90543
87737,"Senthamil V",836,87737
