Date,Holiday
2021-01-01 00:00:00.000,"New Year's Day"
2021-01-18 00:00:00.000,"Martin Luther King Jr. Day"
2021-02-15 00:00:00.000,"Presidents' Day"
2021-05-31 00:00:00.000,"Memorial Day"
2021-07-05 00:00:00.000,"Independence Day"
2021-09-06 00:00:00.000,"Labor Day"
2021-10-11 00:00:00.000,"Columbus Day"
2021-11-11 00:00:00.000,"Veterans Day"
2021-11-25 00:00:00.000,"Thanksgiving Day"
2021-12-24 00:00:00.000,"Christmas Day"
2021-12-31 00:00:00.000,"New Year's Day"
2022-01-17 00:00:00.000,"Martin Luther King Jr. Day"
2022-02-21 00:00:00.000,"Presidents' Day"
2022-05-30 00:00:00.000,"Memorial Day"
2022-07-04 00:00:00.000,"Independence Day"
2022-09-05 00:00:00.000,"Labor Day"
2022-10-10 00:00:00.000,"Columbus Day"
2022-11-11 00:00:00.000,"Veterans Day"
2022-11-24 00:00:00.000,"Thanksgiving Day"
2022-12-26 00:00:00.000,"Christmas Day"
2023-01-02 00:00:00.000,"New Year's Day"
2023-01-16 00:00:00.000,"Martin Luther King Jr. Day"
2023-02-20 00:00:00.000,"Presidents' Day"
2023-05-29 00:00:00.000,"Memorial Day"
2023-07-04 00:00:00.000,"Independence Day"
2023-09-04 00:00:00.000,"Labor Day"
2023-10-09 00:00:00.000,"Columbus Day"
2023-11-10 00:00:00.000,"Veterans Day"
2023-11-23 00:00:00.000,"Thanksgiving Day"
2023-12-25 00:00:00.000,"Christmas Day"
2024-01-01 00:00:00.000,"New Year's Day"
2024-01-15 00:00:00.000,"Martin Luther King Jr. Day"
2024-02-19 00:00:00.000,"Presidents' Day"
2024-05-27 00:00:00.000,"Memorial Day"
2024-07-04 00:00:00.000,"Independence Day"
2024-09-02 00:00:00.000,"Labor Day"
2024-10-14 00:00:00.000,"Columbus Day"
2024-11-11 00:00:00.000,"Veterans Day"
2024-11-28 00:00:00.000,"Thanksgiving Day"
2024-12-25 00:00:00.000,"Christmas Day"
2025-01-01 00:00:00.000,"New Year's Day"
2025-01-20 00:00:00.000,"Martin Luther King Jr. Day"
2025-02-17 00:00:00.000,"Presidents' Day"
2025-05-26 00:00:00.000,"Memorial Day"
2025-07-04 00:00:00.000,"Independence Day"
2025-09-01 00:00:00.000,"Labor Day"
2025-10-13 00:00:00.000,"Columbus Day"
2025-11-11 00:00:00.000,"Veterans Day"
2025-11-27 00:00:00.000,"Thanksgiving Day"
2025-12-25 00:00:00.000,"Christmas Day"
2026-01-01 00:00:00.000,"New Year's Day"
2026-01-19 00:00:00.000,"Martin Luther King Jr. Day"
2026-02-16 00:00:00.000,"Presidents' Day"
2026-05-25 00:00:00.000,"Memorial Day"
2026-07-03 00:00:00.000,"Independence Day"
2026-09-07 00:00:00.000,"Labor Day"
2026-10-12 00:00:00.000,"Columbus Day"
2026-11-11 00:00:00.000,"Veterans Day"
2026-11-26 00:00:00.000,"Thanksgiving Day"
2026-12-25 00:00:00.000,"Christmas Day"
2027-01-01 00:00:00.000,"New Year's Day"
2027-01-18 00:00:00.000,"Martin Luther King Jr. Day"
2027-02-15 00:00:00.000,"Presidents' Day"
2027-05-31 00:00:00.000,"Memorial Day"
2027-07-05 00:00:00.000,"Independence Day"
2027-09-06 00:00:00.000,"Labor Day"
2027-10-11 00:00:00.000,"Columbus Day"
2027-11-11 00:00:00.000,"Veterans Day"
2027-11-25 00:00:00.000,"Thanksgiving Day"
2027-12-24 00:00:00.000,"Christmas Day"
2027-12-31 00:00:00.000,"New Year's Day"
2028-01-17 00:00:00.000,"Martin Luther King Jr. Day"
2028-02-21 00:00:00.000,"Presidents' Day"
2028-05-29 00:00:00.000,"Memorial Day"
2028-07-04 00:00:00.000,"Independence Day"
2028-09-04 00:00:00.000,"Labor Day"
2028-10-09 00:00:00.000,"Columbus Day"
2028-11-10 00:00:00.000,"Veterans Day"
2028-11-23 00:00:00.000,"Thanksgiving Day"
2028-12-25 00:00:00.000,"Christmas Day"
2029-01-01 00:00:00.000,"New Year's Day"
2029-01-15 00:00:00.000,"Martin Luther King Jr. Day"
2029-02-19 00:00:00.000,"Presidents' Day"
2029-05-28 00:00:00.000,"Memorial Day"
2029-07-04 00:00:00.000,"Independence Day"
2029-09-03 00:00:00.000,"Labor Day"
2029-10-08 00:00:00.000,"Columbus Day"
2029-11-12 00:00:00.000,"Veterans Day"
2029-11-22 00:00:00.000,"Thanksgiving Day"
2029-12-25 00:00:00.000,"Christmas Day"
2010-12-31 00:00:00.000,"New Year's Day"
2011-01-17 00:00:00.000,"Martin Luther King Jr. Day"
2011-02-21 00:00:00.000,"Presidents' Day"
2011-05-30 00:00:00.000,"Memorial Day"
2011-07-04 00:00:00.000,"Independence Day"
2011-09-05 00:00:00.000,"Labor Day"
2011-10-10 00:00:00.000,"Columbus Day"
2011-11-11 00:00:00.000,"Veterans Day"
2011-11-24 00:00:00.000,"Thanksgiving Day"
2011-12-26 00:00:00.000,"Christmas Day"
2012-01-02 00:00:00.000,"New Year's Day"
2012-01-16 00:00:00.000,"Martin Luther King Jr. Day"
2012-02-20 00:00:00.000,"Presidents' Day"
2012-05-28 00:00:00.000,"Memorial Day"
2012-07-04 00:00:00.000,"Independence Day"
2012-09-03 00:00:00.000,"Labor Day"
2012-10-08 00:00:00.000,"Columbus Day"
2012-11-12 00:00:00.000,"Veterans Day"
2012-11-22 00:00:00.000,"Thanksgiving Day"
2012-12-25 00:00:00.000,"Christmas Day"
2013-01-01 00:00:00.000,"New Year's Day"
2013-01-21 00:00:00.000,"Martin Luther King Jr. Day"
2013-02-18 00:00:00.000,"Presidents' Day"
2013-05-27 00:00:00.000,"Memorial Day"
2013-07-04 00:00:00.000,"Independence Day"
2013-09-02 00:00:00.000,"Labor Day"
2013-10-14 00:00:00.000,"Columbus Day"
2013-11-11 00:00:00.000,"Veterans Day"
2013-11-28 00:00:00.000,"Thanksgiving Day"
2013-12-25 00:00:00.000,"Christmas Day"
2014-01-01 00:00:00.000,"New Year's Day"
2014-01-20 00:00:00.000,"Martin Luther King Jr. Day"
2014-02-17 00:00:00.000,"Presidents' Day"
2014-05-26 00:00:00.000,"Memorial Day"
2014-07-04 00:00:00.000,"Independence Day"
2014-09-01 00:00:00.000,"Labor Day"
2014-10-13 00:00:00.000,"Columbus Day"
2014-11-11 00:00:00.000,"Veterans Day"
2014-11-27 00:00:00.000,"Thanksgiving Day"
2014-12-25 00:00:00.000,"Christmas Day"
2015-01-01 00:00:00.000,"New Year's Day"
2015-01-19 00:00:00.000,"Martin Luther King Jr. Day"
2015-02-16 00:00:00.000,"Presidents' Day"
2015-05-25 00:00:00.000,"Memorial Day"
2015-07-03 00:00:00.000,"Independence Day"
2015-09-07 00:00:00.000,"Labor Day"
2015-10-12 00:00:00.000,"Columbus Day"
2015-11-11 00:00:00.000,"Veterans Day"
2015-11-26 00:00:00.000,"Thanksgiving Day"
2015-12-25 00:00:00.000,"Christmas Day"
2016-01-01 00:00:00.000,"New Year's Day"
2016-01-18 00:00:00.000,"Martin Luther King Jr. Day"
2016-02-15 00:00:00.000,"Presidents' Day"
2016-05-30 00:00:00.000,"Memorial Day"
2016-07-04 00:00:00.000,"Independence Day"
2016-09-05 00:00:00.000,"Labor Day"
2016-10-10 00:00:00.000,"Columbus Day"
2016-11-11 00:00:00.000,"Veterans Day"
2016-11-24 00:00:00.000,"Thanksgiving Day"
2016-12-26 00:00:00.000,"Christmas Day"
2017-01-02 00:00:00.000,"New Year's Day"
2017-01-16 00:00:00.000,"Martin Luther King Jr. Day"
2017-02-20 00:00:00.000,"Presidents' Day"
2017-05-29 00:00:00.000,"Memorial Day"
2017-07-04 00:00:00.000,"Independence Day"
2017-09-04 00:00:00.000,"Labor Day"
2017-10-09 00:00:00.000,"Columbus Day"
2017-11-10 00:00:00.000,"Veterans Day"
2017-11-23 00:00:00.000,"Thanksgiving Day"
2017-12-25 00:00:00.000,"Christmas Day"
2018-01-01 00:00:00.000,"New Year's Day"
2018-01-15 00:00:00.000,"Martin Luther King Jr. Day"
2018-02-19 00:00:00.000,"Presidents' Day"
2018-05-28 00:00:00.000,"Memorial Day"
2018-07-04 00:00:00.000,"Independence Day"
2018-09-03 00:00:00.000,"Labor Day"
2018-10-08 00:00:00.000,"Columbus Day"
2018-11-12 00:00:00.000,"Veterans Day"
2018-11-22 00:00:00.000,"Thanksgiving Day"
2018-12-25 00:00:00.000,"Christmas Day"
2019-01-01 00:00:00.000,"New Year's Day"
2019-01-21 00:00:00.000,"Martin Luther King Jr. Day"
2019-02-18 00:00:00.000,"Presidents' Day"
2019-05-27 00:00:00.000,"Memorial Day"
2019-07-04 00:00:00.000,"Independence Day"
2019-09-02 00:00:00.000,"Labor Day"
2019-10-14 00:00:00.000,"Columbus Day"
2019-11-11 00:00:00.000,"Veterans Day"
2019-11-28 00:00:00.000,"Thanksgiving Day"
2019-12-25 00:00:00.000,"Christmas Day"
2020-01-01 00:00:00.000,"New Year's Day"
2020-01-20 00:00:00.000,"Martin Luther King Jr. Day"
2020-02-17 00:00:00.000,"Presidents' Day"
2020-05-25 00:00:00.000,"Memorial Day"
2020-07-03 00:00:00.000,"Independence Day"
2020-09-07 00:00:00.000,"Labor Day"
2020-10-12 00:00:00.000,"Columbus Day"
2020-11-11 00:00:00.000,"Veterans Day"
2020-11-26 00:00:00.000,"Thanksgiving Day"
2020-12-25 00:00:00.000,"Christmas Day"
2010-01-01 00:00:00.000,"New Year's Day"
2010-01-18 00:00:00.000,"Martin Luther King Jr. Day"
2010-02-15 00:00:00.000,"Presidents' Day"
2010-05-31 00:00:00.000,"Memorial Day"
2010-07-05 00:00:00.000,"Independence Day"
2010-09-06 00:00:00.000,"Labor Day"
2010-10-11 00:00:00.000,"Columbus Day"
2010-11-11 00:00:00.000,"Veterans Day"
2010-11-25 00:00:00.000,"Thanksgiving Day"
2010-12-25 00:00:00.000,"Christmas Day"
2009-01-01 00:00:00.000,"New Year's Day"
2009-01-19 00:00:00.000,"Martin Luther King Jr. Day"
2009-02-16 00:00:00.000,"Presidents' Day"
2009-05-25 00:00:00.000,"Memorial Day"
2009-07-03 00:00:00.000,"Independence Day"
2009-09-07 00:00:00.000,"Labor Day"
2009-10-12 00:00:00.000,"Columbus Day"
2009-11-11 00:00:00.000,"Veterans Day"
2009-11-26 00:00:00.000,"Thanksgiving Day"
2009-12-25 00:00:00.000,"Christmas Day"
2008-01-01 00:00:00.000,"New Year's Day"
2008-01-21 00:00:00.000,"Martin Luther King Jr. Day"
