ProductKey,CustomerKey,variable,value
382,22656,OrderDateKey,20200322
485,12089,OrderDateKey,20200202
490,17238,OrderDateKey,20200212
478,13185,OrderDateKey,20200317
574,25735,OrderDateKey,20200602
604,24176,OrderDateKey,20200908
590,16712,OrderDateKey,20200415
536,16613,OrderDateKey,20200820
530,26977,OrderDateKey,20200729
214,17428,OrderDateKey,20200531
382,25034,OrderDateKey,20200620
479,25693,OrderDateKey,20201213
362,14325,OrderDateKey,20190924
473,14158,OrderDateKey,20201020
237,26002,OrderDateKey,20201103
528,20130,OrderDateKey,20200131
485,17208,OrderDateKey,20200719
477,12702,OrderDateKey,20200521
222,16497,OrderDateKey,20201210
528,11971,OrderDateKey,20200415
538,22583,OrderDateKey,20200713
528,17027,OrderDateKey,20200202
479,25413,OrderDateKey,20200626
528,27686,OrderDateKey,20210128
389,14081,OrderDateKey,20190322
528,17289,OrderDateKey,20200415
537,11422,OrderDateKey,20200203
488,11752,OrderDateKey,20200227
225,13566,OrderDateKey,20200623
538,27503,OrderDateKey,20200803
217,24133,OrderDateKey,20200512
530,25514,OrderDateKey,20200615
537,13078,OrderDateKey,20200517
477,11032,OrderDateKey,20200811
481,18466,OrderDateKey,20210109
529,19002,OrderDateKey,20201210
225,21903,OrderDateKey,20200317
528,17468,OrderDateKey,20201110
467,26457,OrderDateKey,20200311
561,13576,OrderDateKey,20200621
528,11138,OrderDateKey,20201231
222,17295,OrderDateKey,20201029
480,13959,OrderDateKey,20200821
477,26942,OrderDateKey,20200624
480,15922,OrderDateKey,20200216
528,17808,OrderDateKey,20200223
480,26821,OrderDateKey,20200605
477,13597,OrderDateKey,20200819
485,16055,OrderDateKey,20200413
587,19447,OrderDateKey,20201202
569,28828,OrderDateKey,20200316
359,14155,OrderDateKey,20201005
381,25231,OrderDateKey,20191211
477,14031,OrderDateKey,20200817
471,15286,OrderDateKey,20201111
222,11506,OrderDateKey,20200504
353,17767,OrderDateKey,20201215
530,27703,OrderDateKey,20200622
