Year,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1900,,1830000,1314000,124000,1490000,543000,910000,278000,185000,530000,2220000,,2231000,163000,4828000,2518000,1473000,2148000,1384000,2788000,1189000,695000,2423000,1754000,3108000,1553000,245000,1897000,321000,1067000,412000,1884000,196000,43000,7283000,4161000,800000,415000,6313000,430000,1342000,403000,2023000,3055000,277000,1858000,344000,523000,2072000,959000,93000
1901,,1907000,1341000,131000,1550000,581000,931000,285000,187000,544000,2263000,,2227000,176000,4914000,2541000,1490000,2162000,1412000,2794000,1200000,699000,2450000,1805000,3128000,1578000,261000,1926000,346000,1078000,412000,1889000,206000,45000,7449000,4216000,916000,434000,6439000,441000,1361000,418000,2041000,3132000,284000,1887000,347000,583000,2109000,972000,100000
1902,,1935000,1360000,138000,1623000,621000,952000,290000,188000,565000,2305000,,2222000,199000,4992000,2567000,1505000,2177000,1440000,2856000,1210000,703000,2477000,1862000,3147000,1603000,270000,1956000,371000,1089000,409000,1917000,218000,49000,7612000,4322000,1027000,454000,6567000,450000,1379000,431000,2060000,3210000,292000,1894000,349000,651000,2141000,1000000,105000
1903,,1957000,1384000,144000,1702000,652000,972000,295000,190000,587000,2346000,,2217000,216000,5071000,2594000,1498000,2191000,1467000,2924000,1209000,709000,2505000,1901000,3166000,1628000,282000,1986000,396000,1104000,394000,1969000,229000,52000,7771000,4386000,1118000,479000,6699000,460000,1397000,437000,2082000,3291000,299000,1890000,350000,719000,2171000,1037000,108000
1904,,1978000,1419000,151000,1792000,659000,987000,302000,192000,599000,2387000,,2212000,229000,5161000,2614000,1527000,2205000,1495000,2969000,1217000,719000,2534000,1945000,3185000,1653000,293000,2017000,421000,1119000,407000,2050000,242000,56000,7927000,4458000,1200000,504000,6833000,471000,1415000,452000,2086000,3374000,308000,1889000,353000,782000,2202000,1064000,111000
1905,,2012000,1447000,158000,1893000,680000,1010000,308000,194000,615000,2427000,,2211000,246000,5241000,2635000,1555000,2220000,1523000,3018000,1237000,723000,2579000,1981000,3204000,1678000,305000,2051000,446000,1129000,423000,2151000,255000,59000,8084000,4530000,1277000,530000,6970000,481000,1433000,461000,2111000,3459000,316000,1917000,354000,842000,2231000,1094000,114000
1906,,2045000,1465000,167000,1976000,707000,1033000,313000,196000,628000,2466000,,2214000,262000,5309000,2663000,1576000,2234000,1551000,3107000,1251000,729000,2626000,1987000,3223000,1703000,322000,2077000,474000,1138000,415000,2239000,269000,64000,8289000,4587000,1349000,555000,7110000,492000,1451000,477000,2136000,3546000,327000,1942000,355000,904000,2250000,1122000,118000
1907,,2058000,1484000,176000,2054000,733000,1057000,317000,197000,645000,2505000,,2217000,277000,5384000,2679000,1612000,2249000,1579000,3183000,1257000,731000,2693000,1995000,3242000,1728000,332000,2105000,501000,1149000,423000,2314000,283000,68000,8499000,4630000,1414000,580000,7253000,505000,1468000,498000,2136000,3636000,339000,1952000,355000,967000,2268000,1149000,125000
1908,,2070000,1513000,186000,2161000,757000,1077000,321000,199000,684000,2543000,,2220000,291000,5474000,2677000,1629000,2263000,1607000,3251000,1269000,735000,2722000,2020000,3260000,1753000,346000,2142000,528000,1161000,428000,2403000,298000,73000,8714000,4677000,1498000,610000,7398000,519000,1485000,527000,2164000,3727000,351000,1994000,354000,1028000,2292000,1174000,133000
1909,,2108000,1545000,196000,2282000,775000,1097000,327000,201000,724000,2580000,,2223000,311000,5567000,2678000,1658000,2278000,1634000,3316000,1289000,740000,2771000,2051000,3279000,1777000,363000,2174000,555000,1177000,431000,2487000,314000,78000,8935000,4701000,1585000,643000,7546000,532000,1502000,553000,2177000,3821000,363000,2038000,356000,1091000,2317000,1203000,141000
1910,,2150000,1583000,206000,2406000,804000,1122000,334000,203000,756000,2618000,,2228000,329000,5668000,2713000,1692000,2299000,1667000,3365000,1302000,745000,2832000,2086000,3301000,1802000,380000,2221000,580000,1198000,431000,2550000,329000,82000,9137000,4786000,1671000,677000,7706000,545000,1523000,590000,2191000,3922000,377000,2071000,357000,1148000,2345000,1231000,147000
