Date,Expenses
2019-01-01 00:00:00.000,400000
2019-02-01 00:00:00.000,500000
2019-03-01 00:00:00.000,300000
2019-04-01 00:00:00.000,400000
2019-05-01 00:00:00.000,600000
2019-06-01 00:00:00.000,500000
2019-07-01 00:00:00.000,500000
2019-08-01 00:00:00.000,300000
2019-09-01 00:00:00.000,600000
2019-10-01 00:00:00.000,600000
2019-11-01 00:00:00.000,700000
2019-12-01 00:00:00.000,700000
2020-01-01 00:00:00.000,800000
2020-02-01 00:00:00.000,800000
2020-03-01 00:00:00.000,1000000
2020-04-01 00:00:00.000,1000000
2020-05-01 00:00:00.000,1100000
2020-06-01 00:00:00.000,1100000
2020-07-01 00:00:00.000,1500000
2020-08-01 00:00:00.000,1500000
2020-09-01 00:00:00.000,1500000
2020-10-01 00:00:00.000,1500000
2020-11-01 00:00:00.000,1500000
2020-12-01 00:00:00.000,2000000
2021-01-01 00:00:00.000,800000
2021-02-01 00:00:00.000,800000
2021-03-01 00:00:00.000,1000000
2021-04-01 00:00:00.000,1000000
2021-05-01 00:00:00.000,1100000
2021-06-01 00:00:00.000,1100000
