ProductID,ManufacturerName,ProductName,Description,CategoryName,Price,CostPrice
15,"SAMSUNG","Samsung Galaxy S21 FE","cultivate visionary ROI","Smartphone",538.25,484.43
16,"SAMSUNG","Samsung Galaxy S20 FE","maximize cross-media e-commerce","Smartphone",1535.49,1381.94
17,"SAMSUNG","Samsung Galaxy A32","architect intuitive ROI","Smartphone",1637.98,1474.18
18,"SAMSUNG","Samsung Galaxy S21","maximize dynamic schemas","Smartphone",1258.3,1132.47
19,"SAMSUNG","Samsung Galaxy A03","synergize one-to-one portals","Smartphone",1927.31,1734.58
20,"SAMSUNG","Samsung Galaxy A22","benchmark seamless convergence","Smartphone",2519.66,2267.69
21,"SAMSUNG","Samsung Galaxy A02","repurpose enterprise action-items","Smartphone",104.55,94.1
22,"SAMSUNG","Samsung Galaxy M12�","strategize granular content","Smartphone",1995.79,1796.21
23,"SAMSUNG","Samsung Galaxy A52","evolve strategic e-services","Smartphone",434.43,390.99
24,"SAMSUNG","Samsung Galaxy A03","embrace 24/365 ROI","Smartphone",1119.93,1007.94
25,"SAMSUNG","Samsung Galaxy M52�","extend cross-platform bandwidth","Smartphone",1110.28,999.25
26,"SAMSUNG","Samsung Galaxy M22","envisioneer web-enabled infrastructures","Smartphone",1842.09,1657.88
170,"SAMSUNG","SamsungS11","engage cutting-edge users","LapTop",1002.33,902.1
171,"SAMSUNG","SamsungS12","productize bleeding-edge content","LapTop",2127.69,1914.92
172,"SAMSUNG","SamsungS13","target mission-critical partnerships","LapTop",1586.85,1428.17
173,"SAMSUNG","SamsungS14","brand interactive e-tailers","LapTop",1745.78,1571.2
174,"SAMSUNG","SamsungS15","reintermediate leading-edge users","LapTop",1794.61,1615.15
175,"SAMSUNG","SamsungS16","redefine web-enabled ROI","LapTop",2303.08,2072.77
176,"SAMSUNG","SamsungS17","extend scalable action-items","LapTop",559.1,503.19
177,"SAMSUNG","SamsungS18","matrix bleeding-edge solutions","LapTop",2428.11,2185.3
178,"SAMSUNG","SamsungS19","enable impactful channels","LapTop",1492.26,1343.03
234,"SAMSUNG","SAMSUNG1T","morph transparent bandwidth","TV",270.67,243.6
235,"SAMSUNG","SAMSUNG2T","seize intuitive platforms","TV",1736.15,1562.54
236,"SAMSUNG","SAMSUNG3T","iterate leading-edge web services","TV",1674.36,1506.92
237,"SAMSUNG","SAMSUNG4T","redefine web-enabled e-commerce","TV",1760.35,1584.32
238,"SAMSUNG","SAMSUNG5T","embrace open-source functionalities","TV",205.04,184.54
239,"SAMSUNG","SAMSUNG6T","reintermediate real-time methodologies","TV",2158.8,1942.92
240,"SAMSUNG","SAMSUNG7T","exploit sexy architectures","TV",1212.23,1091.01
241,"SAMSUNG","SAMSUNG8T","optimize enterprise convergence","TV",1551.1,1395.99
282,"SAMSUNG","SAMSUNG sw1","utilize turn-key synergies","Smart watch",1665.3,1498.77
283,"SAMSUNG","SAMSUNG sw2","generate one-to-one e-markets","Smart watch",1074.93,967.44
284,"SAMSUNG","SAMSUNG sw3","morph impactful e-services","Smart watch",2731.23,2458.11
285,"SAMSUNG","SAMSUNG sw4","redefine enterprise bandwidth","Smart watch",860.88,774.79
286,"SAMSUNG","SAMSUNG sw5","cultivate compelling niches","Smart watch",1544.46,1390.01
287,"SAMSUNG","SAMSUNG sw6","strategize rich e-tailers","Smart watch",230.05,207.05
288,"SAMSUNG","SAMSUNG sw7","enhance scalable metrics","Smart watch",1913.83,1722.45
289,"SAMSUNG","SAMSUNG sw8","recontextualize innovative paradigms","Smart watch",660.51,594.46
