SaleID,variable,value
907815,ProductID,90
408365,ProductID,987
215926,ProductID,974
695432,ProductID,864
802670,ProductID,902
345284,ProductID,840
866417,ProductID,504
195821,ProductID,335
59706,ProductID,905
287478,ProductID,710
118062,ProductID,531
639244,ProductID,180
43104,ProductID,546
720489,ProductID,296
124335,ProductID,37
444409,ProductID,456
973884,ProductID,392
192594,ProductID,260
39830,ProductID,249
387825,ProductID,304
978384,ProductID,193
994274,ProductID,842
315305,ProductID,221
943014,ProductID,622
678346,ProductID,3
572456,ProductID,807
518968,ProductID,863
294678,ProductID,559
305761,ProductID,18
46286,ProductID,346
60090,ProductID,172
891867,ProductID,20
658704,ProductID,452
295785,ProductID,249
521883,ProductID,945
683662,ProductID,496
638249,ProductID,711
809999,ProductID,321
699796,ProductID,963
613602,ProductID,172
400313,ProductID,72
940661,ProductID,650
625362,ProductID,126
158012,ProductID,348
22314,ProductID,928
125823,ProductID,458
901685,ProductID,91
179157,ProductID,548
725,ProductID,860
771026,ProductID,810
694751,ProductID,941
964551,ProductID,861
564066,ProductID,488
713820,ProductID,58
386665,ProductID,119
801470,ProductID,376
187142,ProductID,933
682625,ProductID,380
630436,ProductID,947
420418,ProductID,259
975109,ProductID,705
806679,ProductID,734
350697,ProductID,115
386150,ProductID,795
101506,ProductID,560
416820,ProductID,653
543017,ProductID,852
150448,ProductID,857
91665,ProductID,856
412202,ProductID,946
369683,ProductID,561
925488,ProductID,872
489373,ProductID,131
150262,ProductID,444
971268,ProductID,706
494844,ProductID,237
220689,ProductID,606
33560,ProductID,536
928601,ProductID,929
249494,ProductID,567
603571,ProductID,811
627509,ProductID,384
276318,ProductID,780
685023,ProductID,710
678208,ProductID,300
366365,ProductID,954
282327,ProductID,149
616648,ProductID,573
506588,ProductID,882
361580,ProductID,627
147029,ProductID,252
545119,ProductID,451
201676,ProductID,426
318631,ProductID,487
705246,ProductID,688
334120,ProductID,292
130718,ProductID,788
632998,ProductID,517
482306,ProductID,866
264235,ProductID,559
907815,ManagerID,504
408365,ManagerID,348
215926,ManagerID,36
695432,ManagerID,933
802670,ManagerID,624
345284,ManagerID,365
866417,ManagerID,926
195821,ManagerID,314
59706,ManagerID,120
287478,ManagerID,534
118062,ManagerID,898
639244,ManagerID,337
43104,ManagerID,604
720489,ManagerID,805
124335,ManagerID,161
444409,ManagerID,893
973884,ManagerID,329
192594,ManagerID,821
39830,ManagerID,550
387825,ManagerID,235
978384,ManagerID,314
994274,ManagerID,55
315305,ManagerID,448
943014,ManagerID,752
678346,ManagerID,306
572456,ManagerID,104
518968,ManagerID,223
294678,ManagerID,885
305761,ManagerID,667
46286,ManagerID,874
60090,ManagerID,858
891867,ManagerID,866
658704,ManagerID,927
295785,ManagerID,162
521883,ManagerID,366
683662,ManagerID,522
638249,ManagerID,901
809999,ManagerID,725
699796,ManagerID,433
613602,ManagerID,38
400313,ManagerID,682
940661,ManagerID,125
625362,ManagerID,436
158012,ManagerID,632
22314,ManagerID,645
125823,ManagerID,861
901685,ManagerID,375
179157,ManagerID,906
725,ManagerID,784
771026,ManagerID,615
694751,ManagerID,18
964551,ManagerID,192
564066,ManagerID,751
713820,ManagerID,994
386665,ManagerID,127
801470,ManagerID,326
187142,ManagerID,65
682625,ManagerID,204
630436,ManagerID,710
420418,ManagerID,254
975109,ManagerID,296
806679,ManagerID,926
350697,ManagerID,797
386150,ManagerID,125
101506,ManagerID,612
416820,ManagerID,899
543017,ManagerID,878
150448,ManagerID,210
91665,ManagerID,9
412202,ManagerID,876
369683,ManagerID,745
925488,ManagerID,691
489373,ManagerID,690
150262,ManagerID,244
971268,ManagerID,186
494844,ManagerID,235
220689,ManagerID,66
33560,ManagerID,224
928601,ManagerID,41
249494,ManagerID,509
603571,ManagerID,569
627509,ManagerID,593
276318,ManagerID,502
685023,ManagerID,782
678208,ManagerID,707
366365,ManagerID,439
282327,ManagerID,472
616648,ManagerID,963
506588,ManagerID,598
361580,ManagerID,352
147029,ManagerID,963
545119,ManagerID,986
201676,ManagerID,298
318631,ManagerID,989
705246,ManagerID,623
334120,ManagerID,550
130718,ManagerID,278
632998,ManagerID,779
482306,ManagerID,105
264235,ManagerID,206
907815,BuyerID,63210
408365,BuyerID,20718
215926,BuyerID,70649
695432,BuyerID,21074
802670,BuyerID,44122
345284,BuyerID,35887
866417,BuyerID,66712
195821,BuyerID,16183
59706,BuyerID,21434
287478,BuyerID,6639
118062,BuyerID,82788
639244,BuyerID,92337
43104,BuyerID,77825
720489,BuyerID,22135
124335,BuyerID,48525
444409,BuyerID,52167
973884,BuyerID,31945
192594,BuyerID,22382
39830,BuyerID,69263
387825,BuyerID,63443
978384,BuyerID,90356
994274,BuyerID,73569
315305,BuyerID,85963
943014,BuyerID,27193
678346,BuyerID,63945
572456,BuyerID,3764
518968,BuyerID,87669
294678,BuyerID,77434
305761,BuyerID,74318
46286,BuyerID,57308
60090,BuyerID,13637
891867,BuyerID,97721
658704,BuyerID,4589
295785,BuyerID,88975
521883,BuyerID,62046
683662,BuyerID,54357
638249,BuyerID,71508
809999,BuyerID,75359
699796,BuyerID,76794
613602,BuyerID,31407
400313,BuyerID,82549
940661,BuyerID,76617
625362,BuyerID,43791
158012,BuyerID,94243
22314,BuyerID,20797
125823,BuyerID,78793
901685,BuyerID,45240
179157,BuyerID,37947
725,BuyerID,55216
771026,BuyerID,58332
694751,BuyerID,29088
964551,BuyerID,26612
564066,BuyerID,99435
713820,BuyerID,31878
386665,BuyerID,39051
801470,BuyerID,25722
187142,BuyerID,10856
682625,BuyerID,97904
630436,BuyerID,65357
420418,BuyerID,39412
975109,BuyerID,31611
806679,BuyerID,19764
350697,BuyerID,82804
386150,BuyerID,37562
101506,BuyerID,31615
416820,BuyerID,1127
543017,BuyerID,88574
150448,BuyerID,89252
91665,BuyerID,67427
412202,BuyerID,97239
369683,BuyerID,56038
925488,BuyerID,54246
489373,BuyerID,54099
150262,BuyerID,46660
971268,BuyerID,11104
494844,BuyerID,67409
220689,BuyerID,6223
33560,BuyerID,86823
928601,BuyerID,98053
249494,BuyerID,65277
603571,BuyerID,43827
627509,BuyerID,31263
276318,BuyerID,9591
685023,BuyerID,28932
678208,BuyerID,53898
366365,BuyerID,56385
282327,BuyerID,17999
616648,BuyerID,83380
506588,BuyerID,89951
361580,BuyerID,9058
147029,BuyerID,6574
545119,BuyerID,95253
201676,BuyerID,2780
318631,BuyerID,28471
705246,BuyerID,22156
334120,BuyerID,94168
130718,BuyerID,2413
632998,BuyerID,51003
482306,BuyerID,23421
264235,BuyerID,93959
907815,DeliveryID,1
408365,DeliveryID,3
215926,DeliveryID,3
695432,DeliveryID,1
802670,DeliveryID,3
345284,DeliveryID,3
866417,DeliveryID,1
195821,DeliveryID,1
59706,DeliveryID,3
287478,DeliveryID,1
118062,DeliveryID,1
639244,DeliveryID,3
43104,DeliveryID,1
720489,DeliveryID,1
124335,DeliveryID,1
444409,DeliveryID,1
973884,DeliveryID,3
192594,DeliveryID,3
39830,DeliveryID,3
387825,DeliveryID,3
978384,DeliveryID,1
994274,DeliveryID,3
315305,DeliveryID,3
943014,DeliveryID,3
678346,DeliveryID,3
572456,DeliveryID,3
518968,DeliveryID,1
294678,DeliveryID,1
305761,DeliveryID,1
46286,DeliveryID,1
60090,DeliveryID,1
891867,DeliveryID,3
658704,DeliveryID,1
295785,DeliveryID,3
521883,DeliveryID,1
683662,DeliveryID,3
638249,DeliveryID,1
809999,DeliveryID,3
699796,DeliveryID,1
613602,DeliveryID,1
400313,DeliveryID,3
940661,DeliveryID,3
625362,DeliveryID,1
158012,DeliveryID,3
22314,DeliveryID,1
125823,DeliveryID,3
901685,DeliveryID,1
179157,DeliveryID,1
725,DeliveryID,1
771026,DeliveryID,3
694751,DeliveryID,3
964551,DeliveryID,1
564066,DeliveryID,3
713820,DeliveryID,3
386665,DeliveryID,3
801470,DeliveryID,3
187142,DeliveryID,1
682625,DeliveryID,1
630436,DeliveryID,1
420418,DeliveryID,1
975109,DeliveryID,1
806679,DeliveryID,1
350697,DeliveryID,1
386150,DeliveryID,3
101506,DeliveryID,3
416820,DeliveryID,1
543017,DeliveryID,1
150448,DeliveryID,3
91665,DeliveryID,1
412202,DeliveryID,1
369683,DeliveryID,1
925488,DeliveryID,1
489373,DeliveryID,1
150262,DeliveryID,1
971268,DeliveryID,1
494844,DeliveryID,1
220689,DeliveryID,3
33560,DeliveryID,1
928601,DeliveryID,3
249494,DeliveryID,1
603571,DeliveryID,1
627509,DeliveryID,1
276318,DeliveryID,1
685023,DeliveryID,3
678208,DeliveryID,1
366365,DeliveryID,1
282327,DeliveryID,1
616648,DeliveryID,3
506588,DeliveryID,1
361580,DeliveryID,3
147029,DeliveryID,1
545119,DeliveryID,3
201676,DeliveryID,1
318631,DeliveryID,3
705246,DeliveryID,3
334120,DeliveryID,1
130718,DeliveryID,1
632998,DeliveryID,1
482306,DeliveryID,1
264235,DeliveryID,1
907815,SellingAmount,815
408365,SellingAmount,365
215926,SellingAmount,926
695432,SellingAmount,432
802670,SellingAmount,670
345284,SellingAmount,284
866417,SellingAmount,417
195821,SellingAmount,821
59706,SellingAmount,706
287478,SellingAmount,478
118062,SellingAmount,62
639244,SellingAmount,244
43104,SellingAmount,104
720489,SellingAmount,489
124335,SellingAmount,335
444409,SellingAmount,409
973884,SellingAmount,884
192594,SellingAmount,594
39830,SellingAmount,830
387825,SellingAmount,825
978384,SellingAmount,384
994274,SellingAmount,274
315305,SellingAmount,305
943014,SellingAmount,14
678346,SellingAmount,346
572456,SellingAmount,456
518968,SellingAmount,968
294678,SellingAmount,678
305761,SellingAmount,761
46286,SellingAmount,286
60090,SellingAmount,90
891867,SellingAmount,867
658704,SellingAmount,704
295785,SellingAmount,785
521883,SellingAmount,883
683662,SellingAmount,662
638249,SellingAmount,249
809999,SellingAmount,999
699796,SellingAmount,796
613602,SellingAmount,602
400313,SellingAmount,313
940661,SellingAmount,661
625362,SellingAmount,362
158012,SellingAmount,12
22314,SellingAmount,314
125823,SellingAmount,823
901685,SellingAmount,685
179157,SellingAmount,157
725,SellingAmount,725
771026,SellingAmount,26
694751,SellingAmount,751
964551,SellingAmount,551
564066,SellingAmount,66
713820,SellingAmount,820
386665,SellingAmount,665
801470,SellingAmount,470
187142,SellingAmount,142
682625,SellingAmount,625
630436,SellingAmount,436
420418,SellingAmount,418
975109,SellingAmount,109
806679,SellingAmount,679
350697,SellingAmount,697
386150,SellingAmount,150
101506,SellingAmount,506
416820,SellingAmount,820
543017,SellingAmount,17
150448,SellingAmount,448
91665,SellingAmount,665
412202,SellingAmount,202
369683,SellingAmount,683
925488,SellingAmount,488
489373,SellingAmount,373
150262,SellingAmount,262
971268,SellingAmount,268
494844,SellingAmount,844
220689,SellingAmount,689
33560,SellingAmount,560
928601,SellingAmount,601
249494,SellingAmount,494
603571,SellingAmount,571
627509,SellingAmount,509
276318,SellingAmount,318
685023,SellingAmount,23
678208,SellingAmount,208
366365,SellingAmount,365
282327,SellingAmount,327
616648,SellingAmount,648
506588,SellingAmount,588
361580,SellingAmount,580
147029,SellingAmount,29
545119,SellingAmount,119
201676,SellingAmount,676
318631,SellingAmount,631
705246,SellingAmount,246
334120,SellingAmount,120
130718,SellingAmount,718
632998,SellingAmount,998
482306,SellingAmount,306
264235,SellingAmount,235
907815,Date,2002-01-13 00:00:00.000
408365,Date,2001-02-04 00:00:00.000
215926,Date,2007-01-16 00:00:00.000
695432,Date,2009-01-19 00:00:00.000
802670,Date,2003-03-05 00:00:00.000
345284,Date,2007-03-22 00:00:00.000
866417,Date,2016-05-24 00:00:00.000
195821,Date,2010-10-08 00:00:00.000
59706,Date,2003-02-20 00:00:00.000
287478,Date,2016-11-24 00:00:00.000
118062,Date,2004-03-30 00:00:00.000
639244,Date,2005-08-30 00:00:00.000
43104,Date,2021-10-06 00:00:00.000
720489,Date,2001-02-06 00:00:00.000
124335,Date,2020-05-27 00:00:00.000
444409,Date,2013-03-10 00:00:00.000
973884,Date,2008-01-17 00:00:00.000
192594,Date,2007-04-04 00:00:00.000
39830,Date,2004-01-26 00:00:00.000
387825,Date,2016-08-04 00:00:00.000
978384,Date,2016-02-28 00:00:00.000
994274,Date,2014-07-31 00:00:00.000
315305,Date,2021-05-27 00:00:00.000
943014,Date,2004-09-14 00:00:00.000
678346,Date,2012-09-02 00:00:00.000
572456,Date,2008-05-13 00:00:00.000
518968,Date,2000-11-24 00:00:00.000
294678,Date,2014-03-23 00:00:00.000
305761,Date,2016-05-07 00:00:00.000
46286,Date,2022-02-04 00:00:00.000
60090,Date,2011-03-17 00:00:00.000
891867,Date,2000-05-17 00:00:00.000
658704,Date,2009-08-30 00:00:00.000
295785,Date,2002-01-01 00:00:00.000
521883,Date,2008-10-28 00:00:00.000
683662,Date,2006-05-14 00:00:00.000
638249,Date,2002-12-20 00:00:00.000
809999,Date,2002-08-25 00:00:00.000
699796,Date,2015-04-23 00:00:00.000
613602,Date,2005-03-13 00:00:00.000
400313,Date,2002-09-07 00:00:00.000
940661,Date,2004-09-13 00:00:00.000
625362,Date,2010-02-08 00:00:00.000
158012,Date,2013-08-18 00:00:00.000
22314,Date,2005-06-28 00:00:00.000
125823,Date,2006-09-06 00:00:00.000
901685,Date,2008-02-10 00:00:00.000
179157,Date,2016-01-01 00:00:00.000
725,Date,2013-12-16 00:00:00.000
771026,Date,2009-05-24 00:00:00.000
694751,Date,2004-11-28 00:00:00.000
964551,Date,2019-10-29 00:00:00.000
564066,Date,2002-12-18 00:00:00.000
713820,Date,2014-04-21 00:00:00.000
386665,Date,2008-03-22 00:00:00.000
801470,Date,2016-09-18 00:00:00.000
187142,Date,2017-05-18 00:00:00.000
682625,Date,2002-09-22 00:00:00.000
630436,Date,2016-11-09 00:00:00.000
420418,Date,2011-06-13 00:00:00.000
975109,Date,2011-09-21 00:00:00.000
806679,Date,2001-06-22 00:00:00.000
350697,Date,2014-03-30 00:00:00.000
386150,Date,2008-03-22 00:00:00.000
101506,Date,2013-02-15 00:00:00.000
416820,Date,2015-09-07 00:00:00.000
543017,Date,2005-11-04 00:00:00.000
150448,Date,2012-07-13 00:00:00.000
91665,Date,2016-10-29 00:00:00.000
412202,Date,2021-12-09 00:00:00.000
369683,Date,2021-07-10 00:00:00.000
925488,Date,2014-01-31 00:00:00.000
489373,Date,2012-02-27 00:00:00.000
150262,Date,2012-07-13 00:00:00.000
971268,Date,2003-07-18 00:00:00.000
494844,Date,2011-12-21 00:00:00.000
220689,Date,2008-04-08 00:00:00.000
33560,Date,2015-04-25 00:00:00.000
928601,Date,2001-07-10 00:00:00.000
249494,Date,2009-07-22 00:00:00.000
603571,Date,2020-09-10 00:00:00.000
627509,Date,2011-03-10 00:00:00.000
276318,Date,2020-03-14 00:00:00.000
685023,Date,2018-01-04 00:00:00.000
678208,Date,2012-09-02 00:00:00.000
366365,Date,2011-07-29 00:00:00.000
282327,Date,2020-04-08 00:00:00.000
616648,Date,2011-07-15 00:00:00.000
506588,Date,2016-12-13 00:00:00.000
361580,Date,2004-10-02 00:00:00.000
147029,Date,2003-02-15 00:00:00.000
545119,Date,2016-03-22 00:00:00.000
201676,Date,2008-11-01 00:00:00.000
318631,Date,2006-10-09 00:00:00.000
705246,Date,2021-09-07 00:00:00.000
334120,Date,2015-06-13 00:00:00.000
130718,Date,2016-07-06 00:00:00.000
632998,Date,2005-11-06 00:00:00.000
482306,Date,2000-11-04 00:00:00.000
264235,Date,2008-04-18 00:00:00.000
907815,ShopID,32.0
408365,ShopID,48.0
215926,ShopID,6.0
695432,ShopID,7.0
802670,ShopID,22.0
345284,ShopID,5.0
866417,ShopID,15.0
195821,ShopID,18.0
59706,ShopID,12.0
287478,ShopID,49.0
118062,ShopID,45.0
639244,ShopID,11.0
43104,ShopID,44.0
720489,ShopID,22.0
124335,ShopID,3.0
444409,ShopID,24.0
973884,ShopID,43.0
192594,ShopID,40.0
39830,ShopID,8.0
387825,ShopID,15.0
978384,ShopID,30.0
994274,ShopID,16.0
315305,ShopID,6.0
943014,ShopID,12.0
678346,ShopID,17.0
572456,ShopID,27.0
518968,ShopID,47.0
294678,ShopID,10.0
305761,ShopID,17.0
46286,ShopID,34.0
60090,ShopID,30.0
891867,ShopID,9.0
658704,ShopID,50.0
295785,ShopID,44.0
521883,ShopID,40.0
683662,ShopID,2.0
638249,ShopID,36.0
809999,ShopID,8.0
699796,ShopID,6.0
613602,ShopID,39.0
400313,ShopID,15.0
940661,ShopID,3.0
625362,ShopID,16.0
158012,ShopID,34.0
22314,ShopID,3.0
125823,ShopID,3.0
901685,ShopID,8.0
179157,ShopID,45.0
725,ShopID,49.0
771026,ShopID,9.0
694751,ShopID,13.0
964551,ShopID,41.0
564066,ShopID,8.0
713820,ShopID,13.0
386665,ShopID,9.0
801470,ShopID,3.0
187142,ShopID,1.0
682625,ShopID,22.0
630436,ShopID,33.0
420418,ShopID,48.0
975109,ShopID,7.0
806679,ShopID,37.0
350697,ShopID,40.0
386150,ShopID,26.0
101506,ShopID,40.0
416820,ShopID,17.0
543017,ShopID,35.0
150448,ShopID,40.0
91665,ShopID,38.0
412202,ShopID,32.0
369683,ShopID,3.0
925488,ShopID,35.0
489373,ShopID,1.0
150262,ShopID,5.0
971268,ShopID,43.0
494844,ShopID,12.0
220689,ShopID,1.0
33560,ShopID,31.0
928601,ShopID,50.0
249494,ShopID,25.0
603571,ShopID,27.0
627509,ShopID,9.0
276318,ShopID,33.0
685023,ShopID,37.0
678208,ShopID,9.0
366365,ShopID,48.0
282327,ShopID,18.0
616648,ShopID,5.0
506588,ShopID,37.0
361580,ShopID,34.0
147029,ShopID,33.0
545119,ShopID,2.0
201676,ShopID,47.0
318631,ShopID,48.0
705246,ShopID,1.0
334120,ShopID,46.0
130718,ShopID,9.0
632998,ShopID,29.0
482306,ShopID,37.0
264235,ShopID,4.0
