certificate_pk,issued_to,parent_certificate_fk,valid_from,valid_to,version,serial_number,subject,signature_algorithm,signature_hash,digital_signature_usage,content_commitment_usage,key_encipherment_usage,data_encipherment_usage,key_agreement_usage,key_cert_sign_usage,crl_sign_usage,encipher_only_usage,decipher_only_usage,extended_key_usage,vendor_fk,tags,devicecertificate_pk,certificate_fk,fqdn,device_fk,ipaddress_fk,valid_from2,valid_to2,serial_number2,ssl_version,cipher_suites,first_added,last_edited
"28","10.42.0.45","",2017-05-11 00:00:00.000,2027-05-09 00:00:00.000,,"94A3A6A1696D682F","/CN=10.42.0.45","sha1WithRSAEncryption","4013466216",False,False,False,False,False,False,False,False,False,"","","","115","28","10.42.0.45","5606","40308",2017-05-11 00:00:00.000,2027-05-09 00:00:00.000,"94A3A6A1696D682F","TLSv1.2","""TLSv1.2""=>""[\""TLS_RSA_WITH_AES_128_CBC_SHA256\""]""",2020-03-13 20:45:34.880,2020-08-24 11:55:44.916
"47","localhost.device42.pvt","",2017-12-14 00:00:00.000,2029-06-14 00:00:00.000,2,"F4AFD22FFD55","/C=US/ST=California/L=Palo Alto/O=VMware, Inc/OU=VMware ESX Server Default Certificate/emailAddress=ssl-certificates@vmware.com/CN=localhost.device42.pvt/unstructuredName=1513242574,564d7761726520496e632e","sha256WithRSAEncryption","325733684",True,False,True,True,False,False,False,False,False,"SERVERAUTH(1.3.6.1.5.5.7.3.1)
CLIENTAUTH(1.3.6.1.5.5.7.3.2)","","","148","47","localhost.device42.pvt","13335","39915",2017-10-27 00:00:00.000,2029-04-27 00:00:00.000,"AA85301E6955","TLSv1.1, TLSv1.0, TLSv1.2","""TLSv1.0""=>""[\""TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA\"", \""TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA\"", \""TLS_RSA_WITH_AES_256_CBC_SHA\"", \""TLS_RSA_WITH_AES_128_CBC_SHA\""]"", ""TLSv1.1""=>""[\""TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA\"", \""TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA\"", \""TLS_RSA_WITH_AES_256_CBC_SHA\"", \""TLS_RSA_WITH_AES_128_CBC_SHA\""]"", ""TLSv1.2""=>""[\""TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384\"", \""TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256\"", \""TLS_RSA_WITH_AES_256_GCM_SHA384\"", \""TLS_RSA_WITH_AES_128_GCM_SHA256\"", \""TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384\"", \""TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA\"", \""TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256\"", \""TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA\"", \""TLS_RSA_WITH_AES_256_CBC_SHA256\"", \""TLS_RSA_WITH_AES_256_CBC_SHA\"", \""TLS_RSA_WITH_AES_128_CBC_SHA256\"", \""TLS_RSA_WITH_AES_128_CBC_SHA\""]""",2020-08-20 11:43:44.986,2020-08-24 11:43:44.996
"32","10.42.0.157","26",2018-02-20 00:00:00.000,2023-02-20 00:00:00.000,2,"ECF3DDC03CDE65BA","/C=US/ST=California/L=Palo Alto/O=VMware/OU=VMware Engineering/CN=10.42.0.157/emailAddress=vmca@vmware.com","sha256WithRSAEncryption","1012448859",False,False,False,False,False,False,False,False,False,"","","","150","32","10.42.0.157","10509","44250",2018-02-20 00:00:00.000,2023-02-20 00:00:00.000,"ECF3DDC03CDE65BA","TLSv1.1, TLSv1.0, TLSv1.2","""TLSv1.0""=>""[\""TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA\"", \""TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA\"", \""TLS_RSA_WITH_AES_256_CBC_SHA\"", \""TLS_RSA_WITH_AES_128_CBC_SHA\""]"", ""TLSv1.1""=>""[\""TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA\"", \""TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA\"", \""TLS_RSA_WITH_AES_256_CBC_SHA\"", \""TLS_RSA_WITH_AES_128_CBC_SHA\""]"", ""TLSv1.2""=>""[\""TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384\"", \""TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256\"", \""TLS_RSA_WITH_AES_256_GCM_SHA384\"", \""TLS_RSA_WITH_AES_128_GCM_SHA256\"", \""TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384\"", \""TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA\"", \""TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256\"", \""TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA\"", \""TLS_RSA_WITH_AES_256_CBC_SHA256\"", \""TLS_RSA_WITH_AES_256_CBC_SHA\"", \""TLS_RSA_WITH_AES_128_CBC_SHA256\"", \""TLS_RSA_WITH_AES_128_CBC_SHA\""]""",2020-08-20 11:43:45.033,2020-08-24 11:43:45.043
"27","10.42.0.19","26",2016-09-27 00:00:00.000,2021-09-27 00:00:00.000,2,"C7CF98B48CC0BD81","/C=US/ST=California/L=Palo Alto/O=VMware/OU=VMware Engineering/CN=10.42.0.19/emailAddress=vmca@vmware.com","sha256WithRSAEncryption","4027839890",False,False,False,False,False,False,False,False,False,"","","","113","27","10.42.0.19","906","39942",2016-09-27 00:00:00.000,2021-09-27 00:00:00.000,"C7CF98B48CC0BD81","TLSv1.1, TLSv1.0, TLSv1.2","""TLSv1.0""=>""[\""TLS_RSA_WITH_AES_128_CBC_SHA\"", \""TLS_RSA_WITH_AES_256_CBC_SHA\"", \""TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA\"", \""TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA\""]"", ""TLSv1.1""=>""[\""TLS_RSA_WITH_AES_128_CBC_SHA\"", \""TLS_RSA_WITH_AES_256_CBC_SHA\"", \""TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA\"", \""TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA\""]"", ""TLSv1.2""=>""[\""TLS_RSA_WITH_AES_128_CBC_SHA\"", \""TLS_RSA_WITH_AES_256_CBC_SHA\"", \""TLS_RSA_WITH_AES_128_CBC_SHA256\"", \""TLS_RSA_WITH_AES_256_CBC_SHA256\"", \""TLS_RSA_WITH_AES_128_GCM_SHA256\"", \""TLS_RSA_WITH_AES_256_GCM_SHA384\"", \""TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA\"", \""TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA\"", \""TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256\"", \""TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384\"", \""TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256\"", \""TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384\""]""",2020-03-13 20:44:34.973,2020-08-24 11:43:45.200
"31","10.42.0.67","26",2019-01-21 00:00:00.000,2024-01-21 00:00:00.000,2,"FC15F78DD86F8F0A","/C=US/ST=California/L=Palo Alto/O=VMware/OU=VMware Engineering/CN=10.42.0.67/emailAddress=vmca@vmware.com","sha256WithRSAEncryption","3417504962",False,False,False,False,False,False,False,False,False,"","","","118","31","10.42.0.67","9465","39932",2019-01-21 00:00:00.000,2024-01-21 00:00:00.000,"FC15F78DD86F8F0A","TLSv1.1, TLSv1.0, TLSv1.2","""TLSv1.0""=>""[\""TLS_RSA_WITH_AES_128_CBC_SHA\"", \""TLS_RSA_WITH_AES_256_CBC_SHA\"", \""TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA\"", \""TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA\""]"", ""TLSv1.1""=>""[\""TLS_RSA_WITH_AES_128_CBC_SHA\"", \""TLS_RSA_WITH_AES_256_CBC_SHA\"", \""TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA\"", \""TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA\""]"", ""TLSv1.2""=>""[\""TLS_RSA_WITH_AES_128_CBC_SHA\"", \""TLS_RSA_WITH_AES_256_CBC_SHA\"", \""TLS_RSA_WITH_AES_128_CBC_SHA256\"", \""TLS_RSA_WITH_AES_256_CBC_SHA256\"", \""TLS_RSA_WITH_AES_128_GCM_SHA256\"", \""TLS_RSA_WITH_AES_256_GCM_SHA384\"", \""TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA\"", \""TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA\"", \""TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256\"", \""TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384\"", \""TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256\"", \""TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384\""]""",2020-03-13 20:45:34.963,2020-08-24 11:43:45.153
"25","10.42.0.10","",2016-07-13 00:00:00.000,2026-07-11 00:00:00.000,,"BA4F909DCA7C73CE","/CN=10.42.0.10","sha1WithRSAEncryption","4146659925",False,False,False,False,False,False,False,False,False,"","","","112","25","10.42.0.10","5610","40293",2016-07-13 00:00:00.000,2026-07-11 00:00:00.000,"BA4F909DCA7C73CE","TLSv1.2","""TLSv1.2""=>""[\""TLS_RSA_WITH_AES_128_CBC_SHA256\""]""",2020-03-13 20:44:34.926,2020-08-24 11:43:45.250
"11","iDRAC6 default certificate","",2009-09-17 00:00:00.000,2019-09-15 00:00:00.000,2,"D655547D233CF47C","/C=US/ST=Texas/L=Round Rock/O=Dell Inc./OU=Remote Access Group/CN=iDRAC6 default certificate","sha1WithRSAEncryption","1978259825",False,False,False,False,False,False,False,False,False,"","","","147","11","iDRAC6 default certificate","14671","42634",2009-09-17 00:00:00.000,2019-09-15 00:00:00.000,"D655547D233CF47C","TLSv1.1, TLSv1.0, TLSv1.2","""TLSv1.0""=>""[\""TLS_RSA_EXPORT_WITH_RC4_40_MD5\"", \""TLS_RSA_WITH_RC4_128_MD5\"", \""TLS_RSA_WITH_RC4_128_SHA\"", \""TLS_RSA_EXPORT_WITH_RC2_CBC_40_MD5\"", \""TLS_RSA_WITH_IDEA_CBC_SHA\"", \""TLS_RSA_EXPORT_WITH_DES40_CBC_SHA\"", \""TLS_RSA_WITH_DES_CBC_SHA\"", \""TLS_RSA_WITH_3DES_EDE_CBC_SHA\"", \""TLS_DHE_RSA_EXPORT_WITH_DES40_CBC_SHA\"", \""TLS_DHE_RSA_WITH_DES_CBC_SHA\"", \""TLS_DHE_RSA_WITH_3DES_EDE_CBC_SHA\"", \""TLS_RSA_WITH_AES_128_CBC_SHA\"", \""TLS_DHE_RSA_WITH_AES_128_CBC_SHA\"", \""TLS_RSA_WITH_AES_256_CBC_SHA\"", \""TLS_DHE_RSA_WITH_AES_256_CBC_SHA\"", \""TLS_RSA_WITH_CAMELLIA_128_CBC_SHA\"", \""TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA\"", \""TLS_RSA_WITH_CAMELLIA_256_CBC_SHA\"", \""TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA\"", \""TLS_RSA_WITH_SEED_CBC_SHA\"", \""TLS_DHE_RSA_WITH_SEED_CBC_SHA\""]"", ""TLSv1.1""=>""[\""TLS_RSA_EXPORT_WITH_RC4_40_MD5\"", \""TLS_RSA_WITH_RC4_128_MD5\"", \""TLS_RSA_WITH_RC4_128_SHA\"", \""TLS_RSA_EXPORT_WITH_RC2_CBC_40_MD5\"", \""TLS_RSA_WITH_IDEA_CBC_SHA\"", \""TLS_RSA_EXPORT_WITH_DES40_CBC_SHA\"", \""TLS_RSA_WITH_DES_CBC_SHA\"", \""TLS_RSA_WITH_3DES_EDE_CBC_SHA\"", \""TLS_DHE_RSA_EXPORT_WITH_DES40_CBC_SHA\"", \""TLS_DHE_RSA_WITH_DES_CBC_SHA\"", \""TLS_DHE_RSA_WITH_3DES_EDE_CBC_SHA\"", \""TLS_RSA_WITH_AES_128_CBC_SHA\"", \""TLS_DHE_RSA_WITH_AES_128_CBC_SHA\"", \""TLS_RSA_WITH_AES_256_CBC_SHA\"", \""TLS_DHE_RSA_WITH_AES_256_CBC_SHA\"", \""TLS_RSA_WITH_CAMELLIA_128_CBC_SHA\"", \""TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA\"", \""TLS_RSA_WITH_CAMELLIA_256_CBC_SHA\"", \""TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA\"", \""TLS_RSA_WITH_SEED_CBC_SHA\"", \""TLS_DHE_RSA_WITH_SEED_CBC_SHA\""]"", ""TLSv1.2""=>""[\""TLS_RSA_EXPORT_WITH_RC4_40_MD5\"", \""TLS_RSA_WITH_RC4_128_MD5\"", \""TLS_RSA_WITH_RC4_128_SHA\"", \""TLS_RSA_EXPORT_WITH_RC2_CBC_40_MD5\"", \""TLS_RSA_WITH_IDEA_CBC_SHA\"", \""TLS_RSA_EXPORT_WITH_DES40_CBC_SHA\"", \""TLS_RSA_WITH_DES_CBC_SHA\"", \""TLS_RSA_WITH_3DES_EDE_CBC_SHA\"", \""TLS_DHE_RSA_EXPORT_WITH_DES40_CBC_SHA\"", \""TLS_DHE_RSA_WITH_DES_CBC_SHA\"", \""TLS_DHE_RSA_WITH_3DES_EDE_CBC_SHA\"", \""TLS_RSA_WITH_AES_128_CBC_SHA\"", \""TLS_DHE_RSA_WITH_AES_128_CBC_SHA\"", \""TLS_RSA_WITH_AES_256_CBC_SHA\"", \""TLS_DHE_RSA_WITH_AES_256_CBC_SHA\"", \""TLS_RSA_WITH_AES_128_CBC_SHA256\"", \""TLS_RSA_WITH_AES_256_CBC_SHA256\"", \""TLS_RSA_WITH_CAMELLIA_128_CBC_SHA\"", \""TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA\"", \""TLS_DHE_RSA_WITH_AES_128_CBC_SHA256\"", \""TLS_DHE_RSA_WITH_AES_256_CBC_SHA256\"", \""TLS_RSA_WITH_CAMELLIA_256_CBC_SHA\"", \""TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA\"", \""TLS_RSA_WITH_SEED_CBC_SHA\"", \""TLS_DHE_RSA_WITH_SEED_CBC_SHA\"", \""TLS_RSA_WITH_AES_128_GCM_SHA256\"", \""TLS_RSA_WITH_AES_256_GCM_SHA384\"", \""TLS_DHE_RSA_WITH_AES_128_GCM_SHA256\"", \""TLS_DHE_RSA_WITH_AES_256_GCM_SHA384\""]""",2020-06-13 10:27:16.883,2020-08-24 11:44:44.926
"23","BK0209384983","",2013-06-14 00:00:00.000,2018-06-13 00:00:00.000,2,"8AA2C8117D19F63DAA822CAF9AF526FC","/CN=BK0209384983/CN=system generated/CN=self-signed","sha1WithRSAEncryption","679878364",False,False,False,False,False,False,False,False,False,"","","","111","23","BK0209384983","4684","39339",2013-06-14 00:00:00.000,2018-06-13 00:00:00.000,"8AA2C8117D19F63DAA822CAF9AF526FC","TLSv1.0, SSLv3","""SSLv3""=>""[\""TLS_RSA_WITH_RC4_128_MD5\"", \""TLS_RSA_WITH_RC4_128_SHA\"", \""TLS_RSA_WITH_3DES_EDE_CBC_SHA\"", \""TLS_DHE_RSA_WITH_3DES_EDE_CBC_SHA\"", \""TLS_RSA_WITH_AES_128_CBC_SHA\"", \""TLS_DHE_RSA_WITH_AES_128_CBC_SHA\"", \""TLS_RSA_WITH_AES_256_CBC_SHA\"", \""TLS_DHE_RSA_WITH_AES_256_CBC_SHA\""]"", ""TLSv1.0""=>""[\""TLS_RSA_WITH_RC4_128_MD5\"", \""TLS_RSA_WITH_RC4_128_SHA\"", \""TLS_RSA_WITH_3DES_EDE_CBC_SHA\"", \""TLS_DHE_RSA_WITH_3DES_EDE_CBC_SHA\"", \""TLS_RSA_WITH_AES_128_CBC_SHA\"", \""TLS_DHE_RSA_WITH_AES_128_CBC_SHA\"", \""TLS_RSA_WITH_AES_256_CBC_SHA\"", \""TLS_DHE_RSA_WITH_AES_256_CBC_SHA\""]""",2020-03-13 20:44:34.893,2020-08-24 11:53:45.090
"48","WIN-G88ANGAC68I.device42.pvt","",2017-02-23 00:00:00.000,2028-08-24 00:00:00.000,2,"797A4BEFCF7E","/C=US/ST=California/L=Palo Alto/O=VMware, Inc/OU=VMware ESX Server Default Certificate/emailAddress=ssl-certificates@vmware.com/CN=WIN-G88ANGAC68I.device42.pvt/unstructuredName=1487859739,564d7761726520496e632e","sha256WithRSAEncryption","3016046543",True,False,True,True,False,False,False,False,False,"SERVERAUTH(1.3.6.1.5.5.7.3.1)
CLIENTAUTH(1.3.6.1.5.5.7.3.2)","","","151","48","WIN-G88ANGAC68I.device42.pvt","1027","39886",2017-02-23 00:00:00.000,2028-08-24 00:00:00.000,"797A4BEFCF7E","TLSv1.1, TLSv1.0, TLSv1.2","""TLSv1.0""=>""[\""TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA\"", \""TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA\"", \""TLS_RSA_WITH_AES_256_CBC_SHA\"", \""TLS_RSA_WITH_AES_128_CBC_SHA\""]"", ""TLSv1.1""=>""[\""TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA\"", \""TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA\"", \""TLS_RSA_WITH_AES_256_CBC_SHA\"", \""TLS_RSA_WITH_AES_128_CBC_SHA\""]"", ""TLSv1.2""=>""[\""TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384\"", \""TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256\"", \""TLS_RSA_WITH_AES_256_GCM_SHA384\"", \""TLS_RSA_WITH_AES_128_GCM_SHA256\"", \""TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384\"", \""TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA\"", \""TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256\"", \""TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA\"", \""TLS_RSA_WITH_AES_256_CBC_SHA256\"", \""TLS_RSA_WITH_AES_256_CBC_SHA\"", \""TLS_RSA_WITH_AES_128_CBC_SHA256\"", \""TLS_RSA_WITH_AES_128_CBC_SHA\""]""",2020-08-20 11:43:45.086,2020-08-24 11:43:45.103
"47","localhost.device42.pvt","",2017-12-14 00:00:00.000,2029-06-14 00:00:00.000,2,"F4AFD22FFD55","/C=US/ST=California/L=Palo Alto/O=VMware, Inc/OU=VMware ESX Server Default Certificate/emailAddress=ssl-certificates@vmware.com/CN=localhost.device42.pvt/unstructuredName=1513242574,564d7761726520496e632e","sha256WithRSAEncryption","325733684",True,False,True,True,False,False,False,False,False,"SERVERAUTH(1.3.6.1.5.5.7.3.1)
CLIENTAUTH(1.3.6.1.5.5.7.3.2)","","","149","47","localhost.device42.pvt","13628","39939",2017-11-01 00:00:00.000,2029-05-02 00:00:00.000,"DD80754DE4D2","TLSv1.1, TLSv1.0, TLSv1.2","""TLSv1.0""=>""[\""TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA\"", \""TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA\"", \""TLS_RSA_WITH_AES_256_CBC_SHA\"", \""TLS_RSA_WITH_AES_128_CBC_SHA\""]"", ""TLSv1.1""=>""[\""TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA\"", \""TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA\"", \""TLS_RSA_WITH_AES_256_CBC_SHA\"", \""TLS_RSA_WITH_AES_128_CBC_SHA\""]"", ""TLSv1.2""=>""[\""TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384\"", \""TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256\"", \""TLS_RSA_WITH_AES_256_GCM_SHA384\"", \""TLS_RSA_WITH_AES_128_GCM_SHA256\"", \""TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384\"", \""TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA\"", \""TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256\"", \""TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA\"", \""TLS_RSA_WITH_AES_256_CBC_SHA256\"", \""TLS_RSA_WITH_AES_256_CBC_SHA\"", \""TLS_RSA_WITH_AES_128_CBC_SHA256\"", \""TLS_RSA_WITH_AES_128_CBC_SHA\""]""",2020-08-20 11:43:45.006,2020-08-24 11:43:45.023
