Service Level,month,device_count,percent_device_count
"Decommissioned",2020-11-01 00:00:00.000,380,9.67
"Decommissioned",2020-12-01 00:00:00.000,380,9.6
"Decommissioned",2021-01-01 00:00:00.000,380,9.5
"Decommissioned",2021-02-01 00:00:00.000,380,9.05
"Decommissioned",2021-03-01 00:00:00.000,380,8.98
"Decommissioned",2021-04-01 00:00:00.000,97,5.34
"Decommissioned",2021-05-01 00:00:00.000,96,5.23
"Decommissioned",2021-06-01 00:00:00.000,32,2.7
"Decommissioned",2021-07-01 00:00:00.000,32,2.75
"Decommissioned",2021-08-01 00:00:00.000,31,2.63
"Decommissioned",2021-09-01 00:00:00.000,31,2.55
"Decommissioned",2021-10-01 00:00:00.000,31,2.6
"Decommissioned",2021-11-01 00:00:00.000,28,5.27
"Development",2020-11-01 00:00:00.000,3,0.08
"Development",2020-12-01 00:00:00.000,3,0.08
"Development",2021-01-01 00:00:00.000,3,0.07
"Development",2021-02-01 00:00:00.000,3,0.07
"Development",2021-03-01 00:00:00.000,3,0.07
"Development",2021-04-01 00:00:00.000,2,0.11
"Development",2021-05-01 00:00:00.000,2,0.11
"Missing",2020-11-01 00:00:00.000,344,8.76
"Missing",2020-12-01 00:00:00.000,345,8.72
"Missing",2021-01-01 00:00:00.000,349,8.72
"Missing",2021-02-01 00:00:00.000,354,8.43
"Missing",2021-03-01 00:00:00.000,356,8.42
"Missing",2021-04-01 00:00:00.000,278,15.32
"Missing",2021-05-01 00:00:00.000,277,15.08
"Missing",2021-06-01 00:00:00.000,23,1.94
"Missing",2021-07-01 00:00:00.000,24,2.06
"Missing",2021-08-01 00:00:00.000,25,2.12
"Missing",2021-09-01 00:00:00.000,26,2.14
"Missing",2021-10-01 00:00:00.000,19,1.59
"Missing",2021-11-01 00:00:00.000,18,3.39
"Production",2020-11-01 00:00:00.000,3184,81.04
"Production",2020-12-01 00:00:00.000,3212,81.15
"Production",2021-01-01 00:00:00.000,3252,81.26
"Production",2021-02-01 00:00:00.000,3444,82.02
"Production",2021-03-01 00:00:00.000,3472,82.08
"Production",2021-04-01 00:00:00.000,1420,78.24
"Production",2021-05-01 00:00:00.000,1445,78.66
"Production",2021-06-01 00:00:00.000,1128,95.19
"Production",2021-07-01 00:00:00.000,1105,95.01
"Production",2021-08-01 00:00:00.000,1120,95.08
"Production",2021-09-01 00:00:00.000,1155,95.14
"Production",2021-10-01 00:00:00.000,1142,95.64
"Production",2021-11-01 00:00:00.000,483,90.96
"Reserved",2020-11-01 00:00:00.000,2,0.05
"Reserved",2020-12-01 00:00:00.000,2,0.05
"Reserved",2021-01-01 00:00:00.000,2,0.05
"Reserved",2021-02-01 00:00:00.000,2,0.05
"Reserved",2021-03-01 00:00:00.000,2,0.05
"Reserved",2021-04-01 00:00:00.000,2,0.11
"Reserved",2021-05-01 00:00:00.000,2,0.11
"Reserved",2021-06-01 00:00:00.000,1,0.08
"Reserved",2021-07-01 00:00:00.000,1,0.09
"Reserved",2021-08-01 00:00:00.000,1,0.08
"Reserved",2021-09-01 00:00:00.000,1,0.08
"Reserved",2021-10-01 00:00:00.000,1,0.08
"Reserved",2021-11-01 00:00:00.000,1,0.19
"Stock",2020-11-01 00:00:00.000,15,0.38
"Stock",2020-12-01 00:00:00.000,15,0.38
"Stock",2021-01-01 00:00:00.000,15,0.37
"Stock",2021-02-01 00:00:00.000,15,0.36
"Stock",2021-03-01 00:00:00.000,15,0.35
"Stock",2021-04-01 00:00:00.000,15,0.83
"Stock",2021-05-01 00:00:00.000,15,0.82
"Stock",2021-06-01 00:00:00.000,1,0.08
"Stock",2021-07-01 00:00:00.000,1,0.09
"Stock",2021-08-01 00:00:00.000,1,0.08
"Stock",2021-09-01 00:00:00.000,1,0.08
"Stock",2021-10-01 00:00:00.000,1,0.08
"Stock",2021-11-01 00:00:00.000,1,0.19
"TBD",2020-11-01 00:00:00.000,1,0.03
"TBD",2020-12-01 00:00:00.000,1,0.03
"TBD",2021-01-01 00:00:00.000,1,0.02
"TBD",2021-02-01 00:00:00.000,1,0.02
"TBD",2021-03-01 00:00:00.000,1,0.02
"Test",2021-03-01 00:00:00.000,1,0.02
"Test",2021-04-01 00:00:00.000,1,0.06
