Product ID,Name,Product Number,Color,Cost,Price,Size,Weight,Category ID,Model ID,Product Model,Start Date,End Date,Description,Product Category,ProductSubCategoryID,Product Subcategory,Index
712,"AWC Logo Cap","CA-1098","Multi",6.9223,8.99,"","",3,2,"Cycling Cap",2016-06-28 00:00:00.000,"","Traditional style with a flip-up brim; one-size fits all.","Clothing","23","Caps","8"
707,"Sport-100 Helmet, Red","HL-U509-R","Red",13.0863,34.99,"","",4,33,"Sport-100",2016-06-28 00:00:00.000,"","Universal fit, well-vented, lightweight , snap-on visor.","Accessories","35","Helmets","3"
708,"Sport-100 Helmet, Black","HL-U509","Black",13.0863,34.99,"","",4,33,"Sport-100",2016-06-28 00:00:00.000,"","Universal fit, well-vented, lightweight , snap-on visor.","Accessories","35","Helmets","4"
711,"Sport-100 Helmet, Blue","HL-U509-B","Blue",13.0863,34.99,"","",4,33,"Sport-100",2016-06-28 00:00:00.000,"","Universal fit, well-vented, lightweight , snap-on visor.","Accessories","35","Helmets","7"
709,"Mountain Bike Socks, M","SO-B909-M","White",3.3963,9.5,"M","",3,18,"Mountain Bike Socks",2016-06-28 00:00:00.000,"6/27/2017","Combination of natural and synthetic fibers stays dry and provides just the right cushioning.","Clothing","27","Socks","5"
710,"Mountain Bike Socks, L","SO-B909-L","White",3.3963,9.5,"L","",3,18,"Mountain Bike Socks",2016-06-28 00:00:00.000,"6/27/2017","Combination of natural and synthetic fibers stays dry and provides just the right cushioning.","Clothing","27","Socks","6"
713,"Long-Sleeve Logo Jersey, S","LJ-0192-S","Multi",38.4923,49.99,"S","",3,11,"Long-Sleeve Logo Jersey",2016-06-28 00:00:00.000,"","Unisex long-sleeve AWC logo microfiber cycling jersey","Clothing","25","Jerseys","9"
714,"Long-Sleeve Logo Jersey, M","LJ-0192-M","Multi",38.4923,49.99,"M","",3,11,"Long-Sleeve Logo Jersey",2016-06-28 00:00:00.000,"","Unisex long-sleeve AWC logo microfiber cycling jersey","Clothing","25","Jerseys","10"
715,"Long-Sleeve Logo Jersey, L","LJ-0192-L","Multi",38.4923,49.99,"L","",3,11,"Long-Sleeve Logo Jersey",2016-06-28 00:00:00.000,"","Unisex long-sleeve AWC logo microfiber cycling jersey","Clothing","25","Jerseys","11"
716,"Long-Sleeve Logo Jersey, XL","LJ-0192-X","Multi",38.4923,49.99,"XL","",3,11,"Long-Sleeve Logo Jersey",2016-06-28 00:00:00.000,"","Unisex long-sleeve AWC logo microfiber cycling jersey","Clothing","25","Jerseys","12"
802,"LL Fork","FK-1639","NULL",65.8097,148.22,"","",2,104,"LL Fork",2017-06-28 00:00:00.000,"6/27/2018","Stout design absorbs shock and offers more precise steering.","Components","14","Forks","98"
803,"ML Fork","FK-5136","NULL",77.9176,175.49,"","",2,105,"ML Fork",2017-06-28 00:00:00.000,"6/27/2018","Composite road fork with an aluminum steerer tube.","Components","14","Forks","99"
804,"HL Fork","FK-9939","NULL",101.8936,229.49,"","",2,106,"HL Fork",2017-06-28 00:00:00.000,"6/27/2018","High-performance carbon road fork with curved legs.","Components","14","Forks","100"
815,"LL Mountain Front Wheel","FW-M423","Black",26.9708,60.745,"","",2,42,"LL Mountain Front Wheel",2017-06-28 00:00:00.000,"6/27/2018","Replacement mountain wheel for entry-level rider.","Components","21","Wheels","111"
816,"ML Mountain Front Wheel","FW-M762","Black",92.8071,209.025,"","",2,45,"ML Mountain Front Wheel",2017-06-28 00:00:00.000,"6/27/2018","Replacement mountain wheel for the casual to serious rider.","Components","21","Wheels","112"
817,"HL Mountain Front Wheel","FW-M928","Black",133.2955,300.215,"","",2,46,"HL Mountain Front Wheel",2017-06-28 00:00:00.000,"6/27/2018","High-performance mountain replacement wheel.","Components","21","Wheels","113"
821,"Touring Front Wheel","FW-T905","Black",96.7964,218.01,"","",2,44,"Touring Front Wheel",2017-06-28 00:00:00.000,"6/27/2018","Aerodynamic rims for smooth riding.","Components","21","Wheels","117"
808,"LL Mountain Handlebars","HB-M243","NULL",19.7758,44.54,"","",2,52,"LL Mountain Handlebars",2017-06-28 00:00:00.000,"","All-purpose bar for on or off-road.","Components","8","Handlebars","104"
809,"ML Mountain Handlebars","HB-M763","NULL",27.4925,61.92,"","",2,54,"ML Mountain Handlebars",2017-06-28 00:00:00.000,"","Tough aluminum alloy bars for downhill.","Components","8","Handlebars","105"
810,"HL Mountain Handlebars","HB-M918","NULL",53.3999,120.27,"","",2,55,"HL Mountain Handlebars",2017-06-28 00:00:00.000,"","Flat bar strong enough for the pro circuit.","Components","8","Handlebars","106"
811,"LL Road Handlebars","HB-R504","NULL",19.7758,44.54,"","",2,56,"LL Road Handlebars",2017-06-28 00:00:00.000,"","Unique shape provides easier reach to the levers.","Components","8","Handlebars","107"
812,"ML Road Handlebars","HB-R720","NULL",27.4925,61.92,"","",2,57,"ML Road Handlebars",2017-06-28 00:00:00.000,"","Anatomically shaped aluminum tube bar will suit all riders.","Components","8","Handlebars","108"
813,"HL Road Handlebars","HB-R956","NULL",53.3999,120.27,"","",2,58,"HL Road Handlebars",2017-06-28 00:00:00.000,"","Designed for racers; high-end anatomically shaped bar from aluminum alloy.","Components","8","Handlebars","109"
805,"LL Headset","HS-0296","NULL",15.1848,34.2,"","",2,59,"LL Headset",2017-06-28 00:00:00.000,"6/27/2018","Threadless headset provides quality at an economical price.","Components","15","Headsets","101"
806,"ML Headset","HS-2451","NULL",45.4168,102.29,"","",2,60,"ML Headset",2017-06-28 00:00:00.000,"6/27/2018","Sealed cartridge keeps dirt out.","Components","15","Headsets","102"
807,"HL Headset","HS-3479","NULL",55.3801,124.73,"","",2,61,"HL Headset",2017-06-28 00:00:00.000,"6/27/2018","High-quality 1"" threadless headset with a grease port for quick lubrication.","Components","15","Headsets","103"
829,"Touring Rear Wheel","RW-T905","Black",108.7844,245.01,"","",2,43,"Touring Rear Wheel",2017-06-28 00:00:00.000,"6/27/2018","Excellent aerodynamic rims guarantee a smooth ride.","Components","21","Wheels","125"
823,"LL Mountain Rear Wheel","RW-M423","Black",38.9588,87.745,"","",2,123,"LL Mountain Rear Wheel",2017-06-28 00:00:00.000,"6/27/2018","Replacement mountain wheel for entry-level rider.","Components","21","Wheels","119"
824,"ML Mountain Rear Wheel","RW-M762","Black",104.7951,236.025,"","",2,124,"ML Mountain Rear Wheel",2017-06-28 00:00:00.000,"6/27/2018","Replacement mountain wheel for the casual to serious rider.","Components","21","Wheels","120"
825,"HL Mountain Rear Wheel","RW-M928","Black",145.2835,327.215,"","",2,125,"HL Mountain Rear Wheel",2017-06-28 00:00:00.000,"6/27/2018","High-performance mountain replacement wheel.","Components","21","Wheels","121"
841,"Men's Sports Shorts, S","SH-M897-S","Black",24.7459,59.99,"S","",3,13,"Men's Sports Shorts",2017-06-28 00:00:00.000,"6/27/2018","Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers.","Clothing","26","Shorts","137"
842,"Touring-Panniers, Large","PA-T100","Grey",51.5625,125,"","",4,120,"Touring-Panniers",2017-06-28 00:00:00.000,"6/27/2018","Durable, water-proof nylon construction with easy access. Large enough for weekend trips.","Accessories","39","Panniers","138"
843,"Cable Lock","LO-C100","NULL",10.3125,25,"","",4,115,"Cable Lock",2017-06-28 00:00:00.000,"6/27/2018","Wraps to fit front and rear tires, carrier and 2 keys included.","Accessories","38","Locks","139"
844,"Minipump","PU-0452","NULL",8.2459,19.99,"","",4,116,"Minipump",2017-06-28 00:00:00.000,"6/27/2018","Designed for convenience. Fits in your pocket. Aluminum barrel. 160psi rated.","Accessories","40","Pumps","140"
845,"Mountain Pump","PU-M044","NULL",10.3084,24.99,"","",4,117,"Mountain Pump",2017-06-28 00:00:00.000,"6/27/2018","Simple and light-weight. Emergency patches stored in handle.","Accessories","40","Pumps","141"
846,"Taillights - Battery-Powered","LT-T990","NULL",5.7709,13.99,"","",4,108,"Taillight",2017-06-28 00:00:00.000,"6/27/2018","Affordable light for safe night riding - uses 3 AAA batteries","Accessories","37","Lights","142"
847,"Headlights - Dual-Beam","LT-H902","NULL",14.4334,34.99,"","",4,109,"Headlights - Dual-Beam",2017-06-28 00:00:00.000,"6/27/2018","Rechargeable dual-beam headlight.","Accessories","37","Lights","143"
848,"Headlights - Weatherproof","LT-H903","NULL",18.5584,44.99,"","",4,110,"Headlights - Weatherproof",2017-06-28 00:00:00.000,"6/27/2018","Rugged weatherproof headlight.","Accessories","37","Lights","144"
849,"Men's Sports Shorts, M","SH-M897-M","Black",24.7459,59.99,"M","",3,13,"Men's Sports Shorts",2017-06-28 00:00:00.000,"6/27/2018","Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers.","Clothing","26","Shorts","145"
850,"Men's Sports Shorts, L","SH-M897-L","Black",24.7459,59.99,"L","",3,13,"Men's Sports Shorts",2017-06-28 00:00:00.000,"6/27/2018","Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers.","Clothing","26","Shorts","146"
851,"Men's Sports Shorts, XL","SH-M897-X","Black",24.7459,59.99,"XL","",3,13,"Men's Sports Shorts",2017-06-28 00:00:00.000,"6/27/2018","Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers.","Clothing","26","Shorts","147"
852,"Women's Tights, S","TG-W091-S","Black",30.9334,74.99,"S","",3,38,"Women's Tights",2017-06-28 00:00:00.000,"6/27/2018","Warm spandex tights for winter riding; seamless chamois construction eliminates pressure points.","Clothing","28","Tights","148"
853,"Women's Tights, M","TG-W091-M","Black",30.9334,74.99,"M","",3,38,"Women's Tights",2017-06-28 00:00:00.000,"6/27/2018","Warm spandex tights for winter riding; seamless chamois construction eliminates pressure points.","Clothing","28","Tights","149"
854,"Women's Tights, L","TG-W091-L","Black",30.9334,74.99,"L","",3,38,"Women's Tights",2017-06-28 00:00:00.000,"6/27/2018","Warm spandex tights for winter riding; seamless chamois construction eliminates pressure points.","Clothing","28","Tights","150"
855,"Men's Bib-Shorts, S","SB-M891-S","Multi",37.1209,89.99,"S","",3,12,"Men's Bib-Shorts",2017-06-28 00:00:00.000,"6/27/2018","Designed for the AWC team with stay-put straps, moisture-control, chamois padding, and leg grippers.","Clothing","22","Bib-Shorts","151"
856,"Men's Bib-Shorts, M","SB-M891-M","Multi",37.1209,89.99,"M","",3,12,"Men's Bib-Shorts",2017-06-28 00:00:00.000,"6/27/2018","Designed for the AWC team with stay-put straps, moisture-control, chamois padding, and leg grippers.","Clothing","22","Bib-Shorts","152"
857,"Men's Bib-Shorts, L","SB-M891-L","Multi",37.1209,89.99,"L","",3,12,"Men's Bib-Shorts",2017-06-28 00:00:00.000,"6/27/2018","Designed for the AWC team with stay-put straps, moisture-control, chamois padding, and leg grippers.","Clothing","22","Bib-Shorts","153"
858,"Half-Finger Gloves, S","GL-H102-S","Black",9.1593,24.49,"S","",3,4,"Half-Finger Gloves",2017-06-28 00:00:00.000,"","Full padding, improved finger flex, durable palm, adjustable closure.","Clothing","24","Gloves","154"
859,"Half-Finger Gloves, M","GL-H102-M","Black",9.1593,24.49,"M","",3,4,"Half-Finger Gloves",2017-06-28 00:00:00.000,"","Full padding, improved finger flex, durable palm, adjustable closure.","Clothing","24","Gloves","155"
860,"Half-Finger Gloves, L","GL-H102-L","Black",9.1593,24.49,"L","",3,4,"Half-Finger Gloves",2017-06-28 00:00:00.000,"","Full padding, improved finger flex, durable palm, adjustable closure.","Clothing","24","Gloves","156"
861,"Full-Finger Gloves, S","GL-F110-S","Black",15.6709,37.99,"S","",3,3,"Full-Finger Gloves",2017-06-28 00:00:00.000,"6/27/2018","Synthetic palm, flexible knuckles, breathable mesh upper. Worn by the AWC team riders.","Clothing","24","Gloves","157"
862,"Full-Finger Gloves, M","GL-F110-M","Black",15.6709,37.99,"M","",3,3,"Full-Finger Gloves",2017-06-28 00:00:00.000,"6/27/2018","Synthetic palm, flexible knuckles, breathable mesh upper. Worn by the AWC team riders.","Clothing","24","Gloves","158"
863,"Full-Finger Gloves, L","GL-F110-L","Black",15.6709,37.99,"L","",3,3,"Full-Finger Gloves",2017-06-28 00:00:00.000,"6/27/2018","Synthetic palm, flexible knuckles, breathable mesh upper. Worn by the AWC team riders.","Clothing","24","Gloves","159"
864,"Classic Vest, S","VE-C304-S","Blue",23.749,63.5,"S","",3,1,"Classic Vest",2018-06-28 00:00:00.000,"","Light-weight, wind-resistant, packs to fit into a pocket.","Clothing","29","Vests","160"
