id_disability_rate,id_time,id_age,id_disability_type,id_area,id_gender,number_disability
265,1,1,193,25,49,0
277,1,1,193,37,49,0
3337,1,1,193,577,49,0
3397,1,1,193,637,49,0
3469,1,1,193,709,49,0
7561,1,1,193,6001,49,0
7597,1,1,193,6037,49,0
7621,1,1,193,6061,49,0
7645,1,1,193,6085,49,0
7669,1,1,193,6109,49,0
7681,1,1,193,6121,49,0
7693,1,1,193,6133,49,0
7717,1,1,193,6157,49,0
7729,1,1,193,6169,49,0
7741,1,1,193,6181,49,0
7765,1,1,193,6205,49,0
7789,1,1,193,6229,49,0
7801,1,1,193,6241,49,0
7813,1,1,193,6253,49,0
7837,1,1,193,6277,49,0
7849,1,1,193,6289,49,0
7861,1,1,193,6301,49,0
11893,1,1,193,9133,49,0
11941,1,1,193,9181,49,0
11965,1,1,193,9205,49,0
11989,1,1,193,9229,49,0
12037,1,1,193,9277,49,0
12085,1,1,193,9325,49,0
12133,1,1,193,9373,49,0
12157,1,1,193,9397,49,0
12205,1,1,193,9445,49,0
12253,1,1,193,9493,49,0
12337,1,1,193,9577,49,0
12397,1,1,193,9637,49,0
12421,1,1,193,9661,49,0
19141,1,1,193,14701,49,0
19189,1,1,193,14749,49,0
19333,1,1,193,14893,49,0
19453,1,1,193,15013,49,0
19525,1,1,193,15085,49,0
19573,1,1,193,15133,49,0
19813,1,1,193,15373,49,0
19933,1,1,193,15493,49,0
19957,1,1,193,15517,49,0
25453,1,1,193,23533,49,0
25573,1,1,193,23653,49,0
25621,1,1,193,23701,49,0
25717,1,1,193,23797,49,0
25741,1,1,193,23821,49,0
25765,1,1,193,23845,49,0
25789,1,1,193,23869,49,0
25813,1,1,193,23893,49,0
27493,1,1,193,27373,49,0
27841,1,1,193,27601,49,0
27853,1,1,193,27613,49,0
27865,1,1,193,27625,49,0
29233,1,1,193,28153,49,0
29257,1,1,193,28177,49,0
29281,1,1,193,28201,49,0
33973,1,1,193,30973,49,0
34069,1,1,193,31069,49,0
34117,1,1,193,31117,49,0
34189,1,1,193,31189,49,0
34213,1,1,193,31213,49,0
34261,1,1,193,31261,49,0
34309,1,1,193,31309,49,0
39181,1,1,193,36901,49,0
39229,1,1,193,36949,49,0
39325,1,1,193,37045,49,0
39349,1,1,193,37069,49,0
39373,1,1,193,37093,49,0
