Support Ticket ID,Customer ID,Date Created,Date Completed,Escalated,Duration
57628,10024341,2018-08-01 00:00:00.000,2018-08-05 00:00:00.000,0,4
104145,10041604,2018-11-12 00:00:00.000,2018-11-18 00:00:00.000,0,6
69841,10029563,2018-08-14 00:00:00.000,2018-08-14 00:00:00.000,0,0
25156,10010756,2018-05-25 00:00:00.000,2018-05-25 00:00:00.000,0,0
121502,10044396,2018-10-02 00:00:00.000,2018-10-08 00:00:00.000,1,6
34213,10014595,2018-05-07 00:00:00.000,2018-05-07 00:00:00.000,0,0
2035,10000874,2018-07-14 00:00:00.000,2018-07-18 00:00:00.000,0,4
97667,10040568,2018-08-29 00:00:00.000,2018-09-07 00:00:00.000,0,9
14795,10006374,2018-11-30 00:00:00.000,2018-12-04 00:00:00.000,0,4
72719,10030812,2018-11-18 00:00:00.000,2018-11-26 00:00:00.000,0,8
1568,10000684,2018-07-30 00:00:00.000,2018-07-31 00:00:00.000,1,1
103417,10041488,2018-09-14 00:00:00.000,2018-09-20 00:00:00.000,1,6
60660,10025658,2018-11-10 00:00:00.000,2018-11-11 00:00:00.000,0,1
73791,10031274,2018-05-22 00:00:00.000,2018-05-23 00:00:00.000,0,1
121625,10044414,2018-09-29 00:00:00.000,2018-10-08 00:00:00.000,1,9
51567,10021823,2018-08-28 00:00:00.000,2018-08-31 00:00:00.000,0,3
98519,10040707,2018-10-31 00:00:00.000,2018-11-09 00:00:00.000,1,9
91260,10038879,2018-10-27 00:00:00.000,2018-10-28 00:00:00.000,0,1
13565,10005868,2018-12-01 00:00:00.000,2018-12-08 00:00:00.000,0,7
23654,10010163,2018-07-30 00:00:00.000,2018-08-08 00:00:00.000,0,9
46471,10019617,2018-08-03 00:00:00.000,2018-08-03 00:00:00.000,0,0
73871,10031311,2018-11-21 00:00:00.000,2018-11-27 00:00:00.000,0,6
8263,10003601,2018-10-28 00:00:00.000,2018-10-31 00:00:00.000,0,3
89404,10038069,2018-07-25 00:00:00.000,2018-07-26 00:00:00.000,0,1
53121,10022458,2018-06-27 00:00:00.000,2018-06-27 00:00:00.000,0,0
27072,10011600,2018-09-23 00:00:00.000,2018-09-26 00:00:00.000,0,3
67702,10028602,2018-08-10 00:00:00.000,2018-08-12 00:00:00.000,0,2
60812,10025717,2018-11-03 00:00:00.000,2018-11-06 00:00:00.000,0,3
60043,10025391,2018-10-28 00:00:00.000,2018-10-31 00:00:00.000,0,3
99184,10040819,2018-11-10 00:00:00.000,2018-11-15 00:00:00.000,0,5
41511,10017629,2018-06-15 00:00:00.000,2018-06-19 00:00:00.000,0,4
32495,10013839,2018-10-08 00:00:00.000,2018-10-10 00:00:00.000,0,2
74600,10031621,2018-10-11 00:00:00.000,2018-10-12 00:00:00.000,0,1
3352,10001476,2018-09-22 00:00:00.000,2018-09-24 00:00:00.000,0,2
120400,10044213,2018-10-21 00:00:00.000,2018-10-26 00:00:00.000,0,5
27530,10011798,2018-11-26 00:00:00.000,2018-11-27 00:00:00.000,0,1
110012,10042542,2018-09-18 00:00:00.000,2018-09-24 00:00:00.000,0,6
20157,10008707,2018-05-30 00:00:00.000,2018-06-02 00:00:00.000,0,3
82354,10034993,2018-10-26 00:00:00.000,2018-10-28 00:00:00.000,0,2
104436,10041650,2018-09-21 00:00:00.000,2018-09-24 00:00:00.000,1,3
109417,10042447,2018-06-03 00:00:00.000,2018-06-09 00:00:00.000,0,6
120232,10044187,2018-09-06 00:00:00.000,2018-09-11 00:00:00.000,0,5
57441,10024270,2018-11-26 00:00:00.000,2018-11-26 00:00:00.000,0,0
49309,10020837,2018-09-17 00:00:00.000,2018-09-21 00:00:00.000,0,4
107889,10042199,2018-05-20 00:00:00.000,2018-05-22 00:00:00.000,0,2
65465,10027680,2018-11-24 00:00:00.000,2018-11-28 00:00:00.000,0,4
70936,10030042,2018-08-23 00:00:00.000,2018-08-24 00:00:00.000,0,1
73313,10031064,2018-10-22 00:00:00.000,2018-10-31 00:00:00.000,0,9
99419,10040852,2018-08-19 00:00:00.000,2018-08-28 00:00:00.000,0,9
26517,10011352,2018-09-06 00:00:00.000,2018-09-10 00:00:00.000,0,4
45702,10019324,2018-11-07 00:00:00.000,2018-11-07 00:00:00.000,0,0
62588,10026441,2018-09-11 00:00:00.000,2018-09-12 00:00:00.000,0,1
8409,10003653,2018-08-14 00:00:00.000,2018-08-15 00:00:00.000,0,1
