EmployeeID,TargetAmount,TargetMonth
191644724,900000,2020-04-01 00:00:00.000
191644724,1000000,2021-05-01 00:00:00.000
982310417,200000,2019-06-01 00:00:00.000
481044938,250000,2020-12-01 00:00:00.000
90836195,300000,2019-10-01 00:00:00.000
502097814,3000000,2021-11-01 00:00:00.000
716374314,200000,2018-09-01 00:00:00.000
841560125,1000000,2017-12-01 00:00:00.000
112432117,3200000,2018-08-01 00:00:00.000
191644724,900000,2019-06-01 00:00:00.000
90836195,500000,2020-12-01 00:00:00.000
134219713,200000,2020-05-01 00:00:00.000
112432117,1750000,2019-04-01 00:00:00.000
954276278,100000,2021-03-01 00:00:00.000
758596752,50000,2019-09-01 00:00:00.000
987554265,400000,2017-11-01 00:00:00.000
987554265,400000,2017-10-01 00:00:00.000
134219713,500000,2021-05-01 00:00:00.000
61161660,850000,2020-05-01 00:00:00.000
61161660,1400000,2019-08-01 00:00:00.000
615389812,500000,2021-10-01 00:00:00.000
134219713,500000,2020-11-01 00:00:00.000
716374314,250000,2020-10-01 00:00:00.000
758596752,250000,2020-09-01 00:00:00.000
139397894,500000,2019-02-01 00:00:00.000
399771412,500000,2018-12-01 00:00:00.000
191644724,750000,2017-12-01 00:00:00.000
90836195,200000,2019-04-01 00:00:00.000
399771412,200000,2019-01-01 00:00:00.000
399771412,500000,2020-08-01 00:00:00.000
668991357,1000000,2021-05-01 00:00:00.000
954276278,300000,2019-08-01 00:00:00.000
90836195,300000,2019-05-01 00:00:00.000
841560125,1000000,2018-11-01 00:00:00.000
234474252,400000,2020-03-01 00:00:00.000
234474252,500000,2018-11-01 00:00:00.000
716374314,250000,2020-09-01 00:00:00.000
191644724,100000,2017-07-01 00:00:00.000
90836195,500000,2020-08-01 00:00:00.000
615389812,200000,2018-11-01 00:00:00.000
90836195,500000,2020-11-01 00:00:00.000
982310417,400000,2018-09-01 00:00:00.000
134219713,250000,2021-01-01 00:00:00.000
615389812,500000,2021-08-01 00:00:00.000
758596752,250000,2020-11-01 00:00:00.000
502097814,200000,2019-06-01 00:00:00.000
61161660,1200000,2019-07-01 00:00:00.000
987554265,350000,2020-02-01 00:00:00.000
191644724,450000,2017-08-01 00:00:00.000
191644724,600000,2019-03-01 00:00:00.000
481044938,250000,2020-11-01 00:00:00.000
502097814,1500000,2017-08-01 00:00:00.000
399771412,400000,2019-06-01 00:00:00.000
112432117,1500000,2020-01-01 00:00:00.000
502097814,3000000,2021-05-01 00:00:00.000
502097814,1000000,2017-09-01 00:00:00.000
399771412,300000,2017-09-01 00:00:00.000
841560125,500000,2020-07-01 00:00:00.000
61161660,1000000,2019-12-01 00:00:00.000
112432117,3500000,2019-12-01 00:00:00.000
61161660,800000,2017-11-01 00:00:00.000
502097814,2500000,2019-08-01 00:00:00.000
234474252,500000,2021-05-01 00:00:00.000
399771412,200000,2017-08-01 00:00:00.000
112432117,2500000,2021-10-01 00:00:00.000
987554265,500000,2021-06-01 00:00:00.000
982310417,1000000,2021-05-01 00:00:00.000
841560125,500000,2019-03-01 00:00:00.000
982310417,500000,2020-12-01 00:00:00.000
841560125,500000,2021-08-01 00:00:00.000
716374314,200000,2020-06-01 00:00:00.000
615389812,50000,2018-04-01 00:00:00.000
481044938,25000,2019-07-01 00:00:00.000
954276278,75000,2021-02-01 00:00:00.000
841560125,500000,2018-06-01 00:00:00.000
841560125,500000,2018-03-01 00:00:00.000
481044938,100000,2019-11-01 00:00:00.000
668991357,750000,2020-06-01 00:00:00.000
134219713,250000,2020-12-01 00:00:00.000
61161660,600000,2017-09-01 00:00:00.000
481044938,200000,2019-12-01 00:00:00.000
61161660,600000,2018-10-01 00:00:00.000
191644724,800000,2018-07-01 00:00:00.000
234474252,500000,2020-07-01 00:00:00.000
399771412,500000,2020-07-01 00:00:00.000
481044938,50000,2020-02-01 00:00:00.000
982310417,100000,2018-10-01 00:00:00.000
399771412,100000,2017-07-01 00:00:00.000
502097814,1500000,2019-02-01 00:00:00.000
987554265,600000,2020-06-01 00:00:00.000
502097814,2000000,2018-05-01 00:00:00.000
716374314,250000,2020-11-01 00:00:00.000
615389812,250000,2020-10-01 00:00:00.000
399771412,250000,2020-01-01 00:00:00.000
954276278,250000,2020-08-01 00:00:00.000
61161660,1250000,2020-06-01 00:00:00.000
841560125,1000000,2021-06-01 00:00:00.000
982310417,1000000,2019-09-01 00:00:00.000
615389812,300000,2019-09-01 00:00:00.000
615389812,200000,2019-02-01 00:00:00.000
