CRP,ID,Year2,Title,Stage,Type2,Contribution 2,Leader,NextUsers,Geographical scope,Country,Region,link,Index2
"CCAFS",299,2018,"Climate Smart Agriculture investment plans","Stage 3: available/ ready for uptake (AV)","Research and Communication Methodologies and Tools","Sole Contribution","CIAT","","Global","","","https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=299&phaseID=56",3
"CCAFS",338,2018,"The CCAFS Regional Agricultural Forecasting Tool (CRAFT) will help bring powerful advance information tools to farmers and agricultural decision makers, better allowing them to manage within-season climate risk to agriculture","Stage 3: available/ ready for uptake (AV)","Research and Communication Methodologies and Tools","Sole Contribution","UF","","Global","","","https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=338&phaseID=56",4
"CCAFS",340,2018,"Measurement, Reporting and Verification (MRV) Platform for Agriculture","Stage 3: available/ ready for uptake (AV)","Research and Communication Methodologies and Tools","Sole Contribution","UVM","","Global","","","https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=340&phaseID=56",5
"Livestock",429,2018,"Climate Smart Agriculture (CSA) monitoring framework to track adoption, outcomes, synergies and tradeoffs at household and farm level","Stage 3: available/ ready for uptake (AV)","Research and Communication Methodologies and Tools","Sole Contribution","CIAT","","Global","","","https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=429&phaseID=56",7
"CCAFS",447,2018,"Gendered Feed Assessment Tool (G-FEAST)","Stage 1: discovery/proof of concept (PC - end of research phase)","Research and Communication Methodologies and Tools","Sole Contribution","ILRI","","Global","","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=447&phaseID=60",8
"A4NH",363,2018,"E-learning course on Mainstreaming Biodiversity for Food and Nutrition (available in English, Portuguese and Turkish)","Stage 3: available/ ready for uptake (AV)","Research and Communication Methodologies and Tools","Lead Contribution","BIOVERSITY","","Global","","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=363&phaseID=59",16
"BigData",703,2018,"Agronomy Field Information Management System (AgroFIMS)","Stage 1: discovery/proof of concept (PC - end of research phase)","Research and Communication Methodologies and Tools","Lead Contribution","CIP","","Global","","","https://marlo.cgiar.org/summaries/BigData/projectInnovationSummary.do?innovationID=703&phaseID=65",23
"Rice",724,2018,"CGIAR Core Metadata Schema version 2","Stage 2: successful piloting (PIL - end of piloting phase)","Research and Communication Methodologies and Tools","Lead Contribution","BIOVERSITY","","Global","","","https://marlo.cgiar.org/summaries/BigData/projectInnovationSummary.do?innovationID=724&phaseID=65",24
"Rice",656,2018,"Rice biomass software for drone image analysis","Stage 2: successful piloting (PIL - end of piloting phase)","Research and Communication Methodologies and Tools","Lead Contribution","CIAT","","Global","","","https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=656&phaseID=189",26
"Livestock",528,2018,"Climate tipping point game for Conference of the Parties (COP) delegates","Stage 2: successful piloting (PIL - end of piloting phase)","Research and Communication Methodologies and Tools","Partial Contribution","Purdue University","","Global","","","https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=528&phaseID=56",35
"Livestock",444,2018,"Updated Tropical Forages Tool (formerly known as SoFT)","Stage 2: successful piloting (PIL - end of piloting phase)","Research and Communication Methodologies and Tools","Partial Contribution","CIAT","","Global","","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=444&phaseID=60",36
"Livestock",450,2018,"Mobile Near Infrared Spectroscopy (NIRS) using improved algorithms","Stage 1: discovery/proof of concept (PC - end of research phase)","Research and Communication Methodologies and Tools","Partial Contribution","ILRI","","Global","","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=450&phaseID=60",39
"Livestock",688,2018,"VegMeasure® computerized vegetation measurement program","Stage 3: available/ ready for uptake (AV)","Research and Communication Methodologies and Tools","Partial Contribution","ICARDA","","Global","","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=688&phaseID=60",46
"Livestock",690,2018,"Molecular markers for barley breeding","Stage 2: successful piloting (PIL - end of piloting phase)","Research and Communication Methodologies and Tools","Partial Contribution","ICARDA","","Global","","","https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=690&phaseID=60",47
"PIM",461,2018,"International Model for Policy Analysis of Agricultural Commodities and Trade (IMPACT) webtool","Stage 2: successful piloting (PIL - end of piloting phase)","Research and Communication Methodologies and Tools","OTHER","IFPRI","","Global","","","https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=461&phaseID=57",61
"A4NH",354,2018,"Agrobiodiversity Index","Stage 1: discovery/proof of concept (PC - end of research phase)","Research and Communication Methodologies and Tools","OTHER","BIOVERSITY","","Global","","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=354&phaseID=59",66
"A4NH",364,2018,"Biodiversity Mainstreaming for Healthy and Sustainable Food Systems - A toolkit","Stage 3: available/ ready for uptake (AV)","Research and Communication Methodologies and Tools","OTHER","BIOVERSITY","","Global","","","https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=364&phaseID=59",68
"BigData",708,2018,"Metadata Quality Checking Tool for Dataverse Repositories","Stage 2: successful piloting (PIL - end of piloting phase)","Research and Communication Methodologies and Tools","OTHER","BIOVERSITY","","Global","","","https://marlo.cgiar.org/summaries/BigData/projectInnovationSummary.do?innovationID=708&phaseID=65",84
"RTB",709,2018,"A data ontology is a machine- and -human readable logic and description of knowledge; the team expanded a general ontology for crop knowledge which can be used to connect CGIAR data with new applications, such as decision support systems.","Stage 3: available/ ready for uptake (AV)","Research and Communication Methodologies and Tools","OTHER","BIOVERSITY","","Global","","","https://marlo.cgiar.org/summaries/BigData/projectInnovationSummary.do?innovationID=709&phaseID=65",85
"RTB",910,2018,"Pestdisplace: platform to integrate and collectively monitor the occurrence and movement of pests and diseases in RTB and other crops","Stage 2: successful piloting (PIL - end of piloting phase)","Research and Communication Methodologies and Tools","OTHER","CIAT","","Global","","","https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=910&phaseID=259",90
"CCAFS",245,2018,"Global community seedbanks platform","Stage 1: discovery/proof of concept (PC - end of research phase)","Research and Communication Methodologies and Tools","Partial Contribution","BIOVERSITY","","Global","","","https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=245&phaseID=56",98
