Date,Year,YearOffset,YearCompleted,QuarterOfYear,Quarter & Year,QuarternYear,QuarterOffset,QuarterCompleted,MonthOfYear,DayOfMonth,Month Name,MonthShortName,Month Initial,Month & Year,MonthnYear,MonthOffset,MonthCompleted,MonthEnding,DateInt,DayOfWeek,DayOfWeekName,Weekday Initial,Day Type,ISO Year,ISO YearOffset,ISO QuarterOfYear,ISO Quarter,ISO Quarter & Year,ISO QuarternYear,ISO QuarterOffset,ISO Weeknumber,Week & Year,WeeknYear,WeekOffset,WeekCompleted,WeekEnding,Fiscal Year,FiscalYearOffset,Fiscal Quarter,FQuarternYear,IsCurrentFQ,Fiscal Period,FPeriodnYear,IsCurrentFP,Fiscal Week,Fiscal Year & Week,FWeeknYear,IsCurrentFW,IsAfterToday,IsWorkingDay,IsHoliday,IsBusinessDay,IsPYTD,IsPFYTD
2014-01-01 00:00:00.000,2014,-7,True,1,"Q1 2014",20140100,-30,True,1,1,"January","Jan","J​","Jan 2014",20140100,-90,True,2014-01-31 00:00:00.000,20140101,3,"Wednesday","W​​​","Weekday",2014,-7,1,"Q1","Q1 2014",20140100,-30,1,"2014-01",20140100,-395,True,2014-01-05 00:00:00.000,"FY14",-8,"FQ3",20140300,False,7,20140700,False,27,"2014-27",20142700,False,False,True,"Unknown",True,False,False
2014-01-02 00:00:00.000,2014,-7,True,1,"Q1 2014",20140100,-30,True,1,2,"January","Jan","J​","Jan 2014",20140100,-90,True,2014-01-31 00:00:00.000,20140102,4,"Thursday","T​​​​","Weekday",2014,-7,1,"Q1","Q1 2014",20140100,-30,1,"2014-01",20140100,-395,True,2014-01-05 00:00:00.000,"FY14",-8,"FQ3",20140300,False,7,20140700,False,27,"2014-27",20142700,False,False,True,"Unknown",True,False,False
2014-01-03 00:00:00.000,2014,-7,True,1,"Q1 2014",20140100,-30,True,1,3,"January","Jan","J​","Jan 2014",20140100,-90,True,2014-01-31 00:00:00.000,20140103,5,"Friday","F​​​​​","Weekday",2014,-7,1,"Q1","Q1 2014",20140100,-30,1,"2014-01",20140100,-395,True,2014-01-05 00:00:00.000,"FY14",-8,"FQ3",20140300,False,7,20140700,False,27,"2014-27",20142700,False,False,True,"Unknown",True,False,False
2014-01-06 00:00:00.000,2014,-7,True,1,"Q1 2014",20140100,-30,True,1,6,"January","Jan","J​","Jan 2014",20140100,-90,True,2014-01-31 00:00:00.000,20140106,1,"Monday","M​","Weekday",2014,-7,1,"Q1","Q1 2014",20140100,-30,2,"2014-02",20140200,-394,True,2014-01-12 00:00:00.000,"FY14",-8,"FQ3",20140300,False,7,20140700,False,28,"2014-28",20142800,False,False,True,"Unknown",True,False,False
2014-01-07 00:00:00.000,2014,-7,True,1,"Q1 2014",20140100,-30,True,1,7,"January","Jan","J​","Jan 2014",20140100,-90,True,2014-01-31 00:00:00.000,20140107,2,"Tuesday","T​​","Weekday",2014,-7,1,"Q1","Q1 2014",20140100,-30,2,"2014-02",20140200,-394,True,2014-01-12 00:00:00.000,"FY14",-8,"FQ3",20140300,False,7,20140700,False,28,"2014-28",20142800,False,False,True,"Unknown",True,False,False
2014-01-08 00:00:00.000,2014,-7,True,1,"Q1 2014",20140100,-30,True,1,8,"January","Jan","J​","Jan 2014",20140100,-90,True,2014-01-31 00:00:00.000,20140108,3,"Wednesday","W​​​","Weekday",2014,-7,1,"Q1","Q1 2014",20140100,-30,2,"2014-02",20140200,-394,True,2014-01-12 00:00:00.000,"FY14",-8,"FQ3",20140300,False,7,20140700,False,28,"2014-28",20142800,False,False,True,"Unknown",True,False,False
2014-01-09 00:00:00.000,2014,-7,True,1,"Q1 2014",20140100,-30,True,1,9,"January","Jan","J​","Jan 2014",20140100,-90,True,2014-01-31 00:00:00.000,20140109,4,"Thursday","T​​​​","Weekday",2014,-7,1,"Q1","Q1 2014",20140100,-30,2,"2014-02",20140200,-394,True,2014-01-12 00:00:00.000,"FY14",-8,"FQ3",20140300,False,7,20140700,False,28,"2014-28",20142800,False,False,True,"Unknown",True,False,False
2014-01-10 00:00:00.000,2014,-7,True,1,"Q1 2014",20140100,-30,True,1,10,"January","Jan","J​","Jan 2014",20140100,-90,True,2014-01-31 00:00:00.000,20140110,5,"Friday","F​​​​​","Weekday",2014,-7,1,"Q1","Q1 2014",20140100,-30,2,"2014-02",20140200,-394,True,2014-01-12 00:00:00.000,"FY14",-8,"FQ3",20140300,False,7,20140700,False,28,"2014-28",20142800,False,False,True,"Unknown",True,False,False
2014-01-13 00:00:00.000,2014,-7,True,1,"Q1 2014",20140100,-30,True,1,13,"January","Jan","J​","Jan 2014",20140100,-90,True,2014-01-31 00:00:00.000,20140113,1,"Monday","M​","Weekday",2014,-7,1,"Q1","Q1 2014",20140100,-30,3,"2014-03",20140300,-393,True,2014-01-19 00:00:00.000,"FY14",-8,"FQ3",20140300,False,7,20140700,False,29,"2014-29",20142900,False,False,True,"Unknown",True,False,False
2014-01-14 00:00:00.000,2014,-7,True,1,"Q1 2014",20140100,-30,True,1,14,"January","Jan","J​","Jan 2014",20140100,-90,True,2014-01-31 00:00:00.000,20140114,2,"Tuesday","T​​","Weekday",2014,-7,1,"Q1","Q1 2014",20140100,-30,3,"2014-03",20140300,-393,True,2014-01-19 00:00:00.000,"FY14",-8,"FQ3",20140300,False,7,20140700,False,29,"2014-29",20142900,False,False,True,"Unknown",True,False,False
2014-01-15 00:00:00.000,2014,-7,True,1,"Q1 2014",20140100,-30,True,1,15,"January","Jan","J​","Jan 2014",20140100,-90,True,2014-01-31 00:00:00.000,20140115,3,"Wednesday","W​​​","Weekday",2014,-7,1,"Q1","Q1 2014",20140100,-30,3,"2014-03",20140300,-393,True,2014-01-19 00:00:00.000,"FY14",-8,"FQ3",20140300,False,7,20140700,False,29,"2014-29",20142900,False,False,True,"Unknown",True,False,False
2014-01-16 00:00:00.000,2014,-7,True,1,"Q1 2014",20140100,-30,True,1,16,"January","Jan","J​","Jan 2014",20140100,-90,True,2014-01-31 00:00:00.000,20140116,4,"Thursday","T​​​​","Weekday",2014,-7,1,"Q1","Q1 2014",20140100,-30,3,"2014-03",20140300,-393,True,2014-01-19 00:00:00.000,"FY14",-8,"FQ3",20140300,False,7,20140700,False,29,"2014-29",20142900,False,False,True,"Unknown",True,False,False
2014-01-17 00:00:00.000,2014,-7,True,1,"Q1 2014",20140100,-30,True,1,17,"January","Jan","J​","Jan 2014",20140100,-90,True,2014-01-31 00:00:00.000,20140117,5,"Friday","F​​​​​","Weekday",2014,-7,1,"Q1","Q1 2014",20140100,-30,3,"2014-03",20140300,-393,True,2014-01-19 00:00:00.000,"FY14",-8,"FQ3",20140300,False,7,20140700,False,29,"2014-29",20142900,False,False,True,"Unknown",True,False,False
