ID,ModelID,Name,DataCategory,Description,IsHidden,TableStorageID,ModifiedTime,StructureModifiedTime,SystemFlags,ShowAsVariationsOnly,IsPrivate,DefaultDetailRowsDefinitionID,AlternateSourcePrecedence,RefreshPolicyID,CalculationGroupID,ExcludeFromModelRefresh,LineageTag,SourceLineageTag
10,1,"DateTableTemplate_9e98ebdf-c5e5-403c-98a2-af5014f41a53","","",True,686,2022-07-08 15:23:29.550,2017-06-10 16:25:07.840,2,False,True,,0,,,False,"46993760-4828-483c-ac3a-85fa2583dc34",""
13,1,"DimDate","","",False,688,2022-07-08 15:23:29.550,2017-06-10 16:25:07.843,0,False,False,,0,,,False,"88a971d5-6a07-489c-b8d9-d77d707d7fba",""
16,1,"LocalDateTable_97dc8daf-e558-4f61-bd5f-5151824b9967","","",True,690,2022-07-08 15:23:29.550,2017-06-10 16:25:07.843,2,True,False,,0,,,False,"56f043ad-b1d2-4c36-8e85-d0f0decf0a09",""
19,1,"Order_Details","","",False,692,2022-07-08 15:23:29.550,2017-06-10 17:18:15.856,0,False,False,,0,,,False,"4b827938-d884-42d6-b392-0a2cf0950998",""
22,1,"Customers","","",True,694,2022-07-08 15:23:29.550,2017-06-10 16:25:07.843,0,False,False,,0,,,False,"4fe6d7c2-6f89-4b6f-9d5b-c206e0072a54",""
25,1,"Categories","","",True,696,2022-07-08 15:23:29.550,2017-06-10 16:25:07.843,0,False,False,,0,,,False,"e0f06d4e-289c-479c-b9c4-63570d866ebb",""
28,1,"Orders","","",False,698,2022-07-08 15:23:29.550,2017-06-10 16:25:07.843,0,False,False,,0,,,False,"81b4665f-3328-4d31-bf69-2bddc3ef1d4d",""
31,1,"LocalDateTable_8d07a91f-dfe6-4481-8ea8-de37dae22626","","",True,700,2022-07-08 15:23:29.550,2017-06-10 16:25:07.843,2,True,False,,0,,,False,"6e2d18ba-7a7e-4221-b60a-cfd4f10248d6",""
34,1,"LocalDateTable_37ddf677-da28-459a-bb98-f68876b3e675","","",True,702,2022-07-08 15:23:29.550,2017-06-10 16:25:07.843,2,True,False,,0,,,False,"f2da00b9-c4db-40db-a0ca-185110b58981",""
37,1,"Products","","",False,704,2022-07-08 15:23:29.550,2017-06-10 16:25:07.843,0,False,False,,0,,,False,"a129a456-5c4a-44d0-be32-8a8ccfc6215e",""
40,1,"cabrales","","",True,706,2022-07-08 15:23:29.550,2017-06-10 16:25:07.843,2,False,False,,0,,,False,"f06db6ed-8b4f-4678-8326-f00d85963072",""
43,1,"CT1_Currency","","",False,708,2022-07-08 15:23:29.550,2017-06-10 16:25:07.843,0,False,False,,0,,,False,"a3a1aa80-d605-46f4-b7a3-981797882f39",""
46,1,"List of circulating currencies by state and/or territory[edit]","","",False,710,2022-07-08 15:23:29.550,2017-07-09 14:14:56.270,0,False,False,,0,,,False,"fb75e9b6-55c2-4ed9-8ab3-2b86db9617a4",""
4994,1,"CadXchangeRAW","","",True,5002,2022-07-08 15:23:29.550,2017-06-10 17:14:18.210,0,False,False,,0,,,False,"8fb3bfd0-4d6b-4df4-ace3-d4a5b34deb2c",""
5252,1,"CadXchangeIDs","","",True,5289,2022-07-08 15:23:29.550,2017-06-10 17:14:18.413,0,False,False,,0,,,False,"2b002401-698c-4477-b8fc-5242d699ccec",""
5314,1,"CT2_LiveCurrency","","",False,5326,2022-07-08 15:23:29.550,2017-06-10 17:16:51.960,0,False,False,,0,,,False,"2e3abb4e-6e93-42c7-a08b-28ff05bbfe82",""
9179,1,"Curb_Currency","","",False,9192,2022-07-08 15:23:29.550,2017-07-09 00:20:39.820,0,False,False,,0,,,False,"4840fc7d-f6bc-4388-8052-9d8fd6503757",""
13320,1,"CT2_LiveCurrencyDates","","",False,13329,2022-07-08 15:23:29.550,2017-07-09 14:44:30.186,0,False,False,,0,,,False,"5c063e1e-e707-4a34-bcbc-f5c7688e94c7",""
