Date,Building,Consumption Type,Unit,Year,Key
2019-07-01 00:00:00.000,B1006,Water,466380,2019,2019Water
2018-07-01 00:00:00.000,B1002,Water,288098,2018,2018Water
2018-11-01 00:00:00.000,B1004,Gas,6048,2018,2018Gas
2018-11-01 00:00:00.000,B1006,Water,292224,2018,2018Water
2016-10-01 00:00:00.000,B1000,Water,334502,2016,2016Water
2019-08-01 00:00:00.000,B1003,Gas,5122,2019,2019Gas
2016-06-01 00:00:00.000,B1006,Gas,3201,2016,2016Gas
2016-10-01 00:00:00.000,B1006,Electricity,47578,2016,2016Electricity
2016-02-01 00:00:00.000,B1003,Electricity,30638,2016,2016Electricity
2018-04-01 00:00:00.000,B1006,Water,505586,2018,2018Water
2018-11-01 00:00:00.000,B1007,Water,240399,2018,2018Water
2019-05-01 00:00:00.000,B1005,Gas,6909,2019,2019Gas
2017-04-01 00:00:00.000,B1003,Water,483156,2017,2017Water
2019-06-01 00:00:00.000,B1000,Electricity,38618,2019,2019Electricity
2016-10-01 00:00:00.000,B1004,Electricity,42244,2016,2016Electricity
2018-09-01 00:00:00.000,B1002,Water,343770,2018,2018Water
2018-12-01 00:00:00.000,B1009,Water,289432,2018,2018Water
2017-03-01 00:00:00.000,B1002,Gas,4903,2017,2017Gas
2016-03-01 00:00:00.000,B1007,Water,461819,2016,2016Water
2016-03-01 00:00:00.000,B1008,Water,239402,2016,2016Water
2019-10-01 00:00:00.000,B1002,Gas,6194,2019,2019Gas
2017-02-01 00:00:00.000,B1003,Electricity,48384,2017,2017Electricity
2019-01-01 00:00:00.000,B1004,Electricity,33900,2019,2019Electricity
2018-12-01 00:00:00.000,B1005,Electricity,35956,2018,2018Electricity
2018-10-01 00:00:00.000,B1004,Water,213170,2018,2018Water
2018-09-01 00:00:00.000,B1006,Gas,5682,2018,2018Gas
2016-08-01 00:00:00.000,B1004,Electricity,39069,2016,2016Electricity
2019-07-01 00:00:00.000,B1002,Electricity,50731,2019,2019Electricity
2018-08-01 00:00:00.000,B1001,Water,287796,2018,2018Water
2018-06-01 00:00:00.000,B1003,Gas,4664,2018,2018Gas
2016-08-01 00:00:00.000,B1009,Gas,3167,2016,2016Gas
2017-10-01 00:00:00.000,B1001,Electricity,50511,2017,2017Electricity
2017-11-01 00:00:00.000,B1003,Gas,3830,2017,2017Gas
2018-09-01 00:00:00.000,B1000,Water,337972,2018,2018Water
2017-01-01 00:00:00.000,B1001,Electricity,38831,2017,2017Electricity
2018-05-01 00:00:00.000,B1006,Electricity,32336,2018,2018Electricity
2019-04-01 00:00:00.000,B1010,Water,459811,2019,2019Water
2017-12-01 00:00:00.000,B1006,Gas,3663,2017,2017Gas
2016-04-01 00:00:00.000,B1001,Electricity,50193,2016,2016Electricity
2016-03-01 00:00:00.000,B1001,Water,363959,2016,2016Water
2018-12-01 00:00:00.000,B1004,Electricity,39682,2018,2018Electricity
2016-03-01 00:00:00.000,B1010,Water,471206,2016,2016Water
2018-01-01 00:00:00.000,B1002,Gas,4910,2018,2018Gas
2018-04-01 00:00:00.000,B1003,Water,364306,2018,2018Water
2018-11-01 00:00:00.000,B1003,Gas,3972,2018,2018Gas
2017-11-01 00:00:00.000,B1002,Gas,4452,2017,2017Gas
2019-10-01 00:00:00.000,B1007,Electricity,40681,2019,2019Electricity
