Date,Year,QuarterOfYear,MonthOfYear,DayOfMonth,DateInt,MonthName,MonthInCalendar,QuarterInCalendar,DayInWeek,DayOfWeekName,WeekEnding,Week Number,MonthnYear,QuarternYear,ShortYear,FY
2020-07-01 00:00:00.000,"2020",3,7,1,20200701,"July","Jul 2020","Q3 2020",2,"Wednesday",2020-07-05 00:00:00.000,27,20200700,20200300,"20","FY21"
2020-07-02 00:00:00.000,"2020",3,7,2,20200702,"July","Jul 2020","Q3 2020",3,"Thursday",2020-07-05 00:00:00.000,27,20200700,20200300,"20","FY21"
2020-07-03 00:00:00.000,"2020",3,7,3,20200703,"July","Jul 2020","Q3 2020",4,"Friday",2020-07-05 00:00:00.000,27,20200700,20200300,"20","FY21"
2020-07-04 00:00:00.000,"2020",3,7,4,20200704,"July","Jul 2020","Q3 2020",5,"Saturday",2020-07-05 00:00:00.000,27,20200700,20200300,"20","FY21"
2020-07-05 00:00:00.000,"2020",3,7,5,20200705,"July","Jul 2020","Q3 2020",6,"Sunday",2020-07-05 00:00:00.000,27,20200700,20200300,"20","FY21"
2020-07-06 00:00:00.000,"2020",3,7,6,20200706,"July","Jul 2020","Q3 2020",0,"Monday",2020-07-12 00:00:00.000,28,20200700,20200300,"20","FY21"
2020-07-07 00:00:00.000,"2020",3,7,7,20200707,"July","Jul 2020","Q3 2020",1,"Tuesday",2020-07-12 00:00:00.000,28,20200700,20200300,"20","FY21"
2020-07-08 00:00:00.000,"2020",3,7,8,20200708,"July","Jul 2020","Q3 2020",2,"Wednesday",2020-07-12 00:00:00.000,28,20200700,20200300,"20","FY21"
2020-07-09 00:00:00.000,"2020",3,7,9,20200709,"July","Jul 2020","Q3 2020",3,"Thursday",2020-07-12 00:00:00.000,28,20200700,20200300,"20","FY21"
2020-07-10 00:00:00.000,"2020",3,7,10,20200710,"July","Jul 2020","Q3 2020",4,"Friday",2020-07-12 00:00:00.000,28,20200700,20200300,"20","FY21"
2020-07-11 00:00:00.000,"2020",3,7,11,20200711,"July","Jul 2020","Q3 2020",5,"Saturday",2020-07-12 00:00:00.000,28,20200700,20200300,"20","FY21"
2020-07-12 00:00:00.000,"2020",3,7,12,20200712,"July","Jul 2020","Q3 2020",6,"Sunday",2020-07-12 00:00:00.000,28,20200700,20200300,"20","FY21"
2020-07-13 00:00:00.000,"2020",3,7,13,20200713,"July","Jul 2020","Q3 2020",0,"Monday",2020-07-19 00:00:00.000,29,20200700,20200300,"20","FY21"
2020-07-14 00:00:00.000,"2020",3,7,14,20200714,"July","Jul 2020","Q3 2020",1,"Tuesday",2020-07-19 00:00:00.000,29,20200700,20200300,"20","FY21"
2020-07-15 00:00:00.000,"2020",3,7,15,20200715,"July","Jul 2020","Q3 2020",2,"Wednesday",2020-07-19 00:00:00.000,29,20200700,20200300,"20","FY21"
2020-07-16 00:00:00.000,"2020",3,7,16,20200716,"July","Jul 2020","Q3 2020",3,"Thursday",2020-07-19 00:00:00.000,29,20200700,20200300,"20","FY21"
2020-07-17 00:00:00.000,"2020",3,7,17,20200717,"July","Jul 2020","Q3 2020",4,"Friday",2020-07-19 00:00:00.000,29,20200700,20200300,"20","FY21"
2020-07-18 00:00:00.000,"2020",3,7,18,20200718,"July","Jul 2020","Q3 2020",5,"Saturday",2020-07-19 00:00:00.000,29,20200700,20200300,"20","FY21"
2020-07-19 00:00:00.000,"2020",3,7,19,20200719,"July","Jul 2020","Q3 2020",6,"Sunday",2020-07-19 00:00:00.000,29,20200700,20200300,"20","FY21"
2020-07-20 00:00:00.000,"2020",3,7,20,20200720,"July","Jul 2020","Q3 2020",0,"Monday",2020-07-26 00:00:00.000,30,20200700,20200300,"20","FY21"
2020-07-21 00:00:00.000,"2020",3,7,21,20200721,"July","Jul 2020","Q3 2020",1,"Tuesday",2020-07-26 00:00:00.000,30,20200700,20200300,"20","FY21"
2020-07-22 00:00:00.000,"2020",3,7,22,20200722,"July","Jul 2020","Q3 2020",2,"Wednesday",2020-07-26 00:00:00.000,30,20200700,20200300,"20","FY21"
2020-07-23 00:00:00.000,"2020",3,7,23,20200723,"July","Jul 2020","Q3 2020",3,"Thursday",2020-07-26 00:00:00.000,30,20200700,20200300,"20","FY21"
2020-07-24 00:00:00.000,"2020",3,7,24,20200724,"July","Jul 2020","Q3 2020",4,"Friday",2020-07-26 00:00:00.000,30,20200700,20200300,"20","FY21"
2020-07-25 00:00:00.000,"2020",3,7,25,20200725,"July","Jul 2020","Q3 2020",5,"Saturday",2020-07-26 00:00:00.000,30,20200700,20200300,"20","FY21"
2020-07-26 00:00:00.000,"2020",3,7,26,20200726,"July","Jul 2020","Q3 2020",6,"Sunday",2020-07-26 00:00:00.000,30,20200700,20200300,"20","FY21"
2020-07-27 00:00:00.000,"2020",3,7,27,20200727,"July","Jul 2020","Q3 2020",0,"Monday",2020-08-02 00:00:00.000,31,20200700,20200300,"20","FY21"
2020-07-28 00:00:00.000,"2020",3,7,28,20200728,"July","Jul 2020","Q3 2020",1,"Tuesday",2020-08-02 00:00:00.000,31,20200700,20200300,"20","FY21"
2020-07-29 00:00:00.000,"2020",3,7,29,20200729,"July","Jul 2020","Q3 2020",2,"Wednesday",2020-08-02 00:00:00.000,31,20200700,20200300,"20","FY21"
2020-07-30 00:00:00.000,"2020",3,7,30,20200730,"July","Jul 2020","Q3 2020",3,"Thursday",2020-08-02 00:00:00.000,31,20200700,20200300,"20","FY21"
2020-07-31 00:00:00.000,"2020",3,7,31,20200731,"July","Jul 2020","Q3 2020",4,"Friday",2020-08-02 00:00:00.000,31,20200700,20200300,"20","FY21"
2020-08-01 00:00:00.000,"2020",3,8,1,20200801,"August","Aug 2020","Q3 2020",5,"Saturday",2020-08-02 00:00:00.000,31,20200800,20200300,"20","FY21"
2020-08-02 00:00:00.000,"2020",3,8,2,20200802,"August","Aug 2020","Q3 2020",6,"Sunday",2020-08-02 00:00:00.000,31,20200800,20200300,"20","FY21"
2020-08-03 00:00:00.000,"2020",3,8,3,20200803,"August","Aug 2020","Q3 2020",0,"Monday",2020-08-09 00:00:00.000,32,20200800,20200300,"20","FY21"
2020-08-04 00:00:00.000,"2020",3,8,4,20200804,"August","Aug 2020","Q3 2020",1,"Tuesday",2020-08-09 00:00:00.000,32,20200800,20200300,"20","FY21"
2020-08-05 00:00:00.000,"2020",3,8,5,20200805,"August","Aug 2020","Q3 2020",2,"Wednesday",2020-08-09 00:00:00.000,32,20200800,20200300,"20","FY21"
2020-08-06 00:00:00.000,"2020",3,8,6,20200806,"August","Aug 2020","Q3 2020",3,"Thursday",2020-08-09 00:00:00.000,32,20200800,20200300,"20","FY21"
2020-08-07 00:00:00.000,"2020",3,8,7,20200807,"August","Aug 2020","Q3 2020",4,"Friday",2020-08-09 00:00:00.000,32,20200800,20200300,"20","FY21"
2020-08-08 00:00:00.000,"2020",3,8,8,20200808,"August","Aug 2020","Q3 2020",5,"Saturday",2020-08-09 00:00:00.000,32,20200800,20200300,"20","FY21"
2020-08-09 00:00:00.000,"2020",3,8,9,20200809,"August","Aug 2020","Q3 2020",6,"Sunday",2020-08-09 00:00:00.000,32,20200800,20200300,"20","FY21"
2020-08-10 00:00:00.000,"2020",3,8,10,20200810,"August","Aug 2020","Q3 2020",0,"Monday",2020-08-16 00:00:00.000,33,20200800,20200300,"20","FY21"
2020-08-11 00:00:00.000,"2020",3,8,11,20200811,"August","Aug 2020","Q3 2020",1,"Tuesday",2020-08-16 00:00:00.000,33,20200800,20200300,"20","FY21"
2020-08-12 00:00:00.000,"2020",3,8,12,20200812,"August","Aug 2020","Q3 2020",2,"Wednesday",2020-08-16 00:00:00.000,33,20200800,20200300,"20","FY21"
2020-08-13 00:00:00.000,"2020",3,8,13,20200813,"August","Aug 2020","Q3 2020",3,"Thursday",2020-08-16 00:00:00.000,33,20200800,20200300,"20","FY21"
2020-08-14 00:00:00.000,"2020",3,8,14,20200814,"August","Aug 2020","Q3 2020",4,"Friday",2020-08-16 00:00:00.000,33,20200800,20200300,"20","FY21"
2020-08-15 00:00:00.000,"2020",3,8,15,20200815,"August","Aug 2020","Q3 2020",5,"Saturday",2020-08-16 00:00:00.000,33,20200800,20200300,"20","FY21"
2020-08-16 00:00:00.000,"2020",3,8,16,20200816,"August","Aug 2020","Q3 2020",6,"Sunday",2020-08-16 00:00:00.000,33,20200800,20200300,"20","FY21"
2020-08-17 00:00:00.000,"2020",3,8,17,20200817,"August","Aug 2020","Q3 2020",0,"Monday",2020-08-23 00:00:00.000,34,20200800,20200300,"20","FY21"
2020-08-18 00:00:00.000,"2020",3,8,18,20200818,"August","Aug 2020","Q3 2020",1,"Tuesday",2020-08-23 00:00:00.000,34,20200800,20200300,"20","FY21"
2020-08-19 00:00:00.000,"2020",3,8,19,20200819,"August","Aug 2020","Q3 2020",2,"Wednesday",2020-08-23 00:00:00.000,34,20200800,20200300,"20","FY21"
2020-08-20 00:00:00.000,"2020",3,8,20,20200820,"August","Aug 2020","Q3 2020",3,"Thursday",2020-08-23 00:00:00.000,34,20200800,20200300,"20","FY21"
2020-08-21 00:00:00.000,"2020",3,8,21,20200821,"August","Aug 2020","Q3 2020",4,"Friday",2020-08-23 00:00:00.000,34,20200800,20200300,"20","FY21"
2020-08-22 00:00:00.000,"2020",3,8,22,20200822,"August","Aug 2020","Q3 2020",5,"Saturday",2020-08-23 00:00:00.000,34,20200800,20200300,"20","FY21"
2020-08-23 00:00:00.000,"2020",3,8,23,20200823,"August","Aug 2020","Q3 2020",6,"Sunday",2020-08-23 00:00:00.000,34,20200800,20200300,"20","FY21"
2020-08-24 00:00:00.000,"2020",3,8,24,20200824,"August","Aug 2020","Q3 2020",0,"Monday",2020-08-30 00:00:00.000,35,20200800,20200300,"20","FY21"
2020-08-25 00:00:00.000,"2020",3,8,25,20200825,"August","Aug 2020","Q3 2020",1,"Tuesday",2020-08-30 00:00:00.000,35,20200800,20200300,"20","FY21"
2020-08-26 00:00:00.000,"2020",3,8,26,20200826,"August","Aug 2020","Q3 2020",2,"Wednesday",2020-08-30 00:00:00.000,35,20200800,20200300,"20","FY21"
2020-08-27 00:00:00.000,"2020",3,8,27,20200827,"August","Aug 2020","Q3 2020",3,"Thursday",2020-08-30 00:00:00.000,35,20200800,20200300,"20","FY21"
2020-08-28 00:00:00.000,"2020",3,8,28,20200828,"August","Aug 2020","Q3 2020",4,"Friday",2020-08-30 00:00:00.000,35,20200800,20200300,"20","FY21"
2020-08-29 00:00:00.000,"2020",3,8,29,20200829,"August","Aug 2020","Q3 2020",5,"Saturday",2020-08-30 00:00:00.000,35,20200800,20200300,"20","FY21"
2020-08-30 00:00:00.000,"2020",3,8,30,20200830,"August","Aug 2020","Q3 2020",6,"Sunday",2020-08-30 00:00:00.000,35,20200800,20200300,"20","FY21"
