id,season,date,match_api_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,Result
5408,2009/2010,2010-04-10 00:00:00.000,654548,9847,9827,3,1,Winn
717,2010/2011,2010-08-28 00:00:00.000,838517,8635,10000,0,0,Draw
7827,2008/2009,2008-11-01 00:00:00.000,499407,9823,9912,3,1,Winn
1258,2014/2015,2014-10-05 00:00:00.000,1717890,8635,9987,0,0,Draw
6774,2013/2014,2013-12-22 00:00:00.000,1468314,9847,8639,2,2,Draw
19826,2008/2009,2008-08-23 00:00:00.000,489993,9925,8596,3,0,Winn
9024,2011/2012,2011-10-15 00:00:00.000,1029932,9823,8177,4,0,Winn
20919,2013/2014,2014-01-29 00:00:00.000,1474385,9925,8597,4,0,Winn
19772,2008/2009,2009-01-03 00:00:00.000,490101,9925,9938,2,2,Draw
5946,2011/2012,2011-10-29 00:00:00.000,1019558,9847,7819,4,2,Winn
336,2009/2010,2009-10-31 00:00:00.000,665536,8635,9994,2,0,Winn
7365,2014/2015,2015-05-23 00:00:00.000,1710073,9847,9837,3,2,Winn
20198,2010/2011,2010-12-21 00:00:00.000,840325,9925,8597,1,1,Draw
20320,2010/2011,2011-05-01 00:00:00.000,1005021,9925,9938,4,1,Winn
21482,2015/2016,2015-08-15 00:00:00.000,1990861,9925,8066,4,2,Winn
7766,2015/2016,2015-09-11 00:00:00.000,1989825,9847,9827,2,2,Draw
7676,2015/2016,2016-03-20 00:00:00.000,1990037,9847,9829,0,2,Loss
20276,2010/2011,2011-03-05 00:00:00.000,840397,9925,8429,2,0,Winn
1495,2015/2016,2015-07-26 00:00:00.000,1979838,8635,8475,3,2,Winn
5835,2010/2011,2011-05-21 00:00:00.000,830534,9847,8639,2,2,Draw
510,2009/2010,2009-09-27 00:00:00.000,665396,8635,9993,1,0,Winn
8484,2010/2011,2010-12-11 00:00:00.000,857045,9823,8152,3,0,Winn
8088,2008/2009,2008-10-04 00:00:00.000,499371,9823,9911,3,3,Draw
8989,2011/2012,2011-09-10 00:00:00.000,1029835,9823,8358,7,0,Winn
4856,2008/2009,2008-12-07 00:00:00.000,483296,9847,8682,3,1,Winn
