Quarter of Order Date,Profit,Sales,Year,Quarter
"2016 Q1",9264.9416,68851.7386,2016,"Q1"
"2016 Q1",9264.9416,68851.7386,2016,"Q1"
"2015 Q1",3811.229,74447.796,2015,"Q1"
"2015 Q1",3811.229,74447.796,2015,"Q1"
"2015 Q2",11204.0692,86538.7596,2015,"Q2"
"2015 Q2",11204.0692,86538.7596,2015,"Q2"
"2016 Q2",12190.9224,89124.187,2016,"Q2"
"2016 Q2",12190.9224,89124.187,2016,"Q2"
"2017 Q1",11441.3708,93237.181,2017,"Q1"
"2017 Q1",11441.3708,93237.181,2017,"Q1"
"2016 Q3",16853.6194,130259.5752,2016,"Q3"
"2016 Q3",16853.6194,130259.5752,2016,"Q3"
"2017 Q2",16390.3394,136082.301,2017,"Q2"
"2017 Q2",16390.3394,136082.301,2017,"Q2"
"2015 Q3",12804.7218,143633.2123,2015,"Q3"
"2015 Q3",12804.7218,143633.2123,2015,"Q3"
"2017 Q3",15823.6048,143787.3622,2017,"Q3"
"2017 Q3",15823.6048,143787.3622,2017,"Q3"
"2015 Q4",21723.9541,179627.7302,2015,"Q4"
"2015 Q4",21723.9541,179627.7302,2015,"Q4"
"2016 Q4",23309.1203,182297.0082,2016,"Q4"
"2016 Q4",23309.1203,182297.0082,2016,"Q4"
"2017 Q4",38139.8593,236098.7538,2017,"Q4"
"2017 Q4",38139.8593,236098.7538,2017,"Q4"
