Gender,Year,Population
Female,2006,4829202
Male,1967,-1676889
Female,1969,1853934
Female,1981,2700588
Male,1960,-1439606
Male,2001,-3991642
Female,2005,4711322
Male,2012,-5170359
Female,2014,5914059
Female,1976,2289493
Female,1994,3104306
Female,1977,2364535
Female,1997,3389771
Female,1954,1246508
Male,1982,-2698769
Male,1985,-3010942
Female,1986,3255057
Male,1965,-1585561
Female,1990,3695132
Female,2012,5646991
Female,1968,1796567
Female,1960,1493818
Female,1992,3440105
Female,1961,1525944
Male,1992,-3272819
Female,2015,6050100
Male,2011,-5042920
Male,1979,-2442163
Male,1980,-2527498
Female,1950,1111768
Female,1962,1553977
Male,2010,-4914945
Male,1954,-1202306
Female,1974,2151322
Male,1964,-1550672
Male,1998,-3377938
Female,2001,4337471
Female,1965,1647376
Male,1962,-1496619
Male,1952,-1136295
Female,1972,2027945
Female,1995,3073592
Male,1950,-1074419
Male,1973,-2014167
Female,1980,2613288
Male,2006,-4401839
Male,1969,-1786657
Female,1959,1456651
Female,1983,2880022
Male,1951,-1105835
Female,1975,2218357
Male,1984,-2892216
Female,1978,2443538
Male,1978,-2360837
Male,1977,-2283535
Female,2003,4534532
Female,1955,1285730
Male,1953,-1167993
Male,2003,-4151937
Female,1989,3678608
Female,1999,3947112
Female,1985,3107024
Female,1966,1691137
Male,1961,-1470147
Female,1984,2985340
Male,2007,-4521322
Female,1957,1371574
Female,1993,3245065
Male,1957,-1322245
Male,1989,-3560489
Male,1995,-2839163
Female,1958,1415266
Female,1963,1580928
Male,2014,-5427485
Female,1953,1210449
Female,1967,1741424
Female,1988,3578751
Male,1956,-1280149
Male,2008,-4651197
Female,1956,1327796
Male,1968,-1730693
Male,1997,-3116347
Male,1988,-3469324
Female,2004,4614190
Female,2000,4174550
Male,1993,-3055293
Female,1996,3176147
Male,1981,-2613320
Female,2011,5513509
Male,2013,-5298071
Male,1963,-1522040
Male,1999,-3638031
Male,1975,-2140809
Female,1991,3609239
Female,2008,5099117
Male,1974,-2075514
Female,1998,3669258
Male,1972,-1955762
Male,1996,-2921541
Female,2007,4959761
