Dest,Dest City Name,Dest State Abr,Origin,Origin City Name,Origin State Abr,Route,Passengers
"AFW","Dallas/Fort Worth, TX","TX","LBB","Lubbock, TX","TX","LBB-AFW",0
"MAF","Midland/Odessa, TX","TX","LBB","Lubbock, TX","TX","LBB-MAF",0
"LBB","Lubbock, TX","TX","MAF","Midland/Odessa, TX","TX","MAF-LBB",0
"AUS","Austin, TX","TX","ACT","Waco, TX","TX","ACT-AUS",0
"ACT","Waco, TX","TX","AUS","Austin, TX","TX","AUS-ACT",0
"CLL","College Station/Bryan, TX","TX","AUS","Austin, TX","TX","AUS-CLL",0
"LBB","Lubbock, TX","TX","CLL","College Station/Bryan, TX","TX","CLL-LBB",0
"LRD","Laredo, TX","TX","HRL","Harlingen/San Benito, TX","TX","HRL-LRD",0
"HRL","Harlingen/San Benito, TX","TX","LRD","Laredo, TX","TX","LRD-HRL",0
"LRD","Laredo, TX","TX","LRD","Laredo, TX","TX","LRD-LRD",0
"DRT","Del Rio, TX","TX","LRD","Laredo, TX","TX","LRD-DRT",0
"JZT","Arlington, TX","TX","LRD","Laredo, TX","TX","LRD-JZT",0
"ADS","Dallas, TX","TX","MFE","Mission/McAllen/Edinburg, TX","TX","MFE-ADS",0
"LBB","Lubbock, TX","TX","ABI","Abilene, TX","TX","ABI-LBB",0
"AFW","Dallas/Fort Worth, TX","TX","AUS","Austin, TX","TX","AUS-AFW",0
"BWD","Brownwood, TX","TX","AUS","Austin, TX","TX","AUS-BWD",0
"SJT","San Angelo, TX","TX","AUS","Austin, TX","TX","AUS-SJT",0
"IAH","Houston, TX","TX","CLL","College Station/Bryan, TX","TX","CLL-IAH",0
"SAT","San Antonio, TX","TX","DRT","Del Rio, TX","TX","DRT-SAT",0
"AFW","Dallas/Fort Worth, TX","TX","HRL","Harlingen/San Benito, TX","TX","HRL-AFW",0
"LRD","Laredo, TX","TX","HRL","Harlingen/San Benito, TX","TX","HRL-LRD",0
"AFW","Dallas/Fort Worth, TX","TX","IAH","Houston, TX","TX","IAH-AFW",0
"CLL","College Station/Bryan, TX","TX","IAH","Houston, TX","TX","IAH-CLL",0
"ABI","Abilene, TX","TX","LBB","Lubbock, TX","TX","LBB-ABI",0
"AFW","Dallas/Fort Worth, TX","TX","LBB","Lubbock, TX","TX","LBB-AFW",0
"ELP","El Paso, TX","TX","LBB","Lubbock, TX","TX","LBB-ELP",0
"MAF","Midland/Odessa, TX","TX","LBB","Lubbock, TX","TX","LBB-MAF",0
"HRL","Harlingen/San Benito, TX","TX","LRD","Laredo, TX","TX","LRD-HRL",0
"SAT","San Antonio, TX","TX","LRD","Laredo, TX","TX","LRD-SAT",0
"LBB","Lubbock, TX","TX","MAF","Midland/Odessa, TX","TX","MAF-LBB",0
"AFW","Dallas/Fort Worth, TX","TX","SAT","San Antonio, TX","TX","SAT-AFW",0
"AUS","Austin, TX","TX","SAT","San Antonio, TX","TX","SAT-AUS",0
"DRT","Del Rio, TX","TX","SAT","San Antonio, TX","TX","SAT-DRT",0
"ELP","El Paso, TX","TX","SAT","San Antonio, TX","TX","SAT-ELP",0
"LRD","Laredo, TX","TX","SAT","San Antonio, TX","TX","SAT-LRD",0
"AUS","Austin, TX","TX","SJT","San Angelo, TX","TX","SJT-AUS",0
"LRD","Laredo, TX","TX","HRL","Harlingen/San Benito, TX","TX","HRL-LRD",0
"SAT","San Antonio, TX","TX","HRL","Harlingen/San Benito, TX","TX","HRL-SAT",0
"DFW","Dallas/Fort Worth, TX","TX","IAH","Houston, TX","TX","IAH-DFW",0
"HRL","Harlingen/San Benito, TX","TX","IAH","Houston, TX","TX","IAH-HRL",0
"SAT","San Antonio, TX","TX","LRD","Laredo, TX","TX","LRD-SAT",0
"DFW","Dallas/Fort Worth, TX","TX","SAT","San Antonio, TX","TX","SAT-DFW",0
"AUS","Austin, TX","TX","CRP","Corpus Christi, TX","TX","CRP-AUS",0
"IAH","Houston, TX","TX","AUS","Austin, TX","TX","AUS-IAH",0
"IAH","Houston, TX","TX","BRO","Brownsville, TX","TX","BRO-IAH",0
"IAH","Houston, TX","TX","CRP","Corpus Christi, TX","TX","CRP-IAH",0
"IAH","Houston, TX","TX","MFE","Mission/McAllen/Edinburg, TX","TX","MFE-IAH",0
"IAH","Houston, TX","TX","SAT","San Antonio, TX","TX","SAT-IAH",0
"IAH","Houston, TX","TX","AUS","Austin, TX","TX","AUS-IAH",0
"IAH","Houston, TX","TX","BRO","Brownsville, TX","TX","BRO-IAH",0
"IAH","Houston, TX","TX","CRP","Corpus Christi, TX","TX","CRP-IAH",0
"IAH","Houston, TX","TX","MFE","Mission/McAllen/Edinburg, TX","TX","MFE-IAH",0
"IAH","Houston, TX","TX","SAT","San Antonio, TX","TX","SAT-IAH",0
"ELP","El Paso, TX","TX","SAT","San Antonio, TX","TX","SAT-ELP",0
"HRL","Harlingen/San Benito, TX","TX","SAT","San Antonio, TX","TX","SAT-HRL",0
"LRD","Laredo, TX","TX","SAT","San Antonio, TX","TX","SAT-LRD",0
"LBB","Lubbock, TX","TX","AFW","Dallas/Fort Worth, TX","TX","AFW-LBB",0
"MAF","Midland/Odessa, TX","TX","LBB","Lubbock, TX","TX","LBB-MAF",0
"LBB","Lubbock, TX","TX","MAF","Midland/Odessa, TX","TX","MAF-LBB",0
"AUS","Austin, TX","TX","ACT","Waco, TX","TX","ACT-AUS",0
"ACT","Waco, TX","TX","AUS","Austin, TX","TX","AUS-ACT",0
"CLL","College Station/Bryan, TX","TX","AUS","Austin, TX","TX","AUS-CLL",0
"LBB","Lubbock, TX","TX","CLL","College Station/Bryan, TX","TX","CLL-LBB",0
"LRD","Laredo, TX","TX","HRL","Harlingen/San Benito, TX","TX","HRL-LRD",0
"HRL","Harlingen/San Benito, TX","TX","LRD","Laredo, TX","TX","LRD-HRL",0
"LRD","Laredo, TX","TX","LRD","Laredo, TX","TX","LRD-LRD",0
"LRD","Laredo, TX","TX","JZT","Arlington, TX","TX","JZT-LRD",0
"DRT","Del Rio, TX","TX","LRD","Laredo, TX","TX","LRD-DRT",0
"CLL","College Station/Bryan, TX","TX","ACT","Waco, TX","TX","ACT-CLL",0
"GRK","Killeen, TX","TX","ACT","Waco, TX","TX","ACT-GRK",0
"CLL","College Station/Bryan, TX","TX","BPT","Beaumont/Port Arthur, TX","TX","BPT-CLL",0
"TYR","Tyler, TX","TX","BPT","Beaumont/Port Arthur, TX","TX","BPT-TYR",0
"GRK","Killeen, TX","TX","CLL","College Station/Bryan, TX","TX","CLL-GRK",0
"BPT","Beaumont/Port Arthur, TX","TX","GRK","Killeen, TX","TX","GRK-BPT",0
"TYR","Tyler, TX","TX","GRK","Killeen, TX","TX","GRK-TYR",0
"BPT","Beaumont/Port Arthur, TX","TX","TYR","Tyler, TX","TX","TYR-BPT",0
"DRT","Del Rio, TX","TX","TYR","Tyler, TX","TX","TYR-DRT",0
"CLL","College Station/Bryan, TX","TX","VCT","Victoria, TX","TX","VCT-CLL",0
"AUS","Austin, TX","TX","CRP","Corpus Christi, TX","TX","CRP-AUS",0
"LBB","Lubbock, TX","TX","ABI","Abilene, TX","TX","ABI-LBB",0
"AUS","Austin, TX","TX","AFW","Dallas/Fort Worth, TX","TX","AFW-AUS",0
