Area,Value
"PATH 1",93
"PATH 2",61
"PATH 3",59
"PATH 4",86
"PATH 5",79
"PATH 6",22
"PATH 7",10
"PATH 8",89
"PATH 9",25
"PATH 10",95
"PATH 11",54
"PATH 12",52
"PATH 13",80
"PATH 14",57
"PATH 15",73
"PATH 16",98
"PATH 17",11
"PATH 18",29
"PATH 19",21
"PATH 20",3
"PATH 21",49
"PATH 22",20
"PATH 23",77
"PATH 24",87
"PATH 25",61
"PATH 26",96
"PATH 27",50
"PATH 28",20
"PATH 29",12
"PATH 30",17
"PATH 31",44
"PATH 32",71
"PATH 33",16
"PATH 34",98
"PATH 35",37
"PATH 36",96
"PATH 37",3
"PATH 38",43
"PATH 39",63
"PATH 40",50
"PATH 41",63
"PATH 42",44
"PATH 43",79
"PATH 44",38
"PATH 45",37
"PATH 46",60
"PATH 47",96
"PATH 48",58
"PATH 49",50
"PATH 50",71
"PATH 51",86
"PATH 52",75
"PATH 53",68
"PATH 54",12
"PATH 55",63
"PATH 56",4
"PATH 57",19
"PATH 58",74
"PATH 59",20
"PATH 60",49
"PATH 61",88
"PATH 62",45
"PATH 63",26
"PATH 64",92
"PATH 65",86
"PATH 66",79
"PATH 67",82
"PATH 68",87
"PATH 69",79
"PATH 70",41
"PATH 71",82
"PATH 72",80
"PATH 73",18
"PATH 74",34
"PATH 75",79
"PATH 76",69
"PATH 77",99
"PATH 78",58
"PATH 79",18
"PATH 80",15
"PATH 81",1
"PATH 82",99
"PATH 83",51
"PATH 84",93
"PATH 85",2
"PATH 86",6
"PATH 87",46
"PATH 88",74
"PATH 89",4
"PATH 90",23
"PATH 91",76
"PATH 92",59
"PATH 93",36
"PATH 94",27
"PATH 95",37
"PATH 96",21
"PATH 97",51
"PATH 98",91
"PATH 99",75
"PATH 100",6
"PATH 101",28
"PATH 102",21
"PATH 103",39
"PATH 104",97
"PATH 105",1
"PATH 106",9
"PATH 107",3
"PATH 108",41
"PATH 109",96
"PATH 110",33
"PATH 111",98
"PATH 112",25
"PATH 113",17
"PATH 114",65
"PATH 115",57
"PATH 116",48
"PATH 117",2
"PATH 118",60
"PATH 119",57
"PATH 120",28
"PATH 121",46
"PATH 122",71
"PATH 123",4
"PATH 124",40
"PATH 125",92
"PATH 126",57
"PATH 127",28
"PATH 128",48
"PATH 129",96
"PATH 130",4
"PATH 131",76
"PATH 132",83
"PATH 133",55
"PATH 134",52
"PATH 135",43
"PATH 136",84
"PATH 137",3
"PATH 138",50
"PATH 139",89
"PATH 140",86
"PATH 141",35
"PATH 142",84
"PATH 143",2
"PATH 144",20
"PATH 145",53
"PATH 146",37
"PATH 147",29
"PATH 148",52
"PATH 149",90
"PATH 150",56
"PATH 151",48
"PATH 152",59
"PATH 153",1
"PATH 154",12
"PATH 155",35
"PATH 156",83
"PATH 157",9
"PATH 158",72
"PATH 159",92
"PATH 160",49
"PATH 161",27
"PATH 162",21
"PATH 163",50
"PATH 164",3
"PATH 165",59
"PATH 166",65
"PATH 167",4
"PATH 168",75
"PATH 169",88
"PATH 170",85
"PATH 171",2
"PATH 172",72
"PATH 173",25
"PATH 174",15
"PATH 175",87
"PATH 176",58
"PATH 177",82
"PATH 178",35
"PATH 179",59
"PATH 180",36
"PATH 181",43
"PATH 182",87
"PATH 183",88
"PATH 184",39
"PATH 185",90
"PATH 186",47
"PATH 187",6
"PATH 188",51
"PATH 189",72
"PATH 190",33
"PATH 191",17
