Number,Age,City,College,Conference,Division,Experience,Feet,Inches,Last Name,First Name,Position Code,Team,Team Logo,Team Roster,Weight,Player,Player Key,Height,Position,Category,Side
18,24.0,"Oakland, CA",Michigan St.,AFC,AFC-West,2.0,6,4.0,Cook, Connor,QB,Raiders,https://cpt.azureedge.net/TeamLogoImages/raiders-logo.png,http://www.raiders.com/team/roster.html,217, Connor Cook,Raiders#18,76.0,Quarterback,Backs and Receivers,Offense
8,23.0,"Nashville, TN",Oregon,AFC,AFC-South,3.0,6,4.0,Mariota, Marcus,QB,Titans,https://cpt.azureedge.net/TeamLogoImages/titans-logo.png,http://www.titansonline.com/team/roster.html,222, Marcus Mariota,Titans#8,76.0,Quarterback,Backs and Receivers,Offense
30,22.0,"Pittsburg, PA",Pittsburgh,AFC,AFC-North,0.0,6,1.0,Conner, James,RB,Steelers,https://cpt.azureedge.net/TeamLogoImages/steelers-logo.png,http://www.steelers.com/team/roster.html,233, James Conner,Steelers#30,73.0,Running Back,Backs and Receivers,Offense
28,25.0,"Atlanta, GA",Oregon State,NFC,NFC-South,3.0,5,7.0,Ward, Terron,RB,Falcons,https://cpt.azureedge.net/TeamLogoImages/falcons-logo.png,http://www.atlantafalcons.com/team/player-roster.html,201, Terron Ward,Falcons#28,67.0,Running Back,Backs and Receivers,Offense
39,22.0,"St. Louis, MO",Virginia Tech,NFC,NFC-West,0.0,5,10.0,Rogers, Sam,FB,Rams,https://cpt.azureedge.net/TeamLogoImages/rams-logo.png,http://www.therams.com/team/roster.html,235, Sam Rogers,Rams#39,70.0,Fullback,Backs and Receivers,Offense
95,27.0,"Minneapolis , MN",UCLA,NFC,NFC-North,5.0,6,4.0,Jones, Datone,DE,Vikings,https://cpt.azureedge.net/TeamLogoImages/vikings-logo.png,http://www.vikings.com/team/roster.html,285, Datone Jones,Vikings#95,76.0,Defensive End,Defensive Line,Defense
39,24.0,"East Rutherford, NJ",Oklahoma State,NFC,NFC-East,1.0,6,0.0,Hunter, Michael,CB,Giants,https://cpt.azureedge.net/TeamLogoImages/giants-logo.png,http://www.giants.com/team/roster.html,186, Michael Hunter,Giants#39,72.0,Cornerback,Defensive Backs,Defense
2,32.0,"Green Bay, WI",Colorado,NFC,NFC-North,11.0,6,1.0,Crosby, Mason,K,Packers,https://cpt.azureedge.net/TeamLogoImages/packers-logo.png,http://www.packers.com/team/players.html,207, Mason Crosby,Packers#2,73.0,Kicker,Special Teams,Offense
40,24.0,"Indianapolis, IN",Georgia Tech,AFC,AFC-South,2.0,5,11.0,Milton, Chris,CB,Colts,https://cpt.azureedge.net/TeamLogoImages/colts-logo.png,http://www.colts.com/team/roster.html,196, Chris Milton,Colts#40,71.0,Cornerback,Defensive Backs,Defense
90,29.0,"Jacksonville, FK",Regina (Canada),AFC,AFC-South,5.0,6,5.0,Charles, Stefan,DT,Jaguars,https://cpt.azureedge.net/TeamLogoImages/jaguars-logo.png,http://www.jaguars.com/team/roster.html,320, Stefan Charles,Jaguars#90,77.0,Defensive Tackle,Defensive Line,Defense
19,22.0,"Denver, CO",Holy Cross,AFC,AFC-West,2.0,5,9.0,Raymond, Kalif,WR,Broncos,https://cpt.azureedge.net/TeamLogoImages/broncos-logo.png,http://www.denverbroncos.com/team/roster.html,160, Kalif Raymond,Broncos#19,69.0,Wide Receiver,Backs and Receivers,Offense
91,22.0,"Detroit, MI",Alabama,NFC,NFC-North,2.0,6,4.0,Robinson, A'Shawn,DT,Lions,https://cpt.azureedge.net/TeamLogoImages/lions-logo.png,http://www.detroitlions.com/team/roster.html,317, A'Shawn Robinson,Lions#91,76.0,Defensive Tackle,Defensive Line,Defense
27,24.0,"New Orleans, LA",Georgia,NFC,NFC-South,2.0,6,0.0,Swann, Damian,CB,Saints,https://cpt.azureedge.net/TeamLogoImages/saints-logo.png,http://www.neworleanssaints.com/team/roster.html,189, Damian Swann,Saints#27,72.0,Cornerback,Defensive Backs,Defense
98,31.0,"Nashville, TN",Texas,AFC,AFC-South,9.0,6,4.0,Orakpo, Brian,OLB,Titans,https://cpt.azureedge.net/TeamLogoImages/titans-logo.png,http://www.titansonline.com/team/roster.html,257, Brian Orakpo,Titans#98,76.0,Outside Linebacker,Linebackers,Defense
79,25.0,"Cleveland, OH",Nebraska,AFC,AFC-North,1.0,6,9.0,Sterup, Zach,OL,Browns,https://cpt.azureedge.net/TeamLogoImages/browns-logo.png,http://www.clevelandbrowns.com/team/roster.html,318, Zach Sterup,Browns#79,81.0,Offensive Lineman,Offensive Line,Offense
66,24.0,"East Rutherford, NJ",Southern California,AFC,AFC-East,1.0,6,4.0,Pelon, Claude,DL,Jets,https://cpt.azureedge.net/TeamLogoImages/jets-logo.png,http://www.newyorkjets.com/team/roster.html,300, Claude Pelon,Jets#66,76.0,Defensive Lineman,Defensive Line,Defense
44,27.0,"Kansas City, MO",Florida,AFC,AFC-West,1.0,6,6.0,Okine, Earl,LB,Chiefs,https://cpt.azureedge.net/TeamLogoImages/chiefs-logo.png,http://www.chiefs.com/team/roster.html,290, Earl Okine,Chiefs#44,78.0,Linebacker,Linebackers,Defense
33,26.0,"Foxboro, MA",Pittsburgh,AFC,AFC-East,6.0,5,8.0,Lewis, Dion,RB,Patriots,https://cpt.azureedge.net/TeamLogoImages/patriots-logo.png,http://www.patriots.com/team/roster,195, Dion Lewis,Patriots#33,68.0,Running Back,Backs and Receivers,Offense
98,26.0,"Buffalo, NY",California,AFC,AFC-East,2.0,6,5.0,Coleman, DeAndre,DT,Bills,https://cpt.azureedge.net/TeamLogoImages/bills-logo.png,http://www.buffalobills.com/team/roster.html,341, Deandre Coleman,Bills#98,77.0,Defensive Tackle,Defensive Line,Defense
29,25.0,"Denver, CO",Ohio State,AFC,AFC-West,4.0,5,11.0,Roby, Bradley,CB,Broncos,https://cpt.azureedge.net/TeamLogoImages/broncos-logo.png,http://www.denverbroncos.com/team/roster.html,194, Bradley Roby,Broncos#29,71.0,Cornerback,Defensive Backs,Defense
79,30.0,"Miami, FL",Notre Dame,AFC,AFC-East,8.0,6,8.0,Young, Sam,T,Dolphins,https://cpt.azureedge.net/TeamLogoImages/dolphins-logo.png,http://www.miamidolphins.com/team/player-roster.html,306, Sam Young,Dolphins#79,80.0,Offensive Tackle,Offensive Line,Offense
53,28.0,"Pittsburg, PA",Florida,AFC,AFC-North,8.0,6,4.0,Pouncey, Maurkice,C,Steelers,https://cpt.azureedge.net/TeamLogoImages/steelers-logo.png,http://www.steelers.com/team/roster.html,304, Maurkice Pouncey,Steelers#53,76.0,Center,Offensive Line,Offense
12,26.0,"Baltimore, MD",Wake Forest,AFC,AFC-North,4.0,5,9.0,Campanaro, Michael,WR/RS,Ravens,https://cpt.azureedge.net/TeamLogoImages/ravens-logo.png,http://www.baltimoreravens.com/team/roster.html,191, Michael Campanaro,Ravens#12,69.0,Wide Receiver,Backs and Receivers,Offense
82,32.0,"Nashville, TN",Central Missouri,AFC,AFC-South,12.0,6,2.0,Walker, Delanie,TE,Titans,https://cpt.azureedge.net/TeamLogoImages/titans-logo.png,http://www.titansonline.com/team/roster.html,248, Delanie Walker,Titans#82,74.0,Tight End,Backs and Receivers,Offense
79,26.0,"Denver, CO",Michigan,AFC,AFC-West,4.0,6,6.0,Schofield, Michael,T,Broncos,https://cpt.azureedge.net/TeamLogoImages/broncos-logo.png,http://www.denverbroncos.com/team/roster.html,301, Michael Schofield,Broncos#79,78.0,Offensive Tackle,Offensive Line,Offense
2,26.0,"San Diego, CA",Texas A&M,AFC,AFC-West,3.0,6,0.0,Lambo, Josh,K,Chargers,https://cpt.azureedge.net/TeamLogoImages/chargers-logo.png,http://www.chargers.com/team/roster,215, Josh Lambo,Chargers#2,72.0,Kicker,Special Teams,Offense
52,31.0,"Dallas, TX",Hampton,NFC,NFC-East,11.0,6,1.0,Durant, Justin,LB,Cowboys,https://cpt.azureedge.net/TeamLogoImages/cowboys-logo.png,http://www.dallascowboys.com/team/roster,230, Justin Durant,Cowboys#52,73.0,Linebacker,Linebackers,Defense
78,22.0,"San Francisco, CA",Southern Mississippi,NFC,NFC-West,1.0,6,4.0,Price, Norman,OL,49ers,https://cpt.azureedge.net/TeamLogoImages/49ers-logo.png,http://www.49ers.com/team/roster.html,311, Norman Price,49ers#78,76.0,Offensive Lineman,Offensive Line,Offense
15,29.0,"Glendale, AZ",California,NFC,NFC-West,6.0,6,0.0,Ross, Jeremy,WR,Cardinals,https://cpt.azureedge.net/TeamLogoImages/cardinals-logo.png,http://www.azcardinals.com/roster/player-roster.html,215, Jeremy Ross,Cardinals#15,72.0,Wide Receiver,Backs and Receivers,Offense
17,25.0,"Nashville, TN",Vanderbilt,AFC,AFC-South,1.0,5,11.0,Krause, Jonathan,WR,Titans,https://cpt.azureedge.net/TeamLogoImages/titans-logo.png,http://www.titansonline.com/team/roster.html,190, Jonathan Krause,Titans#17,71.0,Wide Receiver,Backs and Receivers,Offense
21,32.0,"Chicago, IL",UTEP,NFC,NFC-North,9.0,5,11.0,Demps, Quintin,DB,Bears,https://cpt.azureedge.net/TeamLogoImages/bears-logo.png,http://www.chicagobears.com/team/roster.html,216, Quintin Demps,Bears#21,71.0,Defensive Back,Defensive Backs,Defense
36,26.0,"Atlanta, GA",Central Florida,NFC,NFC-South,5.0,6,0.0,Ishmael, Kemal,S,Falcons,https://cpt.azureedge.net/TeamLogoImages/falcons-logo.png,http://www.atlantafalcons.com/team/player-roster.html,206, Kemal Ishmael,Falcons#36,72.0,Safety,Defensive Backs,Defense
3,27.0,"Houston, TX",Pittsburgh,AFC,AFC-South,4.0,6,4.0,Savage, Tom,QB,Texans,https://cpt.azureedge.net/TeamLogoImages/texans-logo.png,http://www.houstontexans.com/team/roster.html,230, Tom Savage,Texans#3,76.0,Quarterback,Backs and Receivers,Offense
3,36.0,"Dallas, TX",Louisiana Tech,NFC,NFC-East,14.0,6,4.0,McCown, Luke,QB,Cowboys,https://cpt.azureedge.net/TeamLogoImages/cowboys-logo.png,http://www.dallascowboys.com/team/roster,217, Luke McCown,Cowboys#3,76.0,Quarterback,Backs and Receivers,Offense
74,29.0,"Buffalo, NY",Hampton,AFC,AFC-East,4.0,6,5.0,Ola, Michael,T,Bills,https://cpt.azureedge.net/TeamLogoImages/bills-logo.png,http://www.buffalobills.com/team/roster.html,312, Michael Ola,Bills#74,77.0,Offensive Tackle,Offensive Line,Offense
97,28.0,"Denver, CO",Boise State,AFC,AFC-West,5.0,6,4.0,Winn, Billy,DE,Broncos,https://cpt.azureedge.net/TeamLogoImages/broncos-logo.png,http://www.denverbroncos.com/team/roster.html,300, Billy Winn,Broncos#97,76.0,Defensive End,Defensive Line,Defense
38,24.0,"Washington, DC",Florida International,NFC,NFC-East,1.0,5,11.0,McKinnon, Jeremiah,DB,Redskins,https://cpt.azureedge.net/TeamLogoImages/redskins-logo.png,http://www.redskins.com/team/roster.html,192, Jeremiah McKinnon,Redskins#38,71.0,Defensive Back,Defensive Backs,Defense
55,22.0,"Nashville, TN",UCLA,AFC,AFC-South,0.0,6,0.0,Brown, Jayon,LB,Titans,https://cpt.azureedge.net/TeamLogoImages/titans-logo.png,http://www.titansonline.com/team/roster.html,226, Jayon Brown,Titans#55,72.0,Linebacker,Linebackers,Defense
41,22.0,"Atlanta, GA",Georgia,NFC,NFC-South,0.0,6,0.0,Mauger, Quincy,S,Falcons,https://cpt.azureedge.net/TeamLogoImages/falcons-logo.png,http://www.atlantafalcons.com/team/player-roster.html,206, Quincy Mauger,Falcons#41,72.0,Safety,Defensive Backs,Defense
23,25.0,"Oakland, CA",Kansas,AFC,AFC-West,3.0,6,1.0,McDonald, Dexter,CB,Raiders,https://cpt.azureedge.net/TeamLogoImages/raiders-logo.png,http://www.raiders.com/team/roster.html,200, Dexter McDonald,Raiders#23,73.0,Cornerback,Defensive Backs,Defense
