Date,Education,Avg Total Compensation,Highest Payer,Education Sort,Compensation
2018-12-01 00:00:00.000,"PhD",125000,"(Capital One)",4,"$125,000 (Capital One)"
2018-12-01 00:00:00.000,"Master's Degree",,"(Capital One)",3,"N/A (Capital One)"
2018-12-01 00:00:00.000,"Bachelor's Degree",,"(Capital One)",2,"N/A (Capital One)"
2018-12-01 00:00:00.000,"High School",,"(Capital One)",1,"N/A (Capital One)"
2019-03-01 00:00:00.000,"PhD",332000,"(Amazon)",4,"$332,000 (Amazon)"
2019-03-01 00:00:00.000,"Master's Degree",170000,"(Amazon)",3,"$170,000 (Amazon)"
2019-03-01 00:00:00.000,"Bachelor's Degree",,"(Amazon)",2,"N/A (Amazon)"
2019-03-01 00:00:00.000,"High School",,"(Amazon)",1,"N/A (Amazon)"
2019-04-01 00:00:00.000,"PhD",240000,"(Apple)",4,"$240,000 (Apple)"
2019-04-01 00:00:00.000,"Master's Degree",,"(Apple)",3,"N/A (Apple)"
2019-04-01 00:00:00.000,"Bachelor's Degree",,"(Apple)",2,"N/A (Apple)"
2019-04-01 00:00:00.000,"High School",,"(Apple)",1,"N/A (Apple)"
2019-06-01 00:00:00.000,"PhD",232333,"(Synopsys)",4,"$232,333 (Synopsys)"
2019-06-01 00:00:00.000,"Master's Degree",105000,"(Synopsys)",3,"$105,000 (Synopsys)"
2019-06-01 00:00:00.000,"Bachelor's Degree",,"(Synopsys)",2,"N/A (Synopsys)"
2019-06-01 00:00:00.000,"High School",,"(Synopsys)",1,"N/A (Synopsys)"
2019-07-01 00:00:00.000,"PhD",286200,"(Twitter)",4,"$286,200 (Twitter)"
2019-07-01 00:00:00.000,"Master's Degree",,"(Twitter)",3,"N/A (Twitter)"
2019-07-01 00:00:00.000,"Bachelor's Degree",,"(Twitter)",2,"N/A (Twitter)"
2019-07-01 00:00:00.000,"High School",,"(Twitter)",1,"N/A (Twitter)"
2019-08-01 00:00:00.000,"PhD",204500,"(Facebook)",4,"$204,500 (Facebook)"
2019-08-01 00:00:00.000,"Master's Degree",,"(Facebook)",3,"N/A (Facebook)"
2019-08-01 00:00:00.000,"Bachelor's Degree",,"(Facebook)",2,"N/A (Facebook)"
2019-08-01 00:00:00.000,"High School",,"(Facebook)",1,"N/A (Facebook)"
2019-09-01 00:00:00.000,"PhD",290000,"(Uber)",4,"$290,000 (Uber)"
2019-09-01 00:00:00.000,"Master's Degree",,"(Uber)",3,"N/A (Uber)"
2019-09-01 00:00:00.000,"Bachelor's Degree",,"(Uber)",2,"N/A (Uber)"
2019-09-01 00:00:00.000,"High School",,"(Uber)",1,"N/A (Uber)"
2019-10-01 00:00:00.000,"PhD",221000,"(Roblox)",4,"$221,000 (Roblox)"
2019-10-01 00:00:00.000,"Master's Degree",247064,"(Roblox)",3,"$247,064 (Roblox)"
2019-10-01 00:00:00.000,"Bachelor's Degree",,"(Roblox)",2,"N/A (Roblox)"
2019-10-01 00:00:00.000,"High School",,"(Roblox)",1,"N/A (Roblox)"
2019-11-01 00:00:00.000,"PhD",279463,"(Asana)",4,"$279,463 (Asana)"
2019-11-01 00:00:00.000,"Master's Degree",213938,"(Asana)",3,"$213,938 (Asana)"
2019-11-01 00:00:00.000,"Bachelor's Degree",166500,"(Asana)",2,"$166,500 (Asana)"
2019-11-01 00:00:00.000,"High School",,"(Asana)",1,"N/A (Asana)"
2019-12-01 00:00:00.000,"PhD",290722,"(Citadel)",4,"$290,722 (Citadel)"
2019-12-01 00:00:00.000,"Master's Degree",256061,"(Citadel)",3,"$256,061 (Citadel)"
2019-12-01 00:00:00.000,"Bachelor's Degree",111000,"(Citadel)",2,"$111,000 (Citadel)"
2019-12-01 00:00:00.000,"High School",,"(Citadel)",1,"N/A (Citadel)"
2020-01-01 00:00:00.000,"PhD",312557,"(Verizon)",4,"$312,557 (Verizon)"
2020-01-01 00:00:00.000,"Master's Degree",238086,"(Verizon)",3,"$238,086 (Verizon)"
2020-01-01 00:00:00.000,"Bachelor's Degree",107500,"(Verizon)",2,"$107,500 (Verizon)"
2020-01-01 00:00:00.000,"High School",,"(Verizon)",1,"N/A (Verizon)"
2020-02-01 00:00:00.000,"PhD",303306,"(Houzz)",4,"$303,306 (Houzz)"
2020-02-01 00:00:00.000,"Master's Degree",229879,"(Houzz)",3,"$229,879 (Houzz)"
2020-02-01 00:00:00.000,"Bachelor's Degree",375000,"(Houzz)",2,"$375,000 (Houzz)"
2020-02-01 00:00:00.000,"High School",,"(Houzz)",1,"N/A (Houzz)"
2020-03-01 00:00:00.000,"PhD",270961,"(Citadel)",4,"$270,961 (Citadel)"
2020-03-01 00:00:00.000,"Master's Degree",223119,"(Citadel)",3,"$223,119 (Citadel)"
2020-03-01 00:00:00.000,"Bachelor's Degree",172000,"(Citadel)",2,"$172,000 (Citadel)"
2020-03-01 00:00:00.000,"High School",,"(Citadel)",1,"N/A (Citadel)"
2020-04-01 00:00:00.000,"PhD",305479,"(Snap)",4,"$305,479 (Snap)"
2020-04-01 00:00:00.000,"Master's Degree",226342,"(Snap)",3,"$226,342 (Snap)"
2020-04-01 00:00:00.000,"Bachelor's Degree",132667,"(Snap)",2,"$132,667 (Snap)"
2020-04-01 00:00:00.000,"High School",,"(Snap)",1,"N/A (Snap)"
2020-05-01 00:00:00.000,"PhD",284700,"(Airbnb)",4,"$284,700 (Airbnb)"
2020-05-01 00:00:00.000,"Master's Degree",228674,"(Airbnb)",3,"$228,674 (Airbnb)"
2020-05-01 00:00:00.000,"Bachelor's Degree",95000,"(Airbnb)",2,"$095,000 (Airbnb)"
2020-05-01 00:00:00.000,"High School",,"(Airbnb)",1,"N/A (Airbnb)"
2020-06-01 00:00:00.000,"PhD",262397,"(Citadel)",4,"$262,397 (Citadel)"
2020-06-01 00:00:00.000,"Master's Degree",223378,"(Citadel)",3,"$223,378 (Citadel)"
2020-06-01 00:00:00.000,"Bachelor's Degree",,"(Citadel)",2,"N/A (Citadel)"
2020-06-01 00:00:00.000,"High School",,"(Citadel)",1,"N/A (Citadel)"
2020-07-01 00:00:00.000,"PhD",256370,"(Mongodb)",4,"$256,370 (Mongodb)"
2020-07-01 00:00:00.000,"Master's Degree",215737,"(Mongodb)",3,"$215,737 (Mongodb)"
2020-07-01 00:00:00.000,"Bachelor's Degree",188078,"(Mongodb)",2,"$188,078 (Mongodb)"
2020-07-01 00:00:00.000,"High School",166857,"(Mongodb)",1,"$166,857 (Mongodb)"
2020-08-01 00:00:00.000,"PhD",267220,"(Ge Digital)",4,"$267,220 (Ge Digital)"
2020-08-01 00:00:00.000,"Master's Degree",211076,"(Ge Digital)",3,"$211,076 (Ge Digital)"
2020-08-01 00:00:00.000,"Bachelor's Degree",184409,"(Ge Digital)",2,"$184,409 (Ge Digital)"
2020-08-01 00:00:00.000,"High School",237550,"(Ge Digital)",1,"$237,550 (Ge Digital)"
2020-09-01 00:00:00.000,"PhD",280218,"(Roblox)",4,"$280,218 (Roblox)"
2020-09-01 00:00:00.000,"Master's Degree",209248,"(Roblox)",3,"$209,248 (Roblox)"
2020-09-01 00:00:00.000,"Bachelor's Degree",177549,"(Roblox)",2,"$177,549 (Roblox)"
2020-09-01 00:00:00.000,"High School",146067,"(Roblox)",1,"$146,067 (Roblox)"
2020-10-01 00:00:00.000,"PhD",270389,"(Credit Karma)",4,"$270,389 (Credit Karma)"
2020-10-01 00:00:00.000,"Master's Degree",210937,"(Credit Karma)",3,"$210,937 (Credit Karma)"
2020-10-01 00:00:00.000,"Bachelor's Degree",175398,"(Credit Karma)",2,"$175,398 (Credit Karma)"
2020-10-01 00:00:00.000,"High School",207190,"(Credit Karma)",1,"$207,190 (Credit Karma)"
2020-11-01 00:00:00.000,"PhD",256000,"(Coupa Software)",4,"$256,000 (Coupa Software)"
2020-11-01 00:00:00.000,"Master's Degree",200642,"(Coupa Software)",3,"$200,642 (Coupa Software)"
2020-11-01 00:00:00.000,"Bachelor's Degree",181410,"(Coupa Software)",2,"$181,410 (Coupa Software)"
2020-11-01 00:00:00.000,"High School",142750,"(Coupa Software)",1,"$142,750 (Coupa Software)"
2020-12-01 00:00:00.000,"PhD",326247,"(Tencent)",4,"$326,247 (Tencent)"
2020-12-01 00:00:00.000,"Master's Degree",223883,"(Tencent)",3,"$223,883 (Tencent)"
2020-12-01 00:00:00.000,"Bachelor's Degree",190703,"(Tencent)",2,"$190,703 (Tencent)"
2020-12-01 00:00:00.000,"High School",171143,"(Tencent)",1,"$171,143 (Tencent)"
2021-01-01 00:00:00.000,"PhD",330743,"(Mongodb)",4,"$330,743 (Mongodb)"
2021-01-01 00:00:00.000,"Master's Degree",228633,"(Mongodb)",3,"$228,633 (Mongodb)"
2021-01-01 00:00:00.000,"Bachelor's Degree",179687,"(Mongodb)",2,"$179,687 (Mongodb)"
2021-01-01 00:00:00.000,"High School",178682,"(Mongodb)",1,"$178,682 (Mongodb)"
2021-02-01 00:00:00.000,"PhD",312370,"(Asana)",4,"$312,370 (Asana)"
2021-02-01 00:00:00.000,"Master's Degree",225165,"(Asana)",3,"$225,165 (Asana)"
2021-02-01 00:00:00.000,"Bachelor's Degree",184077,"(Asana)",2,"$184,077 (Asana)"
2021-02-01 00:00:00.000,"High School",183115,"(Asana)",1,"$183,115 (Asana)"
2021-03-01 00:00:00.000,"PhD",290220,"(Zapier)",4,"$290,220 (Zapier)"
