Index,variable,value
1078,ReturnDate,2017-02-14 00:00:00.000
192,ReturnDate,2016-08-07 00:00:00.000
426,ReturnDate,2016-10-02 00:00:00.000
1364,ReturnDate,2017-04-11 00:00:00.000
506,ReturnDate,2016-10-22 00:00:00.000
1156,ReturnDate,2017-03-01 00:00:00.000
178,ReturnDate,2016-08-01 00:00:00.000
1041,ReturnDate,2017-02-07 00:00:00.000
120,ReturnDate,2016-05-21 00:00:00.000
1625,ReturnDate,2017-05-30 00:00:00.000
1653,ReturnDate,2017-06-03 00:00:00.000
751,ReturnDate,2016-12-13 00:00:00.000
656,ReturnDate,2016-11-23 00:00:00.000
815,ReturnDate,2016-12-25 00:00:00.000
557,ReturnDate,2016-11-02 00:00:00.000
1031,ReturnDate,2017-02-06 00:00:00.000
1803,ReturnDate,2017-06-29 00:00:00.000
1567,ReturnDate,2017-05-20 00:00:00.000
443,ReturnDate,2016-10-08 00:00:00.000
1526,ReturnDate,2017-05-11 00:00:00.000
534,ReturnDate,2016-10-28 00:00:00.000
1341,ReturnDate,2017-04-06 00:00:00.000
1233,ReturnDate,2017-03-17 00:00:00.000
1610,ReturnDate,2017-05-28 00:00:00.000
1325,ReturnDate,2017-04-03 00:00:00.000
355,ReturnDate,2016-09-15 00:00:00.000
820,ReturnDate,2016-12-26 00:00:00.000
1114,ReturnDate,2017-02-22 00:00:00.000
1188,ReturnDate,2017-03-07 00:00:00.000
1437,ReturnDate,2017-04-25 00:00:00.000
1521,ReturnDate,2017-05-10 00:00:00.000
1753,ReturnDate,2017-06-21 00:00:00.000
1229,ReturnDate,2017-03-16 00:00:00.000
124,ReturnDate,2016-05-31 00:00:00.000
391,ReturnDate,2016-09-25 00:00:00.000
1149,ReturnDate,2017-02-28 00:00:00.000
591,ReturnDate,2016-11-10 00:00:00.000
697,ReturnDate,2016-12-03 00:00:00.000
1667,ReturnDate,2017-06-07 00:00:00.000
153,ReturnDate,2016-07-14 00:00:00.000
440,ReturnDate,2016-10-06 00:00:00.000
230,ReturnDate,2016-08-15 00:00:00.000
446,ReturnDate,2016-10-08 00:00:00.000
1375,ReturnDate,2017-04-12 00:00:00.000
464,ReturnDate,2016-10-10 00:00:00.000
737,ReturnDate,2016-12-09 00:00:00.000
1403,ReturnDate,2017-04-18 00:00:00.000
810,ReturnDate,2016-12-25 00:00:00.000
454,ReturnDate,2016-10-09 00:00:00.000
520,ReturnDate,2016-10-25 00:00:00.000
459,ReturnDate,2016-10-10 00:00:00.000
13,ReturnDate,2015-03-22 00:00:00.000
958,ReturnDate,2017-01-21 00:00:00.000
1678,ReturnDate,2017-06-08 00:00:00.000
250,ReturnDate,2016-08-22 00:00:00.000
1607,ReturnDate,2017-05-27 00:00:00.000
556,ReturnDate,2016-11-01 00:00:00.000
398,ReturnDate,2016-09-26 00:00:00.000
1750,ReturnDate,2017-06-21 00:00:00.000
1332,ReturnDate,2017-04-04 00:00:00.000
82,ReturnDate,2015-12-14 00:00:00.000
585,ReturnDate,2016-11-09 00:00:00.000
844,ReturnDate,2016-12-31 00:00:00.000
1594,ReturnDate,2017-05-25 00:00:00.000
1743,ReturnDate,2017-06-20 00:00:00.000
50,ReturnDate,2015-08-14 00:00:00.000
1642,ReturnDate,2017-05-31 00:00:00.000
1208,ReturnDate,2017-03-11 00:00:00.000
1686,ReturnDate,2017-06-09 00:00:00.000
1611,ReturnDate,2017-05-28 00:00:00.000
1269,ReturnDate,2017-03-23 00:00:00.000
1006,ReturnDate,2017-02-01 00:00:00.000
202,ReturnDate,2016-08-10 00:00:00.000
1096,ReturnDate,2017-02-19 00:00:00.000
730,ReturnDate,2016-12-09 00:00:00.000
558,ReturnDate,2016-11-02 00:00:00.000
999,ReturnDate,2017-01-30 00:00:00.000
743,ReturnDate,2016-12-12 00:00:00.000
1157,ReturnDate,2017-03-01 00:00:00.000
458,ReturnDate,2016-10-10 00:00:00.000
1089,ReturnDate,2017-02-17 00:00:00.000
386,ReturnDate,2016-09-24 00:00:00.000
1755,ReturnDate,2017-06-22 00:00:00.000
1603,ReturnDate,2017-05-26 00:00:00.000
536,ReturnDate,2016-10-28 00:00:00.000
1559,ReturnDate,2017-05-17 00:00:00.000
845,ReturnDate,2016-12-31 00:00:00.000
63,ReturnDate,2015-10-23 00:00:00.000
1491,ReturnDate,2017-05-05 00:00:00.000
423,ReturnDate,2016-10-02 00:00:00.000
217,ReturnDate,2016-08-13 00:00:00.000
1243,ReturnDate,2017-03-18 00:00:00.000
1105,ReturnDate,2017-02-20 00:00:00.000
514,ReturnDate,2016-10-24 00:00:00.000
370,ReturnDate,2016-09-19 00:00:00.000
829,ReturnDate,2016-12-28 00:00:00.000
1321,ReturnDate,2017-04-03 00:00:00.000
1223,ReturnDate,2017-03-14 00:00:00.000
1015,ReturnDate,2017-02-02 00:00:00.000
1225,ReturnDate,2017-03-15 00:00:00.000
1078,TerritoryKey,10
192,TerritoryKey,9
426,TerritoryKey,10
1364,TerritoryKey,1
506,TerritoryKey,6
1156,TerritoryKey,4
178,TerritoryKey,4
1041,TerritoryKey,8
120,TerritoryKey,4
1625,TerritoryKey,1
1653,TerritoryKey,9
751,TerritoryKey,1
656,TerritoryKey,4
815,TerritoryKey,9
557,TerritoryKey,4
1031,TerritoryKey,4
1803,TerritoryKey,8
1567,TerritoryKey,4
443,TerritoryKey,1
1526,TerritoryKey,6
534,TerritoryKey,9
1341,TerritoryKey,4
1233,TerritoryKey,4
1610,TerritoryKey,4
1325,TerritoryKey,9
355,TerritoryKey,10
820,TerritoryKey,6
1114,TerritoryKey,8
1188,TerritoryKey,4
1437,TerritoryKey,6
1521,TerritoryKey,6
1753,TerritoryKey,10
1229,TerritoryKey,4
124,TerritoryKey,4
391,TerritoryKey,7
1149,TerritoryKey,4
591,TerritoryKey,6
697,TerritoryKey,1
1667,TerritoryKey,1
153,TerritoryKey,4
440,TerritoryKey,9
230,TerritoryKey,10
446,TerritoryKey,9
1375,TerritoryKey,9
464,TerritoryKey,10
737,TerritoryKey,9
1403,TerritoryKey,9
810,TerritoryKey,4
454,TerritoryKey,10
520,TerritoryKey,10
459,TerritoryKey,4
13,TerritoryKey,4
958,TerritoryKey,7
1678,TerritoryKey,1
250,TerritoryKey,4
1607,TerritoryKey,1
556,TerritoryKey,6
398,TerritoryKey,8
1750,TerritoryKey,8
1332,TerritoryKey,8
82,TerritoryKey,9
585,TerritoryKey,1
844,TerritoryKey,4
1594,TerritoryKey,8
1743,TerritoryKey,1
50,TerritoryKey,6
1642,TerritoryKey,9
1208,TerritoryKey,6
1686,TerritoryKey,1
1611,TerritoryKey,4
1269,TerritoryKey,8
1006,TerritoryKey,1
202,TerritoryKey,9
1096,TerritoryKey,4
730,TerritoryKey,4
558,TerritoryKey,6
999,TerritoryKey,4
743,TerritoryKey,4
1157,TerritoryKey,4
458,TerritoryKey,4
1089,TerritoryKey,4
386,TerritoryKey,1
1755,TerritoryKey,1
1603,TerritoryKey,10
536,TerritoryKey,10
1559,TerritoryKey,10
845,TerritoryKey,4
63,TerritoryKey,9
1491,TerritoryKey,4
423,TerritoryKey,4
217,TerritoryKey,10
1243,TerritoryKey,9
1105,TerritoryKey,8
514,TerritoryKey,7
370,TerritoryKey,6
829,TerritoryKey,4
1321,TerritoryKey,4
1223,TerritoryKey,9
1015,TerritoryKey,10
1225,TerritoryKey,6
1078,ProductKey,480
192,ProductKey,375
426,ProductKey,529
1364,ProductKey,537
506,ProductKey,530
1156,ProductKey,535
178,ProductKey,487
1041,ProductKey,562
120,ProductKey,371
1625,ProductKey,479
1653,ProductKey,479
751,ProductKey,485
656,ProductKey,476
815,ProductKey,530
557,ProductKey,215
1031,ProductKey,528
1803,ProductKey,541
1567,ProductKey,582
443,ProductKey,536
1526,ProductKey,536
534,ProductKey,220
1341,ProductKey,214
1233,ProductKey,480
1610,ProductKey,226
1325,ProductKey,536
355,ProductKey,530
820,ProductKey,528
1114,ProductKey,485
1188,ProductKey,535
1437,ProductKey,464
1521,ProductKey,478
1753,ProductKey,220
1229,ProductKey,571
124,ProductKey,369
391,ProductKey,528
1149,ProductKey,478
591,ProductKey,528
697,ProductKey,535
1667,ProductKey,539
153,ProductKey,605
440,ProductKey,488
230,ProductKey,226
446,ProductKey,540
1375,ProductKey,477
464,ProductKey,535
737,ProductKey,530
1403,ProductKey,479
810,ProductKey,476
454,ProductKey,464
520,ProductKey,485
459,ProductKey,537
13,ProductKey,311
958,ProductKey,214
1678,ProductKey,356
250,ProductKey,220
1607,ProductKey,528
556,ProductKey,529
398,ProductKey,529
1750,ProductKey,536
1332,ProductKey,360
82,ProductKey,377
585,ProductKey,478
844,ProductKey,223
1594,ProductKey,215
1743,ProductKey,528
50,ProductKey,377
1642,ProductKey,584
1208,ProductKey,214
1686,ProductKey,535
1611,ProductKey,477
1269,ProductKey,536
1006,ProductKey,480
202,ProductKey,220
1096,ProductKey,528
730,ProductKey,480
558,ProductKey,360
999,ProductKey,528
743,ProductKey,220
1157,ProductKey,595
458,ProductKey,464
1089,ProductKey,605
386,ProductKey,232
1755,ProductKey,232
1603,ProductKey,220
536,ProductKey,471
1559,ProductKey,214
845,ProductKey,537
63,ProductKey,354
1491,ProductKey,483
423,ProductKey,214
217,ProductKey,590
1243,ProductKey,538
1105,ProductKey,229
514,ProductKey,466
370,ProductKey,538
829,ProductKey,538
1321,ProductKey,477
1223,ProductKey,530
1015,ProductKey,538
1225,ProductKey,215
1078,ReturnQuantity,1
192,ReturnQuantity,1
426,ReturnQuantity,1
1364,ReturnQuantity,1
506,ReturnQuantity,1
1156,ReturnQuantity,1
178,ReturnQuantity,1
1041,ReturnQuantity,1
120,ReturnQuantity,1
1625,ReturnQuantity,1
1653,ReturnQuantity,1
751,ReturnQuantity,1
656,ReturnQuantity,1
815,ReturnQuantity,1
557,ReturnQuantity,1
1031,ReturnQuantity,1
1803,ReturnQuantity,1
1567,ReturnQuantity,1
443,ReturnQuantity,1
1526,ReturnQuantity,1
534,ReturnQuantity,1
1341,ReturnQuantity,1
1233,ReturnQuantity,1
1610,ReturnQuantity,1
1325,ReturnQuantity,1
355,ReturnQuantity,1
820,ReturnQuantity,1
1114,ReturnQuantity,1
1188,ReturnQuantity,1
1437,ReturnQuantity,1
1521,ReturnQuantity,1
1753,ReturnQuantity,1
1229,ReturnQuantity,1
124,ReturnQuantity,1
391,ReturnQuantity,1
1149,ReturnQuantity,1
591,ReturnQuantity,1
697,ReturnQuantity,1
1667,ReturnQuantity,1
153,ReturnQuantity,1
440,ReturnQuantity,1
230,ReturnQuantity,1
446,ReturnQuantity,1
1375,ReturnQuantity,1
464,ReturnQuantity,1
